pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragonite,23,move,1,Protect,71.9%,,,,,,,,
Dragonite,23,move,2,Dragon Pulse,47.6%,,,,,,,,
Dragonite,23,move,3,Tailwind,44.6%,,,,,,,,
Dragonite,23,move,4,Extreme Speed,40.0%,,,,,,,,
Dragonite,23,move,5,Heat Wave,39.1%,,,,,,,,
Dragonite,23,move,6,Dragon Claw,22.6%,,,,,,,,
Dragonite,23,move,7,Hurricane,16.2%,,,,,,,,
Dragonite,23,move,8,Draco Meteor,14.9%,,,,,,,,
Dragonite,23,move,9,Superpower,14.4%,,,,,,,,
Dragonite,23,move,10,Thunderbolt,9.4%,,,,,,,,
Dragonite,23,held_item,1,Dragoninite,62.0%,,,,,,,,
Dragonite,23,held_item,2,Life Orb,16.7%,,,,,,,,
Dragonite,23,held_item,3,White Herb,4.7%,,,,,,,,
Dragonite,23,held_item,4,Dragon Fang,2.7%,,,,,,,,
Dragonite,23,held_item,5,Leftovers,2.6%,,,,,,,,
Dragonite,23,held_item,6,Sitrus Berry,2.3%,,,,,,,,
Dragonite,23,held_item,7,Lum Berry,1.6%,,,,,,,,
Dragonite,23,held_item,8,Expert Belt,1.1%,,,,,,,,
Dragonite,23,held_item,9,Yache Berry,1.0%,,,,,,,,
Dragonite,23,held_item,10,Quick Claw,1.0%,,,,,,,,
Dragonite,23,teammate,1,Sneasler,,,,,,,,,
Dragonite,23,teammate,2,Kingambit,,,,,,,,,
Dragonite,23,teammate,3,Basculegion Male,,,,,,,,,
Dragonite,23,teammate,4,Garchomp,,,,,,,,,
Dragonite,23,teammate,5,Froslass,,,,,,,,,
Dragonite,23,teammate,6,Incineroar,,,,,,,,,
Dragonite,23,teammate,7,Alolan Ninetales,,,,,,,,,
Dragonite,23,teammate,8,Gengar,,,,,,,,,
Dragonite,23,teammate,9,Swampert,,,,,,,,,
Dragonite,23,teammate,10,Archaludon,,,,,,,,,
Dragonite,23,stat_alignment,1,Modest,58.9%,Sp. Atk,Attack,,,,,,
Dragonite,23,stat_alignment,2,Adamant,29.0%,Attack,Sp. Atk,,,,,,
Dragonite,23,stat_alignment,3,Timid,5.3%,Speed,Attack,,,,,,
Dragonite,23,stat_alignment,4,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Dragonite,23,stat_alignment,5,Quiet,0.7%,Sp. Atk,Speed,,,,,,
Dragonite,23,stat_alignment,6,Brave,0.7%,Attack,Speed,,,,,,
Dragonite,23,stat_alignment,7,Mild,0.4%,Sp. Atk,Defense,,,,,,
Dragonite,23,stat_alignment,8,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Dragonite,23,stat_alignment,9,Serious,0.3%,,,,,,,,
Dragonite,23,stat_alignment,10,Careful,0.0%,Sp. Def,Sp. Atk,,,,,,
Dragonite,23,stat_points,1,,45.1%,,,2,0,0,32,0,32
Dragonite,23,stat_points,2,,6.4%,,,29,32,0,0,0,5
Dragonite,23,stat_points,3,,6.1%,,,2,32,0,0,0,32
Dragonite,23,stat_points,4,,2.1%,,,21,0,0,25,0,20
Dragonite,23,stat_points,5,,1.4%,,,25,0,0,32,0,9
Dragonite,23,stat_points,6,,1.1%,,,1,0,1,32,0,32
Dragonite,23,stat_points,7,,1.1%,,,15,32,0,0,0,18
Dragonite,23,stat_points,8,,1.1%,,,31,32,0,0,0,3
Dragonite,23,stat_points,9,,1.0%,,,32,32,0,0,0,2
Dragonite,23,stat_points,10,,0.9%,,,32,32,2,0,0,0
Dragonite,23,ability,1,Multiscale,72.7%,,,,,,,,
Dragonite,23,ability,2,Inner Focus,27.3%,,,,,,,,
