pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Samurott,233,move,1,Protect,48.7%,,,,,,,,
Samurott,233,move,2,Hydro Pump,45.6%,,,,,,,,
Samurott,233,move,3,Ice Beam,39.9%,,,,,,,,
Samurott,233,move,4,Vacuum Wave,33.1%,,,,,,,,
Samurott,233,move,5,Surf,23.1%,,,,,,,,
Samurott,233,move,6,Sacred Sword,21.9%,,,,,,,,
Samurott,233,move,7,Aqua Jet,18.1%,,,,,,,,
Samurott,233,move,8,Blizzard,16.2%,,,,,,,,
Samurott,233,move,9,Air Slash,12.7%,,,,,,,,
Samurott,233,move,10,Soak,12.1%,,,,,,,,
Samurott,233,held_item,1,Mystic Water,26.3%,,,,,,,,
Samurott,233,held_item,2,Sitrus Berry,14.3%,,,,,,,,
Samurott,233,held_item,3,Quick Claw,13.2%,,,,,,,,
Samurott,233,held_item,4,Life Orb,9.9%,,,,,,,,
Samurott,233,held_item,5,Choice Scarf,9.6%,,,,,,,,
Samurott,233,held_item,6,Leftovers,6.1%,,,,,,,,
Samurott,233,held_item,7,Expert Belt,5.6%,,,,,,,,
Samurott,233,held_item,8,Scope Lens,4.6%,,,,,,,,
Samurott,233,held_item,9,Focus Sash,4.4%,,,,,,,,
Samurott,233,held_item,10,White Herb,3.8%,,,,,,,,
Samurott,233,teammate,1,Farigiraf,,,,,,,,,
Samurott,233,teammate,2,Incineroar,,,,,,,,,
Samurott,233,teammate,3,Whimsicott,,,,,,,,,
Samurott,233,teammate,4,Sinistcha,,,,,,,,,
Samurott,233,teammate,5,Froslass,,,,,,,,,
Samurott,233,teammate,6,Sableye,,,,,,,,,
Samurott,233,teammate,7,Camerupt,,,,,,,,,
Samurott,233,teammate,8,Chandelure,,,,,,,,,
Samurott,233,teammate,9,Raichu,,,,,,,,,
Samurott,233,teammate,10,Basculegion Male,,,,,,,,,
Samurott,233,stat_alignment,1,Modest,40.3%,Sp. Atk,Attack,,,,,,
Samurott,233,stat_alignment,2,Timid,15.1%,Speed,Attack,,,,,,
Samurott,233,stat_alignment,3,Adamant,11.9%,Attack,Sp. Atk,,,,,,
Samurott,233,stat_alignment,4,Quiet,7.8%,Sp. Atk,Speed,,,,,,
Samurott,233,stat_alignment,5,Mild,5.1%,Sp. Atk,Defense,,,,,,
Samurott,233,stat_alignment,6,Relaxed,5.0%,Defense,Speed,,,,,,
Samurott,233,stat_alignment,7,Brave,3.9%,Attack,Speed,,,,,,
Samurott,233,stat_alignment,8,Jolly,2.2%,Speed,Sp. Atk,,,,,,
Samurott,233,stat_alignment,9,Naive,1.8%,Speed,Sp. Def,,,,,,
Samurott,233,stat_alignment,10,Naughty,1.0%,Attack,Sp. Def,,,,,,
Samurott,233,stat_points,1,,15.3%,,,0,0,2,32,0,32
Samurott,233,stat_points,2,,13.7%,,,2,0,0,32,0,32
Samurott,233,stat_points,3,,7.0%,,,0,0,0,32,2,32
Samurott,233,stat_points,4,,5.8%,,,0,0,32,32,2,0
Samurott,233,stat_points,5,,4.7%,,,32,0,0,32,2,0
Samurott,233,stat_points,6,,2.8%,,,0,32,32,0,0,2
Samurott,233,stat_points,7,,2.4%,,,2,0,0,32,32,0
Samurott,233,stat_points,8,,2.3%,,,12,32,11,0,11,0
Samurott,233,stat_points,9,,2.2%,,,32,0,32,0,2,0
Samurott,233,stat_points,10,,1.9%,,,1,0,9,32,24,0
Samurott,233,ability,1,Torrent,51.3%,,,,,,,,
Samurott,233,ability,2,Shell Armor,48.7%,,,,,,,,
