pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gholdengo,22,move,6,Trick,23.6%,,,,,,,,
Gholdengo,22,move,7,Power Gem,8.0%,,,,,,,,
Gholdengo,22,move,8,Focus Blast,6.5%,,,,,,,,
Gholdengo,22,move,9,Dazzling Gleam,4.6%,,,,,,,,
Gholdengo,22,move,10,Flash Cannon,4.0%,,,,,,,,
Gholdengo,22,held_item,1,Choice Scarf,27.9%,,,,,,,,
Gholdengo,22,held_item,2,Leftovers,25.1%,,,,,,,,
Gholdengo,22,held_item,3,Life Orb,20.7%,,,,,,,,
Gholdengo,22,held_item,4,Shuca Berry,8.7%,,,,,,,,
Gholdengo,22,held_item,5,Sitrus Berry,4.2%,,,,,,,,
Gholdengo,22,held_item,6,Kasib Berry,3.6%,,,,,,,,
Gholdengo,22,held_item,7,White Herb,2.3%,,,,,,,,
Gholdengo,22,held_item,8,Focus Sash,2.2%,,,,,,,,
Gholdengo,22,held_item,9,Spell Tag,1.0%,,,,,,,,
Gholdengo,22,held_item,10,Expert Belt,0.7%,,,,,,,,
Gholdengo,22,teammate,1,Garchomp,,,,,,,,,
Gholdengo,22,teammate,2,Hippowdon,,,,,,,,,
Gholdengo,22,teammate,3,Dragonite,,,,,,,,,
Gholdengo,22,teammate,4,Gyarados,,,,,,,,,
Gholdengo,22,teammate,5,Scizor,,,,,,,,,
Gholdengo,22,teammate,6,Primarina,,,,,,,,,
Gholdengo,22,teammate,7,Hydreigon,,,,,,,,,
Gholdengo,22,teammate,8,Meowscarada,,,,,,,,,
Gholdengo,22,teammate,9,Delphox,,,,,,,,,
Gholdengo,22,teammate,10,Archaludon,,,,,,,,,
Gholdengo,22,stat_alignment,1,Modest,56.4%,Sp. Atk,Attack,,,,,,
Gholdengo,22,stat_alignment,2,Timid,26.5%,Speed,Attack,,,,,,
Gholdengo,22,stat_alignment,3,Bold,13.0%,Defense,Attack,,,,,,
Gholdengo,22,stat_alignment,4,Calm,3.2%,Sp. Def,Attack,,,,,,
Gholdengo,22,stat_alignment,5,Mild,0.3%,Sp. Atk,Defense,,,,,,
Gholdengo,22,stat_alignment,6,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Gholdengo,22,stat_alignment,7,Hasty,0.1%,Speed,Defense,,,,,,
Gholdengo,22,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Gholdengo,22,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gholdengo,22,stat_alignment,10,Relaxed,0.0%,Defense,Speed,,,,,,
Gholdengo,22,stat_points,1,,16.2%,,,2,0,0,32,0,32
Gholdengo,22,stat_points,2,,8.0%,,,27,0,0,22,0,17
Gholdengo,22,stat_points,3,,6.4%,,,1,0,1,32,0,32
Gholdengo,22,stat_points,4,,5.1%,,,1,0,0,32,1,32
Gholdengo,22,stat_points,5,,4.0%,,,31,0,0,17,9,9
Gholdengo,22,stat_points,6,,2.1%,,,31,0,13,0,22,0
Gholdengo,22,stat_points,7,,1.8%,,,0,0,2,32,0,32
Gholdengo,22,stat_points,8,,1.8%,,,0,0,0,32,2,32
Gholdengo,22,stat_points,9,,1.6%,,,31,0,32,0,0,3
Gholdengo,22,stat_points,10,,1.6%,,,32,0,0,32,0,2
Gholdengo,22,ability,1,Good as Gold,100.0%,,,,,,,,
