pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Klefki,159,move,1,Reflect,63.5%,,,,,,,,
Klefki,159,move,2,Light Screen,62.8%,,,,,,,,
Klefki,159,move,3,Steel Beam,48.1%,,,,,,,,
Klefki,159,move,4,Thunder Wave,33.3%,,,,,,,,
Klefki,159,move,5,Draining Kiss,27.2%,,,,,,,,
Klefki,159,move,6,Calm Mind,22.6%,,,,,,,,
Klefki,159,move,7,Foul Play,20.0%,,,,,,,,
Klefki,159,move,8,Spikes,20.0%,,,,,,,,
Klefki,159,move,9,Magnet Rise,18.6%,,,,,,,,
Klefki,159,move,10,Iron Defense,15.4%,,,,,,,,
Klefki,159,held_item,1,Light Clay,56.6%,,,,,,,,
Klefki,159,held_item,2,Leftovers,15.6%,,,,,,,,
Klefki,159,held_item,3,Damp Rock,5.0%,,,,,,,,
Klefki,159,held_item,4,Sitrus Berry,5.0%,,,,,,,,
Klefki,159,held_item,5,Focus Sash,2.2%,,,,,,,,
Klefki,159,held_item,6,Choice Scarf,2.0%,,,,,,,,
Klefki,159,held_item,7,Mental Herb,9.9%,,,,,,,,
Klefki,159,held_item,8,Bright Powder,1.6%,,,,,,,,
Klefki,159,held_item,9,Big Root,1.3%,,,,,,,,
Klefki,159,held_item,10,Occa Berry,1.2%,,,,,,,,
Klefki,159,teammate,1,Garchomp,,,,,,,,,
Klefki,159,teammate,2,Archaludon,,,,,,,,,
Klefki,159,teammate,3,Meowscarada,,,,,,,,,
Klefki,159,teammate,4,Mimikyu,,,,,,,,,
Klefki,159,teammate,5,Gyarados,,,,,,,,,
Klefki,159,teammate,6,Dragonite,,,,,,,,,
Klefki,159,teammate,7,Primarina,,,,,,,,,
Klefki,159,teammate,8,Charizard,,,,,,,,,
Klefki,159,teammate,9,Staraptor,,,,,,,,,
Klefki,159,teammate,10,Mawile,,,,,,,,,
Klefki,159,stat_alignment,1,Bold,50.4%,Defense,Attack,,,,,,
Klefki,159,stat_alignment,2,Calm,20.7%,Sp. Def,Attack,,,,,,
Klefki,159,stat_alignment,3,Modest,15.8%,Sp. Atk,Attack,,,,,,
Klefki,159,stat_alignment,4,Relaxed,3.1%,Defense,Speed,,,,,,
Klefki,159,stat_alignment,5,Quiet,2.8%,Sp. Atk,Speed,,,,,,
Klefki,159,stat_alignment,6,Timid,2.6%,Speed,Attack,,,,,,
Klefki,159,stat_alignment,7,Sassy,1.8%,Sp. Def,Speed,,,,,,
Klefki,159,stat_alignment,8,Impish,1.5%,Defense,Sp. Atk,,,,,,
Klefki,159,stat_alignment,9,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Klefki,159,stat_alignment,10,Serious,0.0%,Sp. Atk,Defense,,,,,,
Klefki,159,stat_points,1,,26.7%,,,32,0,32,0,2,0
Klefki,159,stat_points,2,,5.7%,,,32,0,2,0,32,0
Klefki,159,stat_points,3,,4.4%,,,32,0,0,32,2,0
Klefki,159,stat_points,4,,4.4%,,,2,0,32,0,32,0
Klefki,159,stat_points,5,,4.3%,,,32,0,21,0,13,0
Klefki,159,stat_points,6,,1.9%,,,32,0,0,32,0,2
Klefki,159,stat_points,7,,1.6%,,,32,0,32,2,0,0
Klefki,159,stat_points,8,,1.4%,,,2,0,32,32,0,0
Klefki,159,stat_points,9,,1.3%,,,32,0,32,0,0,0
Klefki,159,stat_points,10,,1.2%,,,31,0,32,0,3,0
Klefki,159,ability,1,Prankster,98.3%,,,,,,,,
Klefki,159,ability,2,Magician,1.7%,,,,,,,,
