pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lucario,86,move,6,Flash Cannon,30.5%,,,,,,,,
Lucario,86,move,7,Detect,29.0%,,,,,,,,
Lucario,86,move,8,Vacuum Wave,18.5%,,,,,,,,
Lucario,86,move,9,Extreme Speed,14.1%,,,,,,,,
Lucario,86,move,10,Ice Punch,11.8%,,,,,,,,
Lucario,86,held_item,1,Lucarionite,69.1%,,,,,,,,
Lucario,86,held_item,2,Focus Sash,8.0%,,,,,,,,
Lucario,86,held_item,3,Choice Scarf,7.6%,,,,,,,,
Lucario,86,held_item,4,Life Orb,9.4%,,,,,,,,
Lucario,86,held_item,5,Expert Belt,1.7%,,,,,,,,
Lucario,86,held_item,6,Black Belt,1.3%,,,,,,,,
Lucario,86,held_item,7,Quick Claw,0.8%,,,,,,,,
Lucario,86,held_item,8,Sitrus Berry,0.7%,,,,,,,,
Lucario,86,held_item,9,Wide Lens,0.6%,,,,,,,,
Lucario,86,held_item,10,Muscle Band,0.6%,,,,,,,,
Lucario,86,teammate,1,Garchomp,,,,,,,,,
Lucario,86,teammate,2,Whimsicott,,,,,,,,,
Lucario,86,teammate,3,Basculegion Male,,,,,,,,,
Lucario,86,teammate,4,Sinistcha,,,,,,,,,
Lucario,86,teammate,5,Talonflame,,,,,,,,,
Lucario,86,teammate,6,Incineroar,,,,,,,,,
Lucario,86,teammate,7,Farigiraf,,,,,,,,,
Lucario,86,teammate,8,Milotic,,,,,,,,,
Lucario,86,teammate,9,Sylveon,,,,,,,,,
Lucario,86,teammate,10,Charizard,,,,,,,,,
Lucario,86,stat_alignment,1,Jolly,32.5%,Speed,Sp. Atk,,,,,,
Lucario,86,stat_alignment,2,Adamant,19.4%,Attack,Sp. Atk,,,,,,
Lucario,86,stat_alignment,3,Timid,17.0%,Speed,Attack,,,,,,
Lucario,86,stat_alignment,4,Modest,14.5%,Sp. Atk,Attack,,,,,,
Lucario,86,stat_alignment,5,Hasty,4.6%,Speed,Defense,,,,,,
Lucario,86,stat_alignment,6,Naive,3.4%,Speed,Sp. Def,,,,,,
Lucario,86,stat_alignment,7,Brave,1.7%,Attack,Speed,,,,,,
Lucario,86,stat_alignment,8,Quiet,1.1%,Sp. Atk,Speed,,,,,,
Lucario,86,stat_alignment,9,Lonely,1.0%,Attack,Defense,,,,,,
Lucario,86,stat_alignment,10,Naughty,0.0%,Attack,Sp. Def,,,,,,
Lucario,86,stat_points,1,,27.9%,,,2,32,0,0,0,32
Lucario,86,stat_points,2,,19.8%,,,2,0,0,32,0,32
Lucario,86,stat_points,3,,4.2%,,,0,32,0,0,2,32
Lucario,86,stat_points,4,,3.8%,,,0,32,2,0,0,32
Lucario,86,stat_points,5,,2.7%,,,32,2,0,0,0,32
Lucario,86,stat_points,6,,1.5%,,,0,0,2,32,0,32
Lucario,86,stat_points,7,,1.4%,,,0,32,0,0,0,32
Lucario,86,stat_points,8,,1.3%,,,0,0,0,32,0,32
Lucario,86,stat_points,9,,1.2%,,,32,32,0,0,0,2
Lucario,86,stat_points,10,,1.0%,,,32,32,0,0,2,0
Lucario,86,ability,1,Inner Focus,83.3%,,,,,,,,
Lucario,86,ability,2,Justified,11.9%,,,,,,,,
Lucario,86,ability,3,Steadfast,4.8%,,,,,,,,
