pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Machamp,159,move,1,Dynamic Punch,79.8%,,,,,,,,
Machamp,159,move,2,Stone Edge,58.5%,,,,,,,,
Machamp,159,move,3,Bullet Punch,42.1%,,,,,,,,
Machamp,159,move,4,Wide Guard,35.8%,,,,,,,,
Machamp,159,move,5,Ice Punch,35.4%,,,,,,,,
Machamp,159,move,6,Protect,17.7%,,,,,,,,
Machamp,159,move,7,Rock Slide,16.3%,,,,,,,,
Machamp,159,move,8,Detect,15.8%,,,,,,,,
Machamp,159,move,9,Knock Off,15.2%,,,,,,,,
Machamp,159,move,10,Poison Jab,8.2%,,,,,,,,
Machamp,159,held_item,1,Life Orb,31.2%,,,,,,,,
Machamp,159,held_item,2,Quick Claw,12.2%,,,,,,,,
Machamp,159,held_item,3,Sitrus Berry,9.6%,,,,,,,,
Machamp,159,held_item,4,Expert Belt,9.0%,,,,,,,,
Machamp,159,held_item,5,Muscle Band,7.1%,,,,,,,,
Machamp,159,held_item,6,Black Belt,7.1%,,,,,,,,
Machamp,159,held_item,7,Focus Sash,6.3%,,,,,,,,
Machamp,159,held_item,8,Scope Lens,6.3%,,,,,,,,
Machamp,159,held_item,9,Leftovers,4.7%,,,,,,,,
Machamp,159,held_item,10,Lum Berry,3.0%,,,,,,,,
Machamp,159,teammate,1,Farigiraf,,,,,,,,,
Machamp,159,teammate,2,Incineroar,,,,,,,,,
Machamp,159,teammate,3,Torkoal,,,,,,,,,
Machamp,159,teammate,4,Sinistcha,,,,,,,,,
Machamp,159,teammate,5,Charizard,,,,,,,,,
Machamp,159,teammate,6,Kingambit,,,,,,,,,
Machamp,159,teammate,7,Sylveon,,,,,,,,,
Machamp,159,teammate,8,Mawile,,,,,,,,,
Machamp,159,teammate,9,Oranguru,,,,,,,,,
Machamp,159,teammate,10,Whimsicott,,,,,,,,,
Machamp,159,stat_alignment,1,Adamant,52.1%,Attack,Sp. Atk,,,,,,
Machamp,159,stat_alignment,2,Brave,32.3%,Attack,Speed,,,,,,
Machamp,159,stat_alignment,3,Jolly,5.5%,Speed,Sp. Atk,,,,,,
Machamp,159,stat_alignment,4,Careful,3.3%,Sp. Def,Sp. Atk,,,,,,
Machamp,159,stat_alignment,5,Relaxed,1.8%,Defense,Speed,,,,,,
Machamp,159,stat_alignment,6,Impish,1.4%,Defense,Sp. Atk,,,,,,
Machamp,159,stat_alignment,7,Sassy,1.0%,Sp. Def,Speed,,,,,,
Machamp,159,stat_alignment,8,Naughty,0.7%,Attack,Sp. Def,,,,,,
Machamp,159,stat_alignment,9,Lonely,0.4%,Attack,Defense,,,,,,
Machamp,159,stat_alignment,10,Hasty,0.4%,Speed,Defense,,,,,,
Machamp,159,stat_points,1,,27.8%,,,32,32,2,0,0,0
Machamp,159,stat_points,2,,13.4%,,,32,32,0,0,0,2
Machamp,159,stat_points,3,,11.0%,,,32,32,0,0,2,0
Machamp,159,stat_points,4,,5.8%,,,2,32,0,0,0,32
Machamp,159,stat_points,5,,1.9%,,,0,32,0,0,2,32
Machamp,159,stat_points,6,,1.5%,,,2,32,0,0,32,0
Machamp,159,stat_points,7,,1.5%,,,2,32,32,0,0,0
Machamp,159,stat_points,8,,1.4%,,,0,32,2,0,0,32
Machamp,159,stat_points,9,,1.3%,,,0,32,32,0,2,0
Machamp,159,stat_points,10,,1.2%,,,32,32,1,0,1,0
Machamp,159,ability,1,No Guard,89.3%,,,,,,,,
Machamp,159,ability,2,Guts,9.3%,,,,,,,,
Machamp,159,ability,3,Steadfast,1.4%,,,,,,,,
