pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Azumarill,159,move,1,Aqua Jet,87.4%,,,,,,,,
Azumarill,159,move,2,Play Rough,79.0%,,,,,,,,
Azumarill,159,move,3,Protect,66.1%,,,,,,,,
Azumarill,159,move,4,Belly Drum,60.5%,,,,,,,,
Azumarill,159,move,5,Liquidation,31.6%,,,,,,,,
Azumarill,159,move,6,Knock Off,16.4%,,,,,,,,
Azumarill,159,move,7,Ice Spinner,5.5%,,,,,,,,
Azumarill,159,move,8,Ice Punch,4.7%,,,,,,,,
Azumarill,159,move,9,Waterfall,3.3%,,,,,,,,
Azumarill,159,move,10,Superpower,23.2%,,,,,,,,
Azumarill,159,held_item,1,Sitrus Berry,71.7%,,,,,,,,
Azumarill,159,held_item,2,Life Orb,8.1%,,,,,,,,
Azumarill,159,held_item,3,Leftovers,3.9%,,,,,,,,
Azumarill,159,held_item,4,Mystic Water,3.7%,,,,,,,,
Azumarill,159,held_item,5,Quick Claw,3.5%,,,,,,,,
Azumarill,159,held_item,6,Focus Sash,2.2%,,,,,,,,
Azumarill,159,held_item,7,Unknown Item 564,1.8%,,,,,,,,
Azumarill,159,held_item,8,White Herb,1.6%,,,,,,,,
Azumarill,159,held_item,9,Psychic Seed,1.5%,,,,,,,,
Azumarill,159,held_item,10,Wide Lens,0.6%,,,,,,,,
Azumarill,159,teammate,1,Rillaboom,,,,,,,,,
Azumarill,159,teammate,2,Farigiraf,,,,,,,,,
Azumarill,159,teammate,3,Maushold Form 1,,,,,,,,,
Azumarill,159,teammate,4,Kingambit,,,,,,,,,
Azumarill,159,teammate,5,Raichu,,,,,,,,,
Azumarill,159,teammate,6,Camerupt,,,,,,,,,
Azumarill,159,teammate,7,Salamence,,,,,,,,,
Azumarill,159,teammate,8,Charizard,,,,,,,,,
Azumarill,159,teammate,9,Incineroar,,,,,,,,,
Azumarill,159,teammate,10,Indeedee Female,,,,,,,,,
Azumarill,159,stat_alignment,1,Adamant,61.6%,Attack,Sp. Atk,,,,,,
Azumarill,159,stat_alignment,2,Brave,30.2%,Attack,Speed,,,,,,
Azumarill,159,stat_alignment,3,Modest,2.2%,Sp. Atk,Attack,,,,,,
Azumarill,159,stat_alignment,4,Mild,2.0%,Sp. Atk,Defense,,,,,,
Azumarill,159,stat_alignment,5,Relaxed,1.3%,Defense,Speed,,,,,,
Azumarill,159,stat_alignment,6,Lonely,0.7%,Attack,Defense,,,,,,
Azumarill,159,stat_alignment,7,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Azumarill,159,stat_alignment,8,Calm,0.6%,Sp. Def,Attack,,,,,,
Azumarill,159,stat_alignment,9,Impish,0.4%,Defense,Sp. Atk,,,,,,
Azumarill,159,stat_alignment,10,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Azumarill,159,stat_points,1,,10.5%,,,32,32,0,0,0,2
Azumarill,159,stat_points,2,,9.0%,,,31,32,0,0,3,0
Azumarill,159,stat_points,3,,7.8%,,,32,32,0,0,2,0
Azumarill,159,stat_points,4,,5.1%,,,31,32,1,0,2,0
Azumarill,159,stat_points,5,,5.1%,,,32,32,1,0,0,0
Azumarill,159,stat_points,6,,5.0%,,,29,32,2,0,3,0
Azumarill,159,stat_points,7,,3.9%,,,13,31,11,0,11,0
Azumarill,159,stat_points,8,,3.6%,,,5,32,14,0,15,0
Azumarill,159,stat_points,9,,3.6%,,,31,32,2,0,1,0
Azumarill,159,stat_points,10,,3.2%,,,19,32,1,0,1,13
Azumarill,159,ability,1,Huge Power,92.5%,,,,,,,,
Azumarill,159,ability,2,Sap Sipper,7.5%,,,,,,,,
