pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Slowking,95,move,1,Trick Room,82.5%,,,,,,,,
Galarian Slowking,95,move,2,Chilly Reception,47.6%,,,,,,,,
Galarian Slowking,95,move,3,Sludge Bomb,42.5%,,,,,,,,
Galarian Slowking,95,move,4,Psychic,33.7%,,,,,,,,
Galarian Slowking,95,move,5,Acid Spray,29.5%,,,,,,,,
Galarian Slowking,95,move,6,Psychic Noise,28.6%,,,,,,,,
Galarian Slowking,95,move,7,Protect,19.5%,,,,,,,,
Galarian Slowking,95,move,8,Heal Pulse,17.8%,,,,,,,,
Galarian Slowking,95,move,9,Ice Beam,8.4%,,,,,,,,
Galarian Slowking,95,move,10,Expanding Force,6.9%,,,,,,,,
Galarian Slowking,95,held_item,1,Sitrus Berry,43.2%,,,,,,,,
Galarian Slowking,95,held_item,2,Leftovers,13.7%,,,,,,,,
Galarian Slowking,95,held_item,3,Colbur Berry,19.1%,,,,,,,,
Galarian Slowking,95,held_item,4,Mental Herb,9.2%,,,,,,,,
Galarian Slowking,95,held_item,5,Shuca Berry,3.4%,,,,,,,,
Galarian Slowking,95,held_item,6,Focus Sash,3.4%,,,,,,,,
Galarian Slowking,95,held_item,7,Life Orb,3.0%,,,,,,,,
Galarian Slowking,95,held_item,8,Quick Claw,2.6%,,,,,,,,
Galarian Slowking,95,held_item,9,Twisted Spoon,1.4%,,,,,,,,
Galarian Slowking,95,held_item,10,Bright Powder,1.2%,,,,,,,,
Galarian Slowking,95,teammate,1,Incineroar,,,,,,,,,
Galarian Slowking,95,teammate,2,Primarina,,,,,,,,,
Galarian Slowking,95,teammate,3,Scovillain,,,,,,,,,
Galarian Slowking,95,teammate,4,Chesnaught,,,,,,,,,
Galarian Slowking,95,teammate,5,Mamoswine,,,,,,,,,
Galarian Slowking,95,teammate,6,Sinistcha,,,,,,,,,
Galarian Slowking,95,teammate,7,Kingambit,,,,,,,,,
Galarian Slowking,95,teammate,8,Farigiraf,,,,,,,,,
Galarian Slowking,95,teammate,9,Blastoise,,,,,,,,,
Galarian Slowking,95,teammate,10,Sylveon,,,,,,,,,
Galarian Slowking,95,stat_alignment,1,Sassy,30.6%,Sp. Def,Speed,,,,,,
Galarian Slowking,95,stat_alignment,2,Relaxed,26.0%,Defense,Speed,,,,,,
Galarian Slowking,95,stat_alignment,3,Quiet,15.6%,Sp. Atk,Speed,,,,,,
Galarian Slowking,95,stat_alignment,4,Modest,11.4%,Sp. Atk,Attack,,,,,,
Galarian Slowking,95,stat_alignment,5,Bold,7.8%,Defense,Attack,,,,,,
Galarian Slowking,95,stat_alignment,6,Calm,5.0%,Sp. Def,Attack,,,,,,
Galarian Slowking,95,stat_alignment,7,Mild,0.5%,Sp. Atk,Defense,,,,,,
Galarian Slowking,95,stat_alignment,8,Hasty,0.4%,Speed,Defense,,,,,,
Galarian Slowking,95,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,
Galarian Slowking,95,stat_alignment,10,Brave,0.0%,Attack,Speed,,,,,,
Galarian Slowking,95,stat_points,1,,23.0%,,,32,0,14,0,20,0
Galarian Slowking,95,stat_points,2,,8.3%,,,32,0,32,0,2,0
Galarian Slowking,95,stat_points,3,,5.8%,,,32,0,2,32,0,0
Galarian Slowking,95,stat_points,4,,3.7%,,,32,0,0,32,2,0
Galarian Slowking,95,stat_points,5,,3.2%,,,0,0,32,32,2,0
Galarian Slowking,95,stat_points,6,,2.4%,,,32,0,31,0,3,0
Galarian Slowking,95,stat_points,7,,2.2%,,,2,0,0,32,32,0
Galarian Slowking,95,stat_points,8,,2.1%,,,2,0,32,32,0,0
Galarian Slowking,95,stat_points,9,,2.1%,,,32,0,2,0,32,0
Galarian Slowking,95,stat_points,10,,2.1%,,,0,0,2,32,32,0
Galarian Slowking,95,ability,1,Regenerator,85.7%,,,,,,,,
Galarian Slowking,95,ability,2,Curious Medicine,9.4%,,,,,,,,
Galarian Slowking,95,ability,3,Own Tempo,4.9%,,,,,,,,
