pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Watchog,245,move,1,Detect,52.0%,,,,,,,,
Watchog,245,move,2,Super Fang,50.7%,,,,,,,,
Watchog,245,move,3,Ice Punch,49.3%,,,,,,,,
Watchog,245,move,4,Fling,48.0%,,,,,,,,
Watchog,245,move,5,Double-Edge,48.0%,,,,,,,,
Watchog,245,move,6,Fire Punch,28.0%,,,,,,,,
Watchog,245,move,7,Hypnosis,26.7%,,,,,,,,
Watchog,245,move,8,Giga Impact,25.3%,,,,,,,,
Watchog,245,move,9,Rain Dance,15.3%,,,,,,,,
Watchog,245,move,10,Helping Hand,15.3%,,,,,,,,
Watchog,245,held_item,1,Lopunnite,40.0%,,,,,,,,
Watchog,245,held_item,2,Wide Lens,4.3%,,,,,,,,
Watchog,245,held_item,3,Sitrus Berry,12.7%,,,,,,,,
Watchog,245,held_item,4,Grassy Seed,2.7%,,,,,,,,
Watchog,245,held_item,5,Chople Berry,41.3%,,,,,,,,
Watchog,245,teammate,1,Simipour,,,,,,,,,
Watchog,245,teammate,2,Qwilfish,,,,,,,,,
Watchog,245,teammate,3,Castform,,,,,,,,,
Watchog,245,teammate,4,Simisage,,,,,,,,,
Watchog,245,teammate,5,Simisear,,,,,,,,,
Watchog,245,teammate,6,Whimsicott,,,,,,,,,
Watchog,245,teammate,7,Farigiraf,,,,,,,,,
Watchog,245,teammate,8,Salamence,,,,,,,,,
Watchog,245,teammate,9,Basculegion Male,,,,,,,,,
Watchog,245,teammate,10,Glimmora,,,,,,,,,
Watchog,245,stat_alignment,1,Brave,28.0%,Attack,Speed,,,,,,
Watchog,245,stat_alignment,2,Jolly,26.7%,Speed,Sp. Atk,,,,,,
Watchog,245,stat_alignment,3,Impish,25.3%,Defense,Sp. Atk,,,,,,
Watchog,245,stat_points,1,,18.0%,,,32,32,2,0,0,0
Watchog,245,stat_points,2,,15.3%,,,2,32,0,0,0,32
Watchog,245,stat_points,3,,4.0%,,,32,0,32,0,2,0
Watchog,245,stat_points,4,,1.3%,,,32,0,2,0,0,32
Watchog,245,stat_points,5,,1.3%,,,32,2,32,0,0,0
Watchog,245,ability,1,Analytic,84.7%,,,,,,,,
Watchog,245,ability,2,Illuminate,15.3%,,,,,,,,
