pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Basculegion Male,17,move,1,Last Respects,99.8%,,,,,,,,
Basculegion Male,17,move,2,Wave Crash,97.5%,,,,,,,,
Basculegion Male,17,move,3,Aqua Jet,92.1%,,,,,,,,
Basculegion Male,17,move,4,Flip Turn,76.4%,,,,,,,,
Basculegion Male,17,move,5,Agility,11.5%,,,,,,,,
Basculegion Male,17,move,6,Ice Fang,4.1%,,,,,,,,
Basculegion Male,17,move,7,Head Smash,2.9%,,,,,,,,
Basculegion Male,17,move,8,Psychic Fangs,2.8%,,,,,,,,
Basculegion Male,17,move,9,Substitute,2.8%,,,,,,,,
Basculegion Male,17,move,10,Endeavor,2.3%,,,,,,,,
Basculegion Male,17,held_item,1,Choice Scarf,55.3%,,,,,,,,
Basculegion Male,17,held_item,2,Life Orb,12.0%,,,,,,,,
Basculegion Male,17,held_item,3,Mystic Water,21.6%,,,,,,,,
Basculegion Male,17,held_item,4,Focus Sash,6.4%,,,,,,,,
Basculegion Male,17,held_item,5,Spell Tag,2.8%,,,,,,,,
Basculegion Male,17,held_item,6,Sitrus Berry,0.8%,,,,,,,,
Basculegion Male,17,held_item,7,Kasib Berry,0.2%,,,,,,,,
Basculegion Male,17,held_item,8,Quick Claw,0.2%,,,,,,,,
Basculegion Male,17,held_item,9,Colbur Berry,0.2%,,,,,,,,
Basculegion Male,17,held_item,10,Lum Berry,0.1%,,,,,,,,
Basculegion Male,17,teammate,1,Garchomp,,,,,,,,,
Basculegion Male,17,teammate,2,Golisopod,,,,,,,,,
Basculegion Male,17,teammate,3,Pawmot,,,,,,,,,
Basculegion Male,17,teammate,4,Salamence,,,,,,,,,
Basculegion Male,17,teammate,5,Archaludon,,,,,,,,,
Basculegion Male,17,teammate,6,Banette,,,,,,,,,
Basculegion Male,17,teammate,7,Lucario,,,,,,,,,
Basculegion Male,17,teammate,8,Primarina,,,,,,,,,
Basculegion Male,17,teammate,9,Baxcalibur,,,,,,,,,
Basculegion Male,17,teammate,10,Hippowdon,,,,,,,,,
Basculegion Male,17,stat_alignment,1,Jolly,5.2%,Speed,Sp. Atk,,,,,,
Basculegion Male,17,stat_alignment,2,Adamant,43.1%,Attack,Sp. Atk,,,,,,
Basculegion Male,17,stat_alignment,3,Brave,0.6%,Attack,Speed,,,,,,
Basculegion Male,17,stat_alignment,4,Naive,0.3%,Speed,Sp. Def,,,,,,
Basculegion Male,17,stat_alignment,5,Naughty,0.2%,Attack,Sp. Def,,,,,,
Basculegion Male,17,stat_alignment,6,Impish,0.2%,Defense,Sp. Atk,,,,,,
Basculegion Male,17,stat_alignment,7,Hasty,0.1%,Speed,Defense,,,,,,
Basculegion Male,17,stat_alignment,8,Lonely,0.1%,Attack,Defense,,,,,,
Basculegion Male,17,stat_alignment,9,Timid,0.0%,Speed,Attack,,,,,,
Basculegion Male,17,stat_alignment,10,Careful,0.0%,Sp. Def,Sp. Atk,,,,,,
Basculegion Male,17,stat_points,1,,43.1%,,,2,32,0,0,0,32
Basculegion Male,17,stat_points,2,,17.1%,,,0,32,2,0,0,32
Basculegion Male,17,stat_points,3,,5.4%,,,0,32,1,0,1,32
Basculegion Male,17,stat_points,4,,2.8%,,,0,26,8,0,0,32
Basculegion Male,17,stat_points,5,,2.5%,,,0,32,0,0,2,32
Basculegion Male,17,stat_points,6,,1.8%,,,0,32,0,0,0,32
Basculegion Male,17,stat_points,7,,1.7%,,,0,32,13,0,0,21
Basculegion Male,17,stat_points,8,,1.5%,,,2,32,32,0,0,0
Basculegion Male,17,stat_points,9,,1.2%,,,1,32,1,0,0,32
Basculegion Male,17,stat_points,10,,1.2%,,,4,32,5,0,0,25
Basculegion Male,17,ability,1,Adaptability,96.6%,,,,,,,,
Basculegion Male,17,ability,2,Swift Swim,2.6%,,,,,,,,
Basculegion Male,17,ability,3,Mold Breaker,0.8%,,,,,,,,
