pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arcanine,102,move,1,Flare Blitz,78.1%,,,,,,,,
Arcanine,102,move,2,Extreme Speed,74.7%,,,,,,,,
Arcanine,102,move,3,Protect,44.2%,,,,,,,,
Arcanine,102,move,4,Howl,19.9%,,,,,,,,
Arcanine,102,move,5,Snarl,27.7%,,,,,,,,
Arcanine,102,move,6,Will-O-Wisp,21.5%,,,,,,,,
Arcanine,102,move,7,Heat Wave,12.5%,,,,,,,,
Arcanine,102,move,8,Wild Charge,28.6%,,,,,,,,
Arcanine,102,move,9,Morning Sun,7.1%,,,,,,,,
Arcanine,102,move,10,Play Rough,6.9%,,,,,,,,
Arcanine,102,held_item,1,Sitrus Berry,76.6%,,,,,,,,
Arcanine,102,held_item,2,Leftovers,4.9%,,,,,,,,
Arcanine,102,held_item,3,Life Orb,4.3%,,,,,,,,
Arcanine,102,held_item,4,Shuca Berry,3.7%,,,,,,,,
Arcanine,102,held_item,5,Rocky Helmet,2.7%,,,,,,,,
Arcanine,102,held_item,6,Charcoal,1.9%,,,,,,,,
Arcanine,102,held_item,7,White Herb,1.8%,,,,,,,,
Arcanine,102,held_item,8,Expert Belt,1.5%,,,,,,,,
Arcanine,102,held_item,9,Unknown Item 185,1.3%,,,,,,,,
Arcanine,102,held_item,10,Grassy Seed,1.0%,,,,,,,,
Arcanine,102,teammate,1,Rillaboom,,,,,,,,,
Arcanine,102,teammate,2,Sneasler,,,,,,,,,
Arcanine,102,teammate,3,Kingambit,,,,,,,,,
Arcanine,102,teammate,4,Raichu,,,,,,,,,
Arcanine,102,teammate,5,Baxcalibur,,,,,,,,,
Arcanine,102,teammate,6,Basculegion Male,,,,,,,,,
Arcanine,102,teammate,7,Salamence,,,,,,,,,
Arcanine,102,teammate,8,Garchomp,,,,,,,,,
Arcanine,102,teammate,9,Milotic,,,,,,,,,
Arcanine,102,teammate,10,Indeedee Female,,,,,,,,,
Arcanine,102,stat_alignment,1,Adamant,47.5%,Attack,Sp. Atk,,,,,,
Arcanine,102,stat_alignment,2,Modest,8.3%,Sp. Atk,Attack,,,,,,
Arcanine,102,stat_alignment,3,Jolly,7.0%,Speed,Sp. Atk,,,,,,
Arcanine,102,stat_alignment,4,Timid,4.3%,Speed,Attack,,,,,,
Arcanine,102,stat_alignment,5,Careful,3.4%,Sp. Def,Sp. Atk,,,,,,
Arcanine,102,stat_alignment,6,Calm,3.0%,Sp. Def,Attack,,,,,,
Arcanine,102,stat_alignment,7,Impish,2.4%,Defense,Sp. Atk,,,,,,
Arcanine,102,stat_alignment,8,Bold,2.3%,Defense,Attack,,,,,,
Arcanine,102,stat_alignment,9,Hasty,0.9%,Speed,Defense,,,,,,
Arcanine,102,stat_alignment,10,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Arcanine,102,stat_points,1,,8.0%,,,31,3,3,0,29,0
Arcanine,102,stat_points,2,,7.5%,,,32,32,0,0,0,2
Arcanine,102,stat_points,3,,3.4%,,,30,11,15,0,2,8
Arcanine,102,stat_points,4,,2.1%,,,32,0,1,0,1,32
Arcanine,102,stat_points,5,,1.9%,,,31,0,12,7,13,3
Arcanine,102,stat_points,6,,1.4%,,,2,32,0,0,0,32
Arcanine,102,stat_points,7,,1.2%,,,31,32,0,0,0,3
Arcanine,102,stat_points,8,,1.2%,,,32,15,15,0,0,4
Arcanine,102,stat_points,9,,1.1%,,,32,0,14,0,20,0
Arcanine,102,stat_points,10,,1.0%,,,32,0,2,0,32,0
Arcanine,102,ability,1,Intimidate,84.1%,,,,,,,,
Arcanine,102,ability,2,Flash Fire,13.5%,,,,,,,,
Arcanine,102,ability,3,Justified,2.4%,,,,,,,,
