pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hippowdon,158,move,1,Yawn,36.7%,,,,,,,,
Hippowdon,158,move,2,Earthquake,44.4%,,,,,,,,
Hippowdon,158,move,3,Protect,44.7%,,,,,,,,
Hippowdon,158,move,4,High Horsepower,44.3%,,,,,,,,
Hippowdon,158,move,5,Stealth Rock,22.0%,,,,,,,,
Hippowdon,158,move,6,Slack Off,30.7%,,,,,,,,
Hippowdon,158,move,7,Whirlwind,19.5%,,,,,,,,
Hippowdon,158,move,8,Rock Slide,24.8%,,,,,,,,
Hippowdon,158,move,9,Stone Edge,15.3%,,,,,,,,
Hippowdon,158,move,10,Rock Tomb,29.1%,,,,,,,,
Hippowdon,158,held_item,1,Leftovers,19.9%,,,,,,,,
Hippowdon,158,held_item,2,Sitrus Berry,49.1%,,,,,,,,
Hippowdon,158,held_item,3,Rocky Helmet,14.8%,,,,,,,,
Hippowdon,158,held_item,4,Grassy Seed,3.1%,,,,,,,,
Hippowdon,158,held_item,5,Bright Powder,2.6%,,,,,,,,
Hippowdon,158,held_item,6,Mental Herb,1.8%,,,,,,,,
Hippowdon,158,held_item,7,Quick Claw,1.4%,,,,,,,,
Hippowdon,158,held_item,8,Smooth Rock,1.0%,,,,,,,,
Hippowdon,158,held_item,9,Soft Sand,0.8%,,,,,,,,
Hippowdon,158,held_item,10,Hard Stone,0.5%,,,,,,,,
Hippowdon,158,teammate,1,Rillaboom,,,,,,,,,
Hippowdon,158,teammate,2,Salamence,,,,,,,,,
Hippowdon,158,teammate,3,Incineroar,,,,,,,,,
Hippowdon,158,teammate,4,Hisuian Typhlosion,,,,,,,,,
Hippowdon,158,teammate,5,Alolan Persian,,,,,,,,,
Hippowdon,158,teammate,6,Kingambit,,,,,,,,,
Hippowdon,158,teammate,7,Glimmora,,,,,,,,,
Hippowdon,158,teammate,8,Torkoal,,,,,,,,,
Hippowdon,158,teammate,9,Garchomp,,,,,,,,,
Hippowdon,158,teammate,10,Golisopod,,,,,,,,,
Hippowdon,158,stat_alignment,1,Careful,20.8%,Sp. Def,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,2,Sassy,14.5%,Sp. Def,Speed,,,,,,
Hippowdon,158,stat_alignment,3,Brave,14.3%,Attack,Speed,,,,,,
Hippowdon,158,stat_alignment,4,Impish,12.5%,Defense,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,5,Adamant,4.5%,Attack,Sp. Atk,,,,,,
Hippowdon,158,stat_alignment,6,Calm,1.4%,Sp. Def,Attack,,,,,,
Hippowdon,158,stat_alignment,7,Relaxed,1.3%,Defense,Speed,,,,,,
Hippowdon,158,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Hippowdon,158,stat_alignment,9,Bold,0.1%,Defense,Attack,,,,,,
Hippowdon,158,stat_points,1,,23.0%,,,32,0,1,0,32,0
Hippowdon,158,stat_points,2,,12.4%,,,32,0,2,0,32,0
Hippowdon,158,stat_points,3,,7.0%,,,2,0,32,0,32,0
Hippowdon,158,stat_points,4,,6.4%,,,32,8,2,0,24,0
Hippowdon,158,stat_points,5,,4.3%,,,32,2,0,0,32,0
Hippowdon,158,stat_points,6,,4.2%,,,32,0,32,0,2,0
Hippowdon,158,stat_points,7,,2.9%,,,32,0,12,0,22,0
Hippowdon,158,stat_points,8,,2.7%,,,25,0,12,0,29,0
Hippowdon,158,stat_points,9,,2.4%,,,32,1,15,0,18,0
Hippowdon,158,stat_points,10,,2.3%,,,9,32,2,0,23,0
Hippowdon,158,ability,1,Sand Stream,96.7%,,,,,,,,
Hippowdon,158,ability,2,Sand Force,3.3%,,,,,,,,
