pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Krookodile,159,move,1,High Horsepower,28.9%,,,,,,,,
Krookodile,159,move,2,Rock Slide,56.9%,,,,,,,,
Krookodile,159,move,3,Earthquake,75.1%,,,,,,,,
Krookodile,159,move,4,Protect,50.7%,,,,,,,,
Krookodile,159,move,5,Knock Off,69.9%,,,,,,,,
Krookodile,159,move,6,Throat Chop,2.7%,,,,,,,,
Krookodile,159,move,7,Close Combat,12.3%,,,,,,,,
Krookodile,159,move,8,Taunt,10.8%,,,,,,,,
Krookodile,159,move,9,Crunch,10.2%,,,,,,,,
Krookodile,159,move,10,Iron Head,8.6%,,,,,,,,
Krookodile,159,held_item,1,Choice Scarf,53.5%,,,,,,,,
Krookodile,159,held_item,2,Life Orb,16.4%,,,,,,,,
Krookodile,159,held_item,3,Focus Sash,12.7%,,,,,,,,
Krookodile,159,held_item,4,Sitrus Berry,1.9%,,,,,,,,
Krookodile,159,held_item,5,Soft Sand,5.8%,,,,,,,,
Krookodile,159,held_item,6,Expert Belt,3.4%,,,,,,,,
Krookodile,159,held_item,7,Roseli Berry,2.5%,,,,,,,,
Krookodile,159,held_item,8,White Herb,1.7%,,,,,,,,
Krookodile,159,held_item,9,Leftovers,1.3%,,,,,,,,
Krookodile,159,held_item,10,Muscle Band,0.8%,,,,,,,,
Krookodile,159,teammate,1,Sneasler,,,,,,,,,
Krookodile,159,teammate,2,Salamence,,,,,,,,,
Krookodile,159,teammate,3,Indeedee Female,,,,,,,,,
Krookodile,159,teammate,4,Rillaboom,,,,,,,,,
Krookodile,159,teammate,5,Whimsicott,,,,,,,,,
Krookodile,159,teammate,6,Charizard,,,,,,,,,
Krookodile,159,teammate,7,Golisopod,,,,,,,,,
Krookodile,159,teammate,8,Milotic,,,,,,,,,
Krookodile,159,teammate,9,Ceruledge,,,,,,,,,
Krookodile,159,teammate,10,Indeedee,,,,,,,,,
Krookodile,159,stat_alignment,1,Adamant,66.5%,Attack,Sp. Atk,,,,,,
Krookodile,159,stat_alignment,2,Jolly,27.4%,Speed,Sp. Atk,,,,,,
Krookodile,159,stat_alignment,3,Naughty,3.0%,Attack,Sp. Def,,,,,,
Krookodile,159,stat_alignment,4,Lonely,1.4%,Attack,Defense,,,,,,
Krookodile,159,stat_alignment,5,Brave,0.9%,Attack,Speed,,,,,,
Krookodile,159,stat_alignment,6,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Krookodile,159,stat_alignment,7,Naive,0.2%,Speed,Sp. Def,,,,,,
Krookodile,159,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Krookodile,159,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Krookodile,159,stat_points,1,,32.9%,,,2,32,0,0,0,32
Krookodile,159,stat_points,2,,8.8%,,,0,32,2,0,0,32
Krookodile,159,stat_points,3,,6.9%,,,2,31,0,0,12,21
Krookodile,159,stat_points,4,,4.6%,,,2,32,32,0,0,0
Krookodile,159,stat_points,5,,4.2%,,,0,32,0,0,2,32
Krookodile,159,stat_points,6,,4.1%,,,32,22,0,0,0,12
Krookodile,159,stat_points,7,,3.8%,,,0,32,0,0,9,25
Krookodile,159,stat_points,8,,3.7%,,,0,32,0,0,0,32
Krookodile,159,stat_points,9,,1.7%,,,0,32,19,0,0,15
Krookodile,159,stat_points,10,,1.7%,,,32,32,2,0,0,0
Krookodile,159,ability,1,Intimidate,63.6%,,,,,,,,
Krookodile,159,ability,2,Moxie,26.5%,,,,,,,,
Krookodile,159,ability,3,Anger Point,9.9%,,,,,,,,
