pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lopunny,125,move,1,Fake Out,91.2%,,,,,,,,
Lopunny,125,move,2,Close Combat,84.8%,,,,,,,,
Lopunny,125,move,3,Triple Axel,45.2%,,,,,,,,
Lopunny,125,move,4,Encore,31.8%,,,,,,,,
Lopunny,125,move,5,Protect,27.4%,,,,,,,,
Lopunny,125,move,6,U-turn,25.4%,,,,,,,,
Lopunny,125,move,7,After You,2.1%,,,,,,,,
Lopunny,125,move,8,High Jump Kick,13.1%,,,,,,,,
Lopunny,125,move,9,Giga Impact,11.6%,,,,,,,,
Lopunny,125,move,10,Ice Punch,8.5%,,,,,,,,
Lopunny,125,held_item,1,Lopunnite,97.0%,,,,,,,,
Lopunny,125,held_item,2,Focus Sash,2.1%,,,,,,,,
Lopunny,125,held_item,3,Eject Button,0.6%,,,,,,,,
Lopunny,125,held_item,4,Lucarionite,0.4%,,,,,,,,
Lopunny,125,held_item,5,Sitrus Berry,0.1%,,,,,,,,
Lopunny,125,held_item,6,Chople Berry,0.0%,,,,,,,,
Lopunny,125,held_item,7,White Herb,0.0%,,,,,,,,
Lopunny,125,held_item,8,Life Orb,0.0%,,,,,,,,
Lopunny,125,held_item,9,Unknown Item 278,0.0%,,,,,,,,
Lopunny,125,teammate,1,Basculegion Male,,,,,,,,,
Lopunny,125,teammate,2,Torkoal,,,,,,,,,
Lopunny,125,teammate,3,Farigiraf,,,,,,,,,
Lopunny,125,teammate,4,Rillaboom,,,,,,,,,
Lopunny,125,teammate,5,Indeedee Female,,,,,,,,,
Lopunny,125,teammate,6,Sylveon,,,,,,,,,
Lopunny,125,teammate,7,Kingambit,,,,,,,,,
Lopunny,125,teammate,8,Archaludon,,,,,,,,,
Lopunny,125,teammate,9,Incineroar,,,,,,,,,
Lopunny,125,teammate,10,Sinistcha,,,,,,,,,
Lopunny,125,stat_alignment,1,Jolly,81.4%,Speed,Sp. Atk,,,,,,
Lopunny,125,stat_alignment,2,Adamant,16.3%,Attack,Sp. Atk,,,,,,
Lopunny,125,stat_alignment,3,Serious,1.5%,Attack,Sp. Def,,,,,,
Lopunny,125,stat_alignment,4,Timid,0.3%,Speed,Attack,,,,,,
Lopunny,125,stat_alignment,5,Impish,0.3%,Defense,Sp. Atk,,,,,,
Lopunny,125,stat_alignment,6,Brave,0.1%,Attack,Speed,,,,,,
Lopunny,125,stat_alignment,7,Lonely,0.0%,Attack,Defense,,,,,,
Lopunny,125,stat_alignment,8,Naughty,0.0%,Attack,Sp. Def,,,,,,
Lopunny,125,stat_alignment,9,Docile,0.0%,,,,,,,,
Lopunny,125,stat_alignment,10,Relaxed,0.0%,Defense,Speed,,,,,,
Lopunny,125,stat_points,1,,48.9%,,,2,32,0,0,0,32
Lopunny,125,stat_points,2,,14.3%,,,0,32,2,0,0,32
Lopunny,125,stat_points,3,,8.3%,,,32,0,2,0,0,32
Lopunny,125,stat_points,4,,6.1%,,,1,32,1,0,0,32
Lopunny,125,stat_points,5,,5.1%,,,5,29,0,0,0,32
Lopunny,125,stat_points,6,,2.0%,,,0,32,0,0,0,32
Lopunny,125,stat_points,7,,1.7%,,,32,32,2,0,0,0
Lopunny,125,stat_points,8,,1.3%,,,2,31,1,0,2,30
Lopunny,125,stat_points,9,,1.2%,,,19,15,0,0,0,32
Lopunny,125,stat_points,10,,1.2%,,,32,6,0,0,0,28
Lopunny,125,ability,1,Limber,60.3%,,,,,,,,
Lopunny,125,ability,2,Cute Charm,37.3%,,,,,,,,
Lopunny,125,ability,3,Klutz,2.4%,,,,,,,,
