pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc-Dusk,71,move,1,Accelerock,97.9%,,,,,,,,
Lycanroc-Dusk,71,move,2,Rock Slide,83.3%,,,,,,,,
Lycanroc-Dusk,71,move,3,Protect,92.7%,,,,,,,,
Lycanroc-Dusk,71,move,4,Close Combat,81.6%,,,,,,,,
Lycanroc-Dusk,71,move,5,Psychic Fangs,6.2%,,,,,,,,
Lycanroc-Dusk,71,move,6,Sucker Punch,2.6%,,,,,,,,
Lycanroc-Dusk,71,move,7,Drill Run,2.5%,,,,,,,,
Lycanroc-Dusk,71,move,8,Quick Guard,1.6%,,,,,,,,
Lycanroc-Dusk,71,move,9,Crunch,1.5%,,,,,,,,
Lycanroc-Dusk,71,move,10,Iron Head,1.3%,,,,,,,,
Lycanroc-Dusk,71,held_item,1,Focus Sash,92.7%,,,,,,,,
Lycanroc-Dusk,71,held_item,2,Life Orb,3.6%,,,,,,,,
Lycanroc-Dusk,71,held_item,3,Choice Scarf,0.9%,,,,,,,,
Lycanroc-Dusk,71,held_item,4,Hard Stone,0.8%,,,,,,,,
Lycanroc-Dusk,71,held_item,5,Expert Belt,0.6%,,,,,,,,
Lycanroc-Dusk,71,held_item,6,Unknown Item 230,0.5%,,,,,,,,
Lycanroc-Dusk,71,held_item,7,Chople Berry,0.3%,,,,,,,,
Lycanroc-Dusk,71,held_item,8,White Herb,0.2%,,,,,,,,
Lycanroc-Dusk,71,held_item,9,Babiri Berry,0.1%,,,,,,,,
Lycanroc-Dusk,71,held_item,10,Muscle Band,0.1%,,,,,,,,
Lycanroc-Dusk,71,teammate,1,Basculegion Male,,,,,,,,,
Lycanroc-Dusk,71,teammate,2,Sneasler,,,,,,,,,
Lycanroc-Dusk,71,teammate,3,Kingambit,,,,,,,,,
Lycanroc-Dusk,71,teammate,4,Rillaboom,,,,,,,,,
Lycanroc-Dusk,71,teammate,5,Froslass,,,,,,,,,
Lycanroc-Dusk,71,teammate,6,Scovillain,,,,,,,,,
Lycanroc-Dusk,71,teammate,7,Incineroar,,,,,,,,,
Lycanroc-Dusk,71,teammate,8,Lucario,,,,,,,,,
Lycanroc-Dusk,71,teammate,9,Golisopod,,,,,,,,,
Lycanroc-Dusk,71,teammate,10,Alolan Ninetales,,,,,,,,,
Lycanroc-Dusk,71,stat_alignment,1,Adamant,71.2%,Attack,Sp. Atk,,,,,,
Lycanroc-Dusk,71,stat_alignment,2,Jolly,25.4%,Speed,Sp. Atk,,,,,,
Lycanroc-Dusk,71,stat_alignment,3,Hasty,1.0%,Speed,Defense,,,,,,
Lycanroc-Dusk,71,stat_alignment,4,Naughty,0.8%,Attack,Sp. Def,,,,,,
Lycanroc-Dusk,71,stat_alignment,5,Naive,0.7%,Speed,Sp. Def,,,,,,
Lycanroc-Dusk,71,stat_alignment,6,Lonely,0.6%,Attack,Defense,,,,,,
Lycanroc-Dusk,71,stat_alignment,7,Brave,0.1%,Attack,Speed,,,,,,
Lycanroc-Dusk,71,stat_alignment,8,Serious,0.1%,Defense,Sp. Atk,,,,,,
Lycanroc-Dusk,71,stat_alignment,9,Impish,0.0%,Defense,Sp. Atk,,,,,,
Lycanroc-Dusk,71,stat_points,1,,48.2%,,,2,32,0,0,0,32
Lycanroc-Dusk,71,stat_points,2,,14.9%,,,0,32,2,0,0,32
Lycanroc-Dusk,71,stat_points,3,,12.6%,,,1,32,1,0,0,32
Lycanroc-Dusk,71,stat_points,4,,4.2%,,,0,32,0,0,2,32
Lycanroc-Dusk,71,stat_points,5,,2.8%,,,1,32,0,0,1,32
Lycanroc-Dusk,71,stat_points,6,,2.3%,,,0,32,1,0,1,32
Lycanroc-Dusk,71,stat_points,7,,1.4%,,,0,32,0,0,0,32
Lycanroc-Dusk,71,stat_points,8,,0.6%,,,0,32,2,0,32,0
Lycanroc-Dusk,71,stat_points,9,,0.5%,,,32,32,0,0,0,2
Lycanroc-Dusk,71,stat_points,10,,0.4%,,,15,32,0,0,0,19
Lycanroc-Dusk,71,ability,1,Tough Claws,100.0%,,,,,,,,
