pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mabosstiff,186,move,1,Jaw Lock,75.5%,,,,,,,,
Mabosstiff,186,move,2,Protect,66.3%,,,,,,,,
Mabosstiff,186,move,3,Ice Fang,62.7%,,,,,,,,
Mabosstiff,186,move,4,Psychic Fangs,56.2%,,,,,,,,
Mabosstiff,186,move,5,Play Rough,30.2%,,,,,,,,
Mabosstiff,186,move,6,Crunch,22.7%,,,,,,,,
Mabosstiff,186,move,7,Fire Fang,21.3%,,,,,,,,
Mabosstiff,186,move,8,Comeuppance,16.6%,,,,,,,,
Mabosstiff,186,move,9,Wild Charge,10.1%,,,,,,,,
Mabosstiff,186,move,10,Taunt,7.5%,,,,,,,,
Mabosstiff,186,held_item,1,Life Orb,22.5%,,,,,,,,
Mabosstiff,186,held_item,2,Choice Scarf,20.1%,,,,,,,,
Mabosstiff,186,held_item,3,Chople Berry,10.5%,,,,,,,,
Mabosstiff,186,held_item,4,Focus Sash,7.9%,,,,,,,,
Mabosstiff,186,held_item,5,Sitrus Berry,7.1%,,,,,,,,
Mabosstiff,186,held_item,6,Muscle Band,17.1%,,,,,,,,
Mabosstiff,186,held_item,7,Black Glasses,6.7%,,,,,,,,
Mabosstiff,186,held_item,8,Leftovers,3.7%,,,,,,,,
Mabosstiff,186,held_item,9,Rocky Helmet,3.0%,,,,,,,,
Mabosstiff,186,held_item,10,Roseli Berry,2.2%,,,,,,,,
Mabosstiff,186,teammate,1,Salamence,,,,,,,,,
Mabosstiff,186,teammate,2,Rillaboom,,,,,,,,,
Mabosstiff,186,teammate,3,Talonflame,,,,,,,,,
Mabosstiff,186,teammate,4,Sneasler,,,,,,,,,
Mabosstiff,186,teammate,5,Golisopod,,,,,,,,,
Mabosstiff,186,teammate,6,Floette Form 5,,,,,,,,,
Mabosstiff,186,teammate,7,Incineroar,,,,,,,,,
Mabosstiff,186,teammate,8,Farigiraf,,,,,,,,,
Mabosstiff,186,teammate,9,Charizard,,,,,,,,,
Mabosstiff,186,teammate,10,Lucario,,,,,,,,,
Mabosstiff,186,stat_alignment,1,Adamant,57.2%,Attack,Sp. Atk,,,,,,
Mabosstiff,186,stat_alignment,2,Jolly,21.5%,Speed,Sp. Atk,,,,,,
Mabosstiff,186,stat_alignment,3,Careful,6.1%,Sp. Def,Sp. Atk,,,,,,
Mabosstiff,186,stat_alignment,4,Naive,5.7%,Speed,Sp. Def,,,,,,
Mabosstiff,186,stat_alignment,5,Brave,5.1%,Attack,Speed,,,,,,
Mabosstiff,186,stat_alignment,6,Impish,4.1%,Defense,Sp. Atk,,,,,,
Mabosstiff,186,stat_alignment,7,Sassy,0.2%,Sp. Def,Speed,,,,,,
Mabosstiff,186,stat_points,1,,16.4%,,,32,32,0,0,2,0
Mabosstiff,186,stat_points,2,,12.8%,,,0,32,0,0,2,32
Mabosstiff,186,stat_points,3,,10.8%,,,0,32,2,0,0,32
Mabosstiff,186,stat_points,4,,8.3%,,,32,32,0,0,0,2
Mabosstiff,186,stat_points,5,,5.7%,,,2,32,0,0,0,32
Mabosstiff,186,stat_points,6,,5.7%,,,3,32,10,0,15,6
Mabosstiff,186,stat_points,7,,3.6%,,,8,32,0,0,0,26
Mabosstiff,186,stat_points,8,,3.4%,,,24,10,0,0,32,0
Mabosstiff,186,stat_points,9,,3.0%,,,32,0,2,0,32,0
Mabosstiff,186,stat_points,10,,2.8%,,,21,0,15,0,30,0
Mabosstiff,186,ability,1,Guard Dog,84.8%,,,,,,,,
Mabosstiff,186,ability,2,Intimidate,11.8%,,,,,,,,
Mabosstiff,186,ability,3,Stakeout,3.4%,,,,,,,,
