pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mr. Mime,165,move,1,Wide Guard,62.0%,,,,,,,,
Mr. Mime,165,move,2,Dazzling Gleam,64.1%,,,,,,,,
Mr. Mime,165,move,3,Fake Out,56.0%,,,,,,,,
Mr. Mime,165,move,4,Quick Guard,33.9%,,,,,,,,
Mr. Mime,165,move,5,Psychic,25.0%,,,,,,,,
Mr. Mime,165,move,6,Expanding Force,23.7%,,,,,,,,
Mr. Mime,165,move,7,Protect,19.7%,,,,,,,,
Mr. Mime,165,move,8,Mystical Fire,15.9%,,,,,,,,
Mr. Mime,165,move,9,Icy Wind,15.1%,,,,,,,,
Mr. Mime,165,move,10,Taunt,13.2%,,,,,,,,
Mr. Mime,165,held_item,1,Sitrus Berry,35.4%,,,,,,,,
Mr. Mime,165,held_item,2,Focus Sash,39.6%,,,,,,,,
Mr. Mime,165,held_item,3,Rocky Helmet,7.1%,,,,,,,,
Mr. Mime,165,held_item,4,Grassy Seed,5.0%,,,,,,,,
Mr. Mime,165,held_item,5,Quick Claw,2.8%,,,,,,,,
Mr. Mime,165,held_item,6,Leftovers,2.4%,,,,,,,,
Mr. Mime,165,held_item,7,Life Orb,2.2%,,,,,,,,
Mr. Mime,165,held_item,8,Psychic Seed,2.1%,,,,,,,,
Mr. Mime,165,held_item,9,Babiri Berry,2.0%,,,,,,,,
Mr. Mime,165,held_item,10,Twisted Spoon,1.2%,,,,,,,,
Mr. Mime,165,teammate,1,Toxtricity Low Key Form,,,,,,,,,
Mr. Mime,165,teammate,2,Rillaboom,,,,,,,,,
Mr. Mime,165,teammate,3,Garchomp,,,,,,,,,
Mr. Mime,165,teammate,4,Basculegion Male,,,,,,,,,
Mr. Mime,165,teammate,5,Incineroar,,,,,,,,,
Mr. Mime,165,teammate,6,Pelipper,,,,,,,,,
Mr. Mime,165,teammate,7,Salamence,,,,,,,,,
Mr. Mime,165,teammate,8,Absol,,,,,,,,,
Mr. Mime,165,teammate,9,Houndoom,,,,,,,,,
Mr. Mime,165,teammate,10,Indeedee,,,,,,,,,
Mr. Mime,165,stat_alignment,1,Timid,44.8%,Speed,Attack,,,,,,
Mr. Mime,165,stat_alignment,2,Bold,21.5%,Defense,Attack,,,,,,
Mr. Mime,165,stat_alignment,3,Relaxed,14.7%,Defense,Speed,,,,,,
Mr. Mime,165,stat_alignment,4,Calm,8.9%,Sp. Def,Attack,,,,,,
Mr. Mime,165,stat_alignment,5,Modest,6.3%,Sp. Atk,Attack,,,,,,
Mr. Mime,165,stat_alignment,6,Quiet,2.6%,Sp. Atk,Speed,,,,,,
Mr. Mime,165,stat_alignment,7,Sassy,1.2%,Sp. Def,Speed,,,,,,
Mr. Mime,165,stat_points,1,,26.3%,,,2,0,0,32,0,32
Mr. Mime,165,stat_points,2,,19.4%,,,0,0,0,32,2,32
Mr. Mime,165,stat_points,3,,16.4%,,,32,0,32,0,2,0
Mr. Mime,165,stat_points,4,,6.2%,,,32,0,32,0,0,2
Mr. Mime,165,stat_points,5,,4.3%,,,32,0,32,0,0,0
Mr. Mime,165,stat_points,6,,3.4%,,,17,0,17,0,32,0
Mr. Mime,165,stat_points,7,,2.8%,,,22,0,29,0,0,15
Mr. Mime,165,stat_points,8,,2.6%,,,32,0,2,32,0,0
Mr. Mime,165,stat_points,9,,2.4%,,,32,0,32,2,0,0
Mr. Mime,165,stat_points,10,,2.3%,,,32,0,2,0,0,32
Mr. Mime,165,ability,1,Soundproof,73.9%,,,,,,,,
Mr. Mime,165,ability,2,Filter,25.2%,,,,,,,,
Mr. Mime,165,ability,3,Technician,0.9%,,,,,,,,
