pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mudsdale,128,move,1,Protect,80.5%,,,,,,,,
Mudsdale,128,move,2,Heavy Slam,73.4%,,,,,,,,
Mudsdale,128,move,3,High Horsepower,72.8%,,,,,,,,
Mudsdale,128,move,4,Rock Slide,56.9%,,,,,,,,
Mudsdale,128,move,5,Earthquake,39.1%,,,,,,,,
Mudsdale,128,move,6,Curse,30.2%,,,,,,,,
Mudsdale,128,move,7,Body Press,20.0%,,,,,,,,
Mudsdale,128,move,8,Close Combat,5.8%,,,,,,,,
Mudsdale,128,move,9,Smack Down,4.9%,,,,,,,,
Mudsdale,128,move,10,Roar,3.2%,,,,,,,,
Mudsdale,128,held_item,1,Life Orb,10.9%,,,,,,,,
Mudsdale,128,held_item,2,Leftovers,20.5%,,,,,,,,
Mudsdale,128,held_item,3,Sitrus Berry,39.3%,,,,,,,,
Mudsdale,128,held_item,4,Soft Sand,9.3%,,,,,,,,
Mudsdale,128,held_item,5,Expert Belt,7.6%,,,,,,,,
Mudsdale,128,held_item,6,Rindo Berry,2.4%,,,,,,,,
Mudsdale,128,held_item,7,Rocky Helmet,1.8%,,,,,,,,
Mudsdale,128,held_item,8,Psychic Seed,1.6%,,,,,,,,
Mudsdale,128,held_item,9,Quick Claw,1.5%,,,,,,,,
Mudsdale,128,held_item,10,Black Belt,1.0%,,,,,,,,
Mudsdale,128,teammate,1,Indeedee Female,,,,,,,,,
Mudsdale,128,teammate,2,Incineroar,,,,,,,,,
Mudsdale,128,teammate,3,Torkoal,,,,,,,,,
Mudsdale,128,teammate,4,Salamence,,,,,,,,,
Mudsdale,128,teammate,5,Sylveon,,,,,,,,,
Mudsdale,128,teammate,6,Gholdengo,,,,,,,,,
Mudsdale,128,teammate,7,Golisopod,,,,,,,,,
Mudsdale,128,teammate,8,Farigiraf,,,,,,,,,
Mudsdale,128,teammate,9,Dragonite,,,,,,,,,
Mudsdale,128,teammate,10,Rillaboom,,,,,,,,,
Mudsdale,128,stat_alignment,1,Brave,56.9%,Attack,Speed,,,,,,
Mudsdale,128,stat_alignment,2,Adamant,9.3%,Attack,Sp. Atk,,,,,,
Mudsdale,128,stat_alignment,3,Sassy,4.2%,Sp. Def,Speed,,,,,,
Mudsdale,128,stat_alignment,4,Relaxed,4.0%,Defense,Speed,,,,,,
Mudsdale,128,stat_alignment,5,Careful,2.8%,Sp. Def,Sp. Atk,,,,,,
Mudsdale,128,stat_alignment,6,Impish,2.3%,Defense,Sp. Atk,,,,,,
Mudsdale,128,stat_alignment,7,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Mudsdale,128,stat_alignment,8,Lonely,0.2%,Attack,Defense,,,,,,
Mudsdale,128,stat_points,1,,26.0%,,,32,32,0,0,2,0
Mudsdale,128,stat_points,2,,15.6%,,,31,32,0,0,3,0
Mudsdale,128,stat_points,3,,8.8%,,,32,32,2,0,0,0
Mudsdale,128,stat_points,4,,3.9%,,,29,32,0,0,5,0
Mudsdale,128,stat_points,5,,3.4%,,,24,32,0,0,10,0
Mudsdale,128,stat_points,6,,3.1%,,,32,0,2,0,32,0
Mudsdale,128,stat_points,7,,2.0%,,,0,32,32,0,2,0
Mudsdale,128,stat_points,8,,1.9%,,,31,15,0,0,20,0
Mudsdale,128,stat_points,9,,1.9%,,,32,28,0,0,6,0
Mudsdale,128,stat_points,10,,1.7%,,,23,28,0,0,15,0
Mudsdale,128,ability,1,Inner Focus,51.9%,,,,,,,,
Mudsdale,128,ability,2,Stamina,46.0%,,,,,,,,
Mudsdale,128,ability,3,Own Tempo,2.1%,,,,,,,,
