pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Decidueye,214,move,1,Spirit Shackle,74.5%,,,,,,,,
Decidueye,214,move,2,Leaf Blade,73.7%,,,,,,,,
Decidueye,214,move,3,Curse,24.4%,,,,,,,,
Decidueye,214,move,4,Shadow Sneak,41.0%,,,,,,,,
Decidueye,214,move,5,Roost,40.1%,,,,,,,,
Decidueye,214,move,6,Swords Dance,20.2%,,,,,,,,
Decidueye,214,move,7,U-turn,19.2%,,,,,,,,
Decidueye,214,move,8,Poltergeist,14.6%,,,,,,,,
Decidueye,214,move,9,Tailwind,11.4%,,,,,,,,
Decidueye,214,move,10,Synthesis,11.2%,,,,,,,,
Decidueye,214,held_item,1,Leftovers,21.4%,,,,,,,,
Decidueye,214,held_item,2,Sitrus Berry,29.8%,,,,,,,,
Decidueye,214,held_item,3,Focus Sash,14.1%,,,,,,,,
Decidueye,214,held_item,4,Spell Tag,8.7%,,,,,,,,
Decidueye,214,held_item,5,Lum Berry,13.4%,,,,,,,,
Decidueye,214,held_item,6,Rocky Helmet,2.9%,,,,,,,,
Decidueye,214,held_item,7,Life Orb,2.4%,,,,,,,,
Decidueye,214,held_item,8,Bright Powder,1.7%,,,,,,,,
Decidueye,214,held_item,9,Scope Lens,1.4%,,,,,,,,
Decidueye,214,held_item,10,Muscle Band,1.3%,,,,,,,,
Decidueye,214,teammate,1,Corviknight,,,,,,,,,
Decidueye,214,teammate,2,Empoleon,,,,,,,,,
Decidueye,214,teammate,3,Garchomp,,,,,,,,,
Decidueye,214,teammate,4,Salamence,,,,,,,,,
Decidueye,214,teammate,5,Inteleon,,,,,,,,,
Decidueye,214,teammate,6,Incineroar,,,,,,,,,
Decidueye,214,teammate,7,Blaziken,,,,,,,,,
Decidueye,214,teammate,8,Greninja,,,,,,,,,
Decidueye,214,teammate,9,Lucario,,,,,,,,,
Decidueye,214,teammate,10,Espathra,,,,,,,,,
Decidueye,214,stat_alignment,1,Adamant,44.8%,Attack,Sp. Atk,,,,,,
Decidueye,214,stat_alignment,2,Careful,12.3%,Sp. Def,Sp. Atk,,,,,,
Decidueye,214,stat_alignment,3,Jolly,8.3%,Speed,Sp. Atk,,,,,,
Decidueye,214,stat_alignment,4,Impish,7.9%,Defense,Sp. Atk,,,,,,
Decidueye,214,stat_alignment,5,Bold,3.4%,Defense,Attack,,,,,,
Decidueye,214,stat_alignment,6,Modest,2.9%,Sp. Atk,Attack,,,,,,
Decidueye,214,stat_alignment,7,Brave,0.2%,Attack,Speed,,,,,,
Decidueye,214,stat_alignment,8,Calm,0.1%,Sp. Def,Attack,,,,,,
Decidueye,214,stat_alignment,9,Naughty,0.1%,Attack,Sp. Def,,,,,,
Decidueye,214,stat_points,1,,11.7%,,,32,0,2,0,32,0
Decidueye,214,stat_points,2,,9.4%,,,10,32,0,0,1,23
Decidueye,214,stat_points,3,,6.7%,,,32,2,0,0,32,0
Decidueye,214,stat_points,4,,5.6%,,,32,32,2,0,0,0
Decidueye,214,stat_points,5,,4.8%,,,0,32,32,0,0,2
Decidueye,214,stat_points,6,,4.8%,,,30,0,4,0,32,0
Decidueye,214,stat_points,7,,4.1%,,,2,32,0,0,0,32
Decidueye,214,stat_points,8,,3.9%,,,30,13,0,0,0,23
Decidueye,214,stat_points,9,,3.0%,,,32,0,22,12,0,0
Decidueye,214,stat_points,10,,2.8%,,,0,32,0,0,0,32
Decidueye,214,ability,1,Long Reach,70.5%,,,,,,,,
Decidueye,214,ability,2,Overgrow,29.5%,,,,,,,,
