pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Heracross,131,move,1,Close Combat,87.1%,,,,,,,,
Heracross,131,move,2,Rock Blast,84.5%,,,,,,,,
Heracross,131,move,3,Bullet Seed,78.7%,,,,,,,,
Heracross,131,move,4,Pin Missile,69.6%,,,,,,,,
Heracross,131,move,5,Earthquake,50.5%,,,,,,,,
Heracross,131,move,6,Trailblaze,13.0%,,,,,,,,
Heracross,131,move,7,Megahorn,4.6%,,,,,,,,
Heracross,131,move,8,Swords Dance,3.2%,,,,,,,,
Heracross,131,move,9,Stone Edge,2.4%,,,,,,,,
Heracross,131,move,10,Knock Off,2.3%,,,,,,,,
Heracross,131,held_item,1,Heracronite,92.8%,,,,,,,,
Heracross,131,held_item,2,Choice Scarf,3.1%,,,,,,,,
Heracross,131,held_item,3,Focus Sash,1.6%,,,,,,,,
Heracross,131,held_item,4,Expert Belt,1.0%,,,,,,,,
Heracross,131,held_item,5,Lum Berry,0.4%,,,,,,,,
Heracross,131,held_item,6,Sitrus Berry,0.3%,,,,,,,,
Heracross,131,held_item,7,Black Belt,0.1%,,,,,,,,
Heracross,131,held_item,8,Muscle Band,0.1%,,,,,,,,
Heracross,131,held_item,9,Life Orb,0.0%,,,,,,,,
Heracross,131,teammate,1,Garchomp,,,,,,,,,
Heracross,131,teammate,2,Basculegion Male,,,,,,,,,
Heracross,131,teammate,3,Archaludon,,,,,,,,,
Heracross,131,teammate,4,Primarina,,,,,,,,,
Heracross,131,teammate,5,Volcarona,,,,,,,,,
Heracross,131,teammate,6,Mimikyu,,,,,,,,,
Heracross,131,teammate,7,Gyarados,,,,,,,,,
Heracross,131,teammate,8,Kingambit,,,,,,,,,
Heracross,131,teammate,9,Golisopod,,,,,,,,,
Heracross,131,teammate,10,Empoleon,,,,,,,,,
Heracross,131,stat_alignment,1,Adamant,61.9%,Attack,Sp. Atk,,,,,,
Heracross,131,stat_alignment,2,Jolly,29.5%,Speed,Sp. Atk,,,,,,
Heracross,131,stat_alignment,3,Brave,5.7%,Attack,Speed,,,,,,
Heracross,131,stat_alignment,4,Naughty,1.5%,Attack,Sp. Def,,,,,,
Heracross,131,stat_alignment,5,Lonely,0.8%,Attack,Defense,,,,,,
Heracross,131,stat_alignment,6,Timid,0.3%,Speed,Attack,,,,,,
Heracross,131,stat_alignment,7,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Heracross,131,stat_alignment,8,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Heracross,131,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Heracross,131,stat_alignment,10,Hasty,0.0%,Speed,Defense,,,,,,
Heracross,131,stat_points,1,,28.8%,,,2,32,0,0,0,32
Heracross,131,stat_points,2,,14.0%,,,32,32,2,0,0,0
Heracross,131,stat_points,3,,6.8%,,,32,32,0,0,0,2
Heracross,131,stat_points,4,,3.9%,,,0,32,0,0,2,32
Heracross,131,stat_points,5,,3.8%,,,32,32,1,0,1,0
Heracross,131,stat_points,6,,3.7%,,,16,32,0,0,0,18
Heracross,131,stat_points,7,,2.6%,,,0,32,2,0,0,32
Heracross,131,stat_points,8,,2.0%,,,22,32,0,0,0,12
Heracross,131,stat_points,9,,2.0%,,,32,5,13,0,16,0
Heracross,131,stat_points,10,,1.9%,,,32,32,0,0,2,0
Heracross,131,ability,1,Moxie,61.6%,,,,,,,,
Heracross,131,ability,2,Guts,37.7%,,,,,,,,
Heracross,131,ability,3,Swarm,0.7%,,,,,,,,
