pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Polteageist,111,move,1,Shell Smash,98.5%,,,,,,,,
Polteageist,111,move,2,Shadow Ball,80.1%,,,,,,,,
Polteageist,111,move,3,Baton Pass,75.2%,,,,,,,,
Polteageist,111,move,4,Strength Sap,66.5%,,,,,,,,
Polteageist,111,move,5,Stored Power,47.3%,,,,,,,,
Polteageist,111,move,6,Giga Drain,9.9%,,,,,,,,
Polteageist,111,move,7,Substitute,6.1%,,,,,,,,
Polteageist,111,move,8,Will-O-Wisp,4.6%,,,,,,,,
Polteageist,111,move,9,Sucker Punch,3.3%,,,,,,,,
Polteageist,111,move,10,Dark Pulse,1.8%,,,,,,,,
Polteageist,111,held_item,1,White Herb,79.3%,,,,,,,,
Polteageist,111,held_item,2,Focus Sash,18.6%,,,,,,,,
Polteageist,111,held_item,3,Leftovers,0.8%,,,,,,,,
Polteageist,111,held_item,4,Mental Herb,0.3%,,,,,,,,
Polteageist,111,held_item,5,Sitrus Berry,0.2%,,,,,,,,
Polteageist,111,held_item,6,Colbur Berry,0.2%,,,,,,,,
Polteageist,111,held_item,7,Lopunnite,0.1%,,,,,,,,
Polteageist,111,held_item,8,Lum Berry,0.1%,,,,,,,,
Polteageist,111,held_item,9,Big Root,0.1%,,,,,,,,
Polteageist,111,held_item,10,Spell Tag,0.0%,,,,,,,,
Polteageist,111,teammate,1,Salamence,,,,,,,,,
Polteageist,111,teammate,2,Garchomp,,,,,,,,,
Polteageist,111,teammate,3,Clefable,,,,,,,,,
Polteageist,111,teammate,4,Gyarados,,,,,,,,,
Polteageist,111,teammate,5,Grimmsnarl,,,,,,,,,
Polteageist,111,teammate,6,Baxcalibur,,,,,,,,,
Polteageist,111,teammate,7,Lucario,,,,,,,,,
Polteageist,111,teammate,8,Golisopod,,,,,,,,,
Polteageist,111,teammate,9,Primarina,,,,,,,,,
Polteageist,111,teammate,10,Volcarona,,,,,,,,,
Polteageist,111,stat_alignment,1,Bold,54.9%,Defense,Attack,,,,,,
Polteageist,111,stat_alignment,2,Timid,18.7%,Speed,Attack,,,,,,
Polteageist,111,stat_alignment,3,Modest,18.4%,Sp. Atk,Attack,,,,,,
Polteageist,111,stat_alignment,4,Calm,4.6%,Sp. Def,Attack,,,,,,
Polteageist,111,stat_alignment,5,Mild,1.2%,Sp. Atk,Defense,,,,,,
Polteageist,111,stat_alignment,6,Rash,1.1%,Sp. Atk,Sp. Def,,,,,,
Polteageist,111,stat_alignment,7,Naive,0.4%,Speed,Sp. Def,,,,,,
Polteageist,111,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Polteageist,111,stat_alignment,9,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Polteageist,111,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Polteageist,111,stat_points,1,,14.0%,,,14,0,26,0,0,26
Polteageist,111,stat_points,2,,10.2%,,,2,0,0,32,0,32
Polteageist,111,stat_points,3,,6.1%,,,24,0,24,0,0,18
Polteageist,111,stat_points,4,,5.2%,,,32,0,32,0,2,0
Polteageist,111,stat_points,5,,3.3%,,,0,0,2,32,0,32
Polteageist,111,stat_points,6,,3.0%,,,32,0,32,0,0,2
Polteageist,111,stat_points,7,,2.7%,,,32,0,16,0,0,18
Polteageist,111,stat_points,8,,2.4%,,,32,0,2,0,0,32
Polteageist,111,stat_points,9,,1.8%,,,32,0,12,0,0,22
Polteageist,111,stat_points,10,,1.7%,,,26,0,22,0,0,18
Polteageist,111,ability,1,Cursed Body,72.8%,,,,,,,,
Polteageist,111,ability,2,Weak Armor,27.2%,,,,,,,,
