pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Quaquaval,142,move,1,Aqua Step,95.6%,,,,,,,,
Quaquaval,142,move,2,Close Combat,84.8%,,,,,,,,
Quaquaval,142,move,3,Triple Axel,54.0%,,,,,,,,
Quaquaval,142,move,4,Aqua Jet,32.0%,,,,,,,,
Quaquaval,142,move,5,Ice Spinner,20.6%,,,,,,,,
Quaquaval,142,move,6,Swords Dance,15.9%,,,,,,,,
Quaquaval,142,move,7,Upper Hand,10.2%,,,,,,,,
Quaquaval,142,move,8,Encore,9.9%,,,,,,,,
Quaquaval,142,move,9,Rapid Spin,9.3%,,,,,,,,
Quaquaval,142,move,10,Knock Off,6.9%,,,,,,,,
Quaquaval,142,held_item,1,Focus Sash,43.6%,,,,,,,,
Quaquaval,142,held_item,2,Lum Berry,12.1%,,,,,,,,
Quaquaval,142,held_item,3,Life Orb,19.5%,,,,,,,,
Quaquaval,142,held_item,4,Mystic Water,7.5%,,,,,,,,
Quaquaval,142,held_item,5,Choice Scarf,3.8%,,,,,,,,
Quaquaval,142,held_item,6,Leftovers,3.1%,,,,,,,,
Quaquaval,142,held_item,7,Sitrus Berry,2.3%,,,,,,,,
Quaquaval,142,held_item,8,Rocky Helmet,1.7%,,,,,,,,
Quaquaval,142,held_item,9,Muscle Band,1.1%,,,,,,,,
Quaquaval,142,held_item,10,Roseli Berry,1.1%,,,,,,,,
Quaquaval,142,teammate,1,Garchomp,,,,,,,,,
Quaquaval,142,teammate,2,Golisopod,,,,,,,,,
Quaquaval,142,teammate,3,Salamence,,,,,,,,,
Quaquaval,142,teammate,4,Rillaboom,,,,,,,,,
Quaquaval,142,teammate,5,Charizard,,,,,,,,,
Quaquaval,142,teammate,6,Skeledirge,,,,,,,,,
Quaquaval,142,teammate,7,Lucario,,,,,,,,,
Quaquaval,142,teammate,8,Volcarona,,,,,,,,,
Quaquaval,142,teammate,9,Baxcalibur,,,,,,,,,
Quaquaval,142,teammate,10,Mimikyu,,,,,,,,,
Quaquaval,142,stat_alignment,1,Adamant,52.6%,Attack,Sp. Atk,,,,,,
Quaquaval,142,stat_alignment,2,Jolly,40.6%,Speed,Sp. Atk,,,,,,
Quaquaval,142,stat_alignment,3,Impish,3.2%,Defense,Sp. Atk,,,,,,
Quaquaval,142,stat_alignment,4,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Quaquaval,142,stat_alignment,5,Naive,1.0%,Speed,Sp. Def,,,,,,
Quaquaval,142,stat_alignment,6,Hasty,0.9%,Speed,Defense,,,,,,
Quaquaval,142,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Quaquaval,142,stat_alignment,8,Lonely,0.1%,Attack,Defense,,,,,,
Quaquaval,142,stat_points,1,,45.1%,,,2,32,0,0,0,32
Quaquaval,142,stat_points,2,,15.7%,,,1,32,1,0,0,32
Quaquaval,142,stat_points,3,,8.0%,,,0,32,2,0,0,32
Quaquaval,142,stat_points,4,,6.5%,,,1,32,0,0,1,32
Quaquaval,142,stat_points,5,,4.6%,,,0,32,0,0,2,32
Quaquaval,142,stat_points,6,,1.8%,,,0,32,0,0,0,32
Quaquaval,142,stat_points,7,,1.2%,,,31,3,0,0,0,32
Quaquaval,142,stat_points,8,,1.0%,,,7,32,1,0,1,25
Quaquaval,142,stat_points,9,,0.8%,,,32,0,2,0,0,32
Quaquaval,142,stat_points,10,,0.7%,,,15,22,4,0,1,24
Quaquaval,142,ability,1,Moxie,97.4%,,,,,,,,
Quaquaval,142,ability,2,Torrent,2.6%,,,,,,,,
