pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom,259,move,1,Will-O-Wisp,65.0%,,,,,,,,
Rotom,259,move,2,Hex,38.3%,,,,,,,,
Rotom,259,move,3,Volt Switch,49.6%,,,,,,,,
Rotom,259,move,4,Pain Split,7.5%,,,,,,,,
Rotom,259,move,5,Thunder Wave,3.7%,,,,,,,,
Rotom,259,move,6,Trick,27.9%,,,,,,,,
Rotom,259,move,7,Thunderbolt,37.9%,,,,,,,,
Rotom,259,move,8,Shadow Ball,47.3%,,,,,,,,
Rotom,259,move,9,Discharge,17.3%,,,,,,,,
Rotom,259,move,10,Rest,14.4%,,,,,,,,
Rotom,259,held_item,1,Choice Scarf,57.9%,,,,,,,,
Rotom,259,held_item,2,Focus Sash,20.2%,,,,,,,,
Rotom,259,held_item,3,Chesto Berry,1.4%,,,,,,,,
Rotom,259,held_item,4,Rocky Helmet,2.5%,,,,,,,,
Rotom,259,held_item,5,Wide Lens,1.6%,,,,,,,,
Rotom,259,held_item,6,Colbur Berry,8.7%,,,,,,,,
Rotom,259,held_item,7,Kasib Berry,4.8%,,,,,,,,
Rotom,259,held_item,8,Life Orb,1.0%,,,,,,,,
Rotom,259,teammate,1,Golisopod,,,,,,,,,
Rotom,259,teammate,2,Empoleon,,,,,,,,,
Rotom,259,teammate,3,Venusaur,,,,,,,,,
Rotom,259,teammate,4,Garchomp,,,,,,,,,
Rotom,259,teammate,5,Mimikyu,,,,,,,,,
Rotom,259,teammate,6,Gyarados,,,,,,,,,
Rotom,259,teammate,7,Salamence,,,,,,,,,
Rotom,259,teammate,8,Mamoswine,,,,,,,,,
Rotom,259,teammate,9,Skeledirge,,,,,,,,,
Rotom,259,teammate,10,Clefable,,,,,,,,,
Rotom,259,stat_alignment,1,Timid,31.7%,Speed,Attack,,,,,,
Rotom,259,stat_alignment,2,Modest,31.7%,Sp. Atk,Attack,,,,,,
Rotom,259,stat_alignment,3,Bold,14.4%,Defense,Attack,,,,,,
Rotom,259,stat_alignment,4,Jolly,11.5%,Speed,Sp. Atk,,,,,,
Rotom,259,stat_alignment,5,Relaxed,0.6%,Defense,Speed,,,,,,
Rotom,259,stat_points,1,,26.9%,,,2,0,0,32,0,32
Rotom,259,stat_points,2,,14.4%,,,32,0,32,0,2,0
Rotom,259,stat_points,3,,13.5%,,,32,0,1,32,1,0
Rotom,259,stat_points,4,,11.5%,,,0,0,0,32,2,32
Rotom,259,stat_points,5,,1.6%,,,32,0,16,0,0,18
Rotom,259,stat_points,6,,1.6%,,,32,0,32,2,0,0
Rotom,259,stat_points,7,,5.8%,,,32,0,0,32,0,2
Rotom,259,stat_points,8,,3.8%,,,18,0,8,0,8,32
Rotom,259,stat_points,9,,1.0%,,,0,0,2,32,0,32
Rotom,259,stat_points,10,,1.0%,,,32,0,27,4,0,3
Rotom,259,ability,1,Levitate,100.0%,,,,,,,,
