pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scolipede,91,move,1,Swords Dance,84.2%,,,,,,,,
Scolipede,91,move,2,Earthquake,69.9%,,,,,,,,
Scolipede,91,move,3,Leech Life,79.8%,,,,,,,,
Scolipede,91,move,4,Baton Pass,27.8%,,,,,,,,
Scolipede,91,move,5,Protect,29.7%,,,,,,,,
Scolipede,91,move,6,Iron Defense,15.9%,,,,,,,,
Scolipede,91,move,7,Poison Jab,55.7%,,,,,,,,
Scolipede,91,move,8,Substitute,2.6%,,,,,,,,
Scolipede,91,move,9,Gunk Shot,17.9%,,,,,,,,
Scolipede,91,move,10,Rock Slide,8.6%,,,,,,,,
Scolipede,91,held_item,1,Scolipite,35.0%,,,,,,,,
Scolipede,91,held_item,2,Focus Sash,26.0%,,,,,,,,
Scolipede,91,held_item,3,Sitrus Berry,13.7%,,,,,,,,
Scolipede,91,held_item,4,Mental Herb,8.7%,,,,,,,,
Scolipede,91,held_item,5,Leftovers,6.7%,,,,,,,,
Scolipede,91,held_item,6,Life Orb,4.0%,,,,,,,,
Scolipede,91,held_item,7,Lum Berry,3.4%,,,,,,,,
Scolipede,91,held_item,8,Occa Berry,1.0%,,,,,,,,
Scolipede,91,held_item,9,Bright Powder,0.9%,,,,,,,,
Scolipede,91,held_item,10,Psychic Seed,0.9%,,,,,,,,
Scolipede,91,teammate,1,Garchomp,,,,,,,,,
Scolipede,91,teammate,2,Clefable,,,,,,,,,
Scolipede,91,teammate,3,Salamence,,,,,,,,,
Scolipede,91,teammate,4,Archaludon,,,,,,,,,
Scolipede,91,teammate,5,Gholdengo,,,,,,,,,
Scolipede,91,teammate,6,Baxcalibur,,,,,,,,,
Scolipede,91,teammate,7,Alolan Ninetales,,,,,,,,,
Scolipede,91,teammate,8,Golisopod,,,,,,,,,
Scolipede,91,teammate,9,Primarina,,,,,,,,,
Scolipede,91,teammate,10,Volcarona,,,,,,,,,
Scolipede,91,stat_alignment,1,Adamant,67.3%,Attack,Sp. Atk,,,,,,
Scolipede,91,stat_alignment,2,Jolly,15.2%,Speed,Sp. Atk,,,,,,
Scolipede,91,stat_alignment,3,Impish,11.5%,Defense,Sp. Atk,,,,,,
Scolipede,91,stat_alignment,4,Careful,8.8%,Sp. Def,Sp. Atk,,,,,,
Scolipede,91,stat_alignment,5,Bold,3.7%,Defense,Attack,,,,,,
Scolipede,91,stat_alignment,6,Timid,2.7%,Speed,Attack,,,,,,
Scolipede,91,stat_alignment,7,Calm,0.3%,Sp. Def,Attack,,,,,,
Scolipede,91,stat_alignment,8,Naive,0.1%,Speed,Sp. Def,,,,,,
Scolipede,91,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Scolipede,91,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Scolipede,91,stat_points,1,,22.7%,,,24,20,0,0,0,22
Scolipede,91,stat_points,2,,9.5%,,,2,32,0,0,0,32
Scolipede,91,stat_points,3,,4.1%,,,14,20,0,0,0,32
Scolipede,91,stat_points,4,,3.3%,,,32,0,0,0,2,32
Scolipede,91,stat_points,5,,2.9%,,,0,32,0,0,2,32
Scolipede,91,stat_points,6,,2.5%,,,32,0,2,0,32,0
Scolipede,91,stat_points,7,,2.4%,,,32,0,32,0,2,0
Scolipede,91,stat_points,8,,2.1%,,,32,0,2,0,0,32
Scolipede,91,stat_points,9,,1.9%,,,32,32,2,0,0,0
Scolipede,91,stat_points,10,,1.9%,,,32,0,32,0,0,2
Scolipede,91,ability,1,Speed Boost,98.7%,,,,,,,,
Scolipede,91,ability,2,Poison Point,1.2%,,,,,,,,
Scolipede,91,ability,3,Swarm,0.1%,,,,,,,,
