pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Stunfisk-Galar,239,move,1,Yawn,59.2%,,,,,,,,
Stunfisk-Galar,239,move,2,Snap Trap,88.0%,,,,,,,,
Stunfisk-Galar,239,move,3,Stealth Rock,60.9%,,,,,,,,
Stunfisk-Galar,239,move,4,Fissure,46.0%,,,,,,,,
Stunfisk-Galar,239,move,5,Protect,20.3%,,,,,,,,
Stunfisk-Galar,239,move,6,Counter,19.9%,,,,,,,,
Stunfisk-Galar,239,move,7,Earthquake,13.3%,,,,,,,,
Stunfisk-Galar,239,move,8,Foul Play,11.7%,,,,,,,,
Stunfisk-Galar,239,move,9,Sucker Punch,9.9%,,,,,,,,
Stunfisk-Galar,239,move,10,Steel Beam,9.0%,,,,,,,,
Stunfisk-Galar,239,held_item,1,Leftovers,13.9%,,,,,,,,
Stunfisk-Galar,239,held_item,2,Sitrus Berry,34.5%,,,,,,,,
Stunfisk-Galar,239,held_item,3,Unknown Item 544,8.1%,,,,,,,,
Stunfisk-Galar,239,held_item,4,Rocky Helmet,26.1%,,,,,,,,
Stunfisk-Galar,239,held_item,5,Chesto Berry,4.8%,,,,,,,,
Stunfisk-Galar,239,held_item,6,Focus Sash,4.3%,,,,,,,,
Stunfisk-Galar,239,held_item,7,Air Balloon,2.7%,,,,,,,,
Stunfisk-Galar,239,held_item,8,Unknown Item 185,2.0%,,,,,,,,
Stunfisk-Galar,239,held_item,9,Psychic Seed,1.4%,,,,,,,,
Stunfisk-Galar,239,held_item,10,Quick Claw,1.1%,,,,,,,,
Stunfisk-Galar,239,teammate,1,Charizard,,,,,,,,,
Stunfisk-Galar,239,teammate,2,Heliolisk,,,,,,,,,
Stunfisk-Galar,239,teammate,3,Dragapult,,,,,,,,,
Stunfisk-Galar,239,teammate,4,Staraptor,,,,,,,,,
Stunfisk-Galar,239,teammate,5,Salamence,,,,,,,,,
Stunfisk-Galar,239,teammate,6,Absol,,,,,,,,,
Stunfisk-Galar,239,teammate,7,Lucario,,,,,,,,,
Stunfisk-Galar,239,teammate,8,Scolipede,,,,,,,,,
Stunfisk-Galar,239,teammate,9,Rillaboom,,,,,,,,,
Stunfisk-Galar,239,teammate,10,Gyarados,,,,,,,,,
Stunfisk-Galar,239,stat_alignment,1,Impish,45.9%,Defense,Sp. Atk,,,,,,
Stunfisk-Galar,239,stat_alignment,2,Careful,12.6%,Sp. Def,Sp. Atk,,,,,,
Stunfisk-Galar,239,stat_alignment,3,Relaxed,12.2%,Defense,Speed,,,,,,
Stunfisk-Galar,239,stat_alignment,4,Bold,4.3%,Defense,Attack,,,,,,
Stunfisk-Galar,239,stat_alignment,5,Quiet,2.5%,Sp. Atk,Speed,,,,,,
Stunfisk-Galar,239,stat_alignment,6,Brave,1.1%,Attack,Speed,,,,,,
Stunfisk-Galar,239,stat_alignment,7,Sassy,0.7%,Sp. Def,Speed,,,,,,
Stunfisk-Galar,239,stat_alignment,8,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Stunfisk-Galar,239,stat_alignment,9,Modest,0.2%,Sp. Atk,Attack,,,,,,
Stunfisk-Galar,239,stat_points,1,,27.3%,,,32,0,31,0,3,0
Stunfisk-Galar,239,stat_points,2,,17.8%,,,32,0,32,0,2,0
Stunfisk-Galar,239,stat_points,3,,14.4%,,,31,0,32,0,3,0
Stunfisk-Galar,239,stat_points,4,,7.0%,,,32,0,2,0,32,0
Stunfisk-Galar,239,stat_points,5,,4.8%,,,31,0,3,0,32,0
Stunfisk-Galar,239,stat_points,6,,4.8%,,,32,0,0,0,32,0
Stunfisk-Galar,239,stat_points,7,,4.1%,,,32,0,13,0,21,0
Stunfisk-Galar,239,stat_points,8,,3.6%,,,2,0,32,0,32,0
Stunfisk-Galar,239,stat_points,9,,2.2%,,,32,0,2,32,0,0
Stunfisk-Galar,239,stat_points,10,,1.6%,,,15,0,19,0,32,0
Stunfisk-Galar,239,ability,1,Mimicry,100.0%,,,,,,,,
