pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Avalugg-Hisui,207,move,1,Mountain Gale,94.7%,,,,,,,,
Avalugg-Hisui,207,move,2,Rock Slide,92.0%,,,,,,,,
Avalugg-Hisui,207,move,3,Wide Guard,79.6%,,,,,,,,
Avalugg-Hisui,207,move,4,Body Press,77.0%,,,,,,,,
Avalugg-Hisui,207,move,5,Protect,29.9%,,,,,,,,
Avalugg-Hisui,207,move,6,Iron Defense,4.3%,,,,,,,,
Avalugg-Hisui,207,move,7,Crunch,3.6%,,,,,,,,
Avalugg-Hisui,207,move,8,High Horsepower,3.5%,,,,,,,,
Avalugg-Hisui,207,move,9,Ice Spinner,2.6%,,,,,,,,
Avalugg-Hisui,207,move,10,Mirror Coat,2.3%,,,,,,,,
Avalugg-Hisui,207,held_item,1,Wide Lens,48.0%,,,,,,,,
Avalugg-Hisui,207,held_item,2,Leftovers,23.6%,,,,,,,,
Avalugg-Hisui,207,held_item,3,Never-Melt Ice,7.2%,,,,,,,,
Avalugg-Hisui,207,held_item,4,Quick Claw,3.9%,,,,,,,,
Avalugg-Hisui,207,held_item,5,Sitrus Berry,3.1%,,,,,,,,
Avalugg-Hisui,207,held_item,6,Rocky Helmet,2.3%,,,,,,,,
Avalugg-Hisui,207,held_item,7,Bright Powder,2.2%,,,,,,,,
Avalugg-Hisui,207,held_item,8,White Herb,1.3%,,,,,,,,
Avalugg-Hisui,207,held_item,9,King's Rock,1.3%,,,,,,,,
Avalugg-Hisui,207,held_item,10,Hard Stone,1.3%,,,,,,,,
Avalugg-Hisui,207,teammate,1,Indeedee-F,,,,,,,,,
Avalugg-Hisui,207,teammate,2,Farigiraf,,,,,,,,,
Avalugg-Hisui,207,teammate,3,Camerupt,,,,,,,,,
Avalugg-Hisui,207,teammate,4,Torkoal,,,,,,,,,
Avalugg-Hisui,207,teammate,5,Golisopod,,,,,,,,,
Avalugg-Hisui,207,teammate,6,Hatterene,,,,,,,,,
Avalugg-Hisui,207,teammate,7,Sneasler,,,,,,,,,
Avalugg-Hisui,207,teammate,8,Sinistcha,,,,,,,,,
Avalugg-Hisui,207,teammate,9,Blastoise,,,,,,,,,
Avalugg-Hisui,207,teammate,10,Armarouge,,,,,,,,,
Avalugg-Hisui,207,stat_alignment,1,Brave,76.1%,Attack,Speed,,,,,,
Avalugg-Hisui,207,stat_alignment,2,Relaxed,8.0%,Defense,Speed,,,,,,
Avalugg-Hisui,207,stat_alignment,3,Adamant,7.9%,Attack,Sp. Atk,,,,,,
Avalugg-Hisui,207,stat_alignment,4,Careful,6.5%,Sp. Def,Sp. Atk,,,,,,
Avalugg-Hisui,207,stat_alignment,5,Sassy,0.8%,Sp. Def,Speed,,,,,,
Avalugg-Hisui,207,stat_alignment,6,Impish,0.6%,Defense,Sp. Atk,,,,,,
Avalugg-Hisui,207,stat_alignment,7,Naughty,0.1%,Attack,Sp. Def,,,,,,
Avalugg-Hisui,207,stat_points,1,,62.8%,,,2,32,32,0,0,0
Avalugg-Hisui,207,stat_points,2,,12.1%,,,32,32,2,0,0,0
Avalugg-Hisui,207,stat_points,3,,5.4%,,,0,32,32,0,2,0
Avalugg-Hisui,207,stat_points,4,,5.0%,,,32,2,0,0,32,0
Avalugg-Hisui,207,stat_points,5,,3.5%,,,32,32,0,0,2,0
Avalugg-Hisui,207,stat_points,6,,1.9%,,,32,2,32,0,0,0
Avalugg-Hisui,207,stat_points,7,,1.5%,,,29,13,0,0,24,0
Avalugg-Hisui,207,stat_points,8,,1.0%,,,2,0,32,0,32,0
Avalugg-Hisui,207,stat_points,9,,0.6%,,,12,32,22,0,0,0
Avalugg-Hisui,207,stat_points,10,,0.6%,,,18,32,16,0,0,0
Avalugg-Hisui,207,ability,1,Sturdy,91.7%,,,,,,,,
Avalugg-Hisui,207,ability,2,Ice Body,5.8%,,,,,,,,
Avalugg-Hisui,207,ability,3,Strong Jaw,2.5%,,,,,,,,
