pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Clawitzer,130,move,1,Aura Sphere,82.9%,,,,,,,,
Clawitzer,130,move,2,Water Pulse,86.1%,,,,,,,,
Clawitzer,130,move,3,Dark Pulse,84.5%,,,,,,,,
Clawitzer,130,move,4,Protect,50.0%,,,,,,,,
Clawitzer,130,move,5,Dragon Pulse,27.8%,,,,,,,,
Clawitzer,130,move,6,Terrain Pulse,17.7%,,,,,,,,
Clawitzer,130,move,7,Ice Beam,15.7%,,,,,,,,
Clawitzer,130,move,8,Heal Pulse,11.6%,,,,,,,,
Clawitzer,130,move,9,Sludge Bomb,7.0%,,,,,,,,
Clawitzer,130,move,10,Muddy Water,1.8%,,,,,,,,
Clawitzer,130,held_item,1,Life Orb,52.4%,,,,,,,,
Clawitzer,130,held_item,2,Expert Belt,21.9%,,,,,,,,
Clawitzer,130,held_item,3,Rindo Berry,7.3%,,,,,,,,
Clawitzer,130,held_item,4,Sitrus Berry,4.6%,,,,,,,,
Clawitzer,130,held_item,5,Choice Scarf,3.4%,,,,,,,,
Clawitzer,130,held_item,6,Focus Sash,1.6%,,,,,,,,
Clawitzer,130,held_item,7,Quick Claw,1.2%,,,,,,,,
Clawitzer,130,held_item,8,Leftovers,1.1%,,,,,,,,
Clawitzer,130,held_item,9,Unknown Item 267,1.1%,,,,,,,,
Clawitzer,130,held_item,10,Mystic Water,0.9%,,,,,,,,
Clawitzer,130,teammate,1,Golisopod,,,,,,,,,
Clawitzer,130,teammate,2,Farigiraf,,,,,,,,,
Clawitzer,130,teammate,3,Indeedee Female,,,,,,,,,
Clawitzer,130,teammate,4,Rillaboom,,,,,,,,,
Clawitzer,130,teammate,5,Armarouge,,,,,,,,,
Clawitzer,130,teammate,6,Incineroar,,,,,,,,,
Clawitzer,130,teammate,7,Torkoal,,,,,,,,,
Clawitzer,130,teammate,8,Mawile,,,,,,,,,
Clawitzer,130,teammate,9,Gardevoir,,,,,,,,,
Clawitzer,130,teammate,10,Raichu,,,,,,,,,
Clawitzer,130,stat_alignment,1,Quiet,62.2%,Sp. Atk,Speed,,,,,,
Clawitzer,130,stat_alignment,2,Modest,30.1%,Sp. Atk,Attack,,,,,,
Clawitzer,130,stat_alignment,3,Timid,3.6%,Speed,Attack,,,,,,
Clawitzer,130,stat_alignment,4,Mild,1.5%,Sp. Atk,Defense,,,,,,
Clawitzer,130,stat_alignment,5,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Clawitzer,130,stat_alignment,6,Bold,0.7%,Defense,Attack,,,,,,
Clawitzer,130,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Clawitzer,130,stat_alignment,8,Sassy,0.4%,Sp. Def,Speed,,,,,,
Clawitzer,130,stat_alignment,9,Calm,0.1%,Sp. Def,Attack,,,,,,
Clawitzer,130,stat_points,1,,27.7%,,,32,0,2,32,0,0
Clawitzer,130,stat_points,2,,20.9%,,,32,0,0,32,2,0
Clawitzer,130,stat_points,3,,4.1%,,,32,0,1,32,1,0
Clawitzer,130,stat_points,4,,4.0%,,,0,0,17,32,17,0
Clawitzer,130,stat_points,5,,3.0%,,,31,0,2,32,1,0
Clawitzer,130,stat_points,6,,2.3%,,,5,0,0,32,0,29
Clawitzer,130,stat_points,7,,2.2%,,,2,0,0,32,32,0
Clawitzer,130,stat_points,8,,2.0%,,,12,0,12,32,10,0
Clawitzer,130,stat_points,9,,2.0%,,,32,0,0,32,0,0
Clawitzer,130,stat_points,10,,1.7%,,,32,0,0,32,0,2
Clawitzer,130,ability,1,Mega Launcher,100.0%,,,,,,,,
