pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gliscor,150,move,1,High Horsepower,71.9%,,,,,,,,
Gliscor,150,move,2,Protect,59.8%,,,,,,,,
Gliscor,150,move,3,Tailwind,51.6%,,,,,,,,
Gliscor,150,move,4,Dual Wingbeat,42.1%,,,,,,,,
Gliscor,150,move,5,Earthquake,25.9%,,,,,,,,
Gliscor,150,move,6,Rock Slide,21.1%,,,,,,,,
Gliscor,150,move,7,Acrobatics,17.5%,,,,,,,,
Gliscor,150,move,8,Ice Fang,14.1%,,,,,,,,
Gliscor,150,move,9,Swords Dance,12.2%,,,,,,,,
Gliscor,150,move,10,Poison Jab,8.6%,,,,,,,,
Gliscor,150,held_item,1,Leftovers,16.8%,,,,,,,,
Gliscor,150,held_item,2,Sitrus Berry,15.5%,,,,,,,,
Gliscor,150,held_item,3,Life Orb,8.7%,,,,,,,,
Gliscor,150,held_item,4,Expert Belt,8.2%,,,,,,,,
Gliscor,150,held_item,5,Focus Sash,7.0%,,,,,,,,
Gliscor,150,held_item,6,Rocky Helmet,5.9%,,,,,,,,
Gliscor,150,held_item,7,Choice Scarf,4.8%,,,,,,,,
Gliscor,150,held_item,8,Psychic Seed,3.8%,,,,,,,,
Gliscor,150,held_item,9,Unknown Item 157,3.6%,,,,,,,,
Gliscor,150,held_item,10,Grassy Seed,3.4%,,,,,,,,
Gliscor,150,teammate,1,Tyranitar,,,,,,,,,
Gliscor,150,teammate,2,Rillaboom,,,,,,,,,
Gliscor,150,teammate,3,Incineroar,,,,,,,,,
Gliscor,150,teammate,4,Golisopod,,,,,,,,,
Gliscor,150,teammate,5,Garchomp,,,,,,,,,
Gliscor,150,teammate,6,Indeedee-F,,,,,,,,,
Gliscor,150,teammate,7,Sneasler,,,,,,,,,
Gliscor,150,teammate,8,Meowscarada,,,,,,,,,
Gliscor,150,teammate,9,Metagross,,,,,,,,,
Gliscor,150,teammate,10,Salamence,,,,,,,,,
Gliscor,150,stat_alignment,1,Adamant,61.4%,Attack,Sp. Atk,,,,,,
Gliscor,150,stat_alignment,2,Jolly,10.9%,Speed,Sp. Atk,,,,,,
Gliscor,150,stat_alignment,3,Impish,9.6%,Defense,Sp. Atk,,,,,,
Gliscor,150,stat_alignment,4,Careful,8.4%,Sp. Def,Sp. Atk,,,,,,
Gliscor,150,stat_alignment,5,Brave,6.2%,Attack,Speed,,,,,,
Gliscor,150,stat_alignment,6,Lonely,2.4%,Attack,Defense,,,,,,
Gliscor,150,stat_alignment,7,Relaxed,0.9%,Defense,Speed,,,,,,
Gliscor,150,stat_alignment,8,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gliscor,150,stat_alignment,9,Calm,0.0%,Sp. Def,Attack,,,,,,
Gliscor,150,stat_alignment,10,Naughty,0.0%,Attack,Sp. Def,,,,,,
Gliscor,150,stat_points,1,,14.5%,,,32,32,2,0,0,0
Gliscor,150,stat_points,2,,7.6%,,,2,32,0,0,0,32
Gliscor,150,stat_points,3,,5.0%,,,32,32,0,0,0,2
Gliscor,150,stat_points,4,,4.0%,,,0,32,2,0,0,32
Gliscor,150,stat_points,5,,3.4%,,,0,32,0,0,0,32
Gliscor,150,stat_points,6,,3.0%,,,32,32,0,0,2,0
Gliscor,150,stat_points,7,,3.0%,,,32,26,0,0,0,8
Gliscor,150,stat_points,8,,2.7%,,,0,32,32,0,2,0
Gliscor,150,stat_points,9,,2.5%,,,1,32,1,0,0,32
Gliscor,150,stat_points,10,,2.4%,,,32,0,32,0,2,0
Gliscor,150,ability,1,Hyper Cutter,82.7%,,,,,,,,
Gliscor,150,ability,2,Poison Heal,8.9%,,,,,,,,
Gliscor,150,ability,3,Sand Veil,8.4%,,,,,,,,
