pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Wigglytuff,135,move,1,Protect,74.2%,,,,,,,,
Wigglytuff,135,move,2,Dazzling Gleam,60.2%,,,,,,,,
Wigglytuff,135,move,3,Flamethrower,52.9%,,,,,,,,
Wigglytuff,135,move,4,Moonblast,32.9%,,,,,,,,
Wigglytuff,135,move,5,Hyper Voice,28.1%,,,,,,,,
Wigglytuff,135,move,6,Ice Beam,23.9%,,,,,,,,
Wigglytuff,135,move,7,Thunderbolt,16.2%,,,,,,,,
Wigglytuff,135,move,8,Expanding Force,14.7%,,,,,,,,
Wigglytuff,135,move,9,Fire Blast,7.7%,,,,,,,,
Wigglytuff,135,move,10,Perish Song,6.7%,,,,,,,,
Wigglytuff,135,held_item,1,Life Orb,58.4%,,,,,,,,
Wigglytuff,135,held_item,2,Sitrus Berry,11.7%,,,,,,,,
Wigglytuff,135,held_item,3,Fairy Feather,8.7%,,,,,,,,
Wigglytuff,135,held_item,4,Leftovers,8.0%,,,,,,,,
Wigglytuff,135,held_item,5,Expert Belt,4.0%,,,,,,,,
Wigglytuff,135,held_item,6,Unknown Item 190,2.4%,,,,,,,,
Wigglytuff,135,held_item,7,Babiri Berry,1.7%,,,,,,,,
Wigglytuff,135,held_item,8,Psychic Seed,1.5%,,,,,,,,
Wigglytuff,135,held_item,9,Unknown Item 564,1.2%,,,,,,,,
Wigglytuff,135,held_item,10,Grassy Seed,1.1%,,,,,,,,
Wigglytuff,135,teammate,1,Indeedee Female,,,,,,,,,
Wigglytuff,135,teammate,2,Golisopod,,,,,,,,,
Wigglytuff,135,teammate,3,Farigiraf,,,,,,,,,
Wigglytuff,135,teammate,4,Rillaboom,,,,,,,,,
Wigglytuff,135,teammate,5,Camerupt,,,,,,,,,
Wigglytuff,135,teammate,6,Armarouge,,,,,,,,,
Wigglytuff,135,teammate,7,Incineroar,,,,,,,,,
Wigglytuff,135,teammate,8,Grimmsnarl,,,,,,,,,
Wigglytuff,135,teammate,9,Pawmot,,,,,,,,,
Wigglytuff,135,teammate,10,Basculegion Male,,,,,,,,,
Wigglytuff,135,stat_alignment,1,Quiet,60.6%,Sp. Atk,Speed,,,,,,
Wigglytuff,135,stat_alignment,2,Modest,26.2%,Sp. Atk,Attack,,,,,,
Wigglytuff,135,stat_alignment,3,Bold,5.4%,Defense,Attack,,,,,,
Wigglytuff,135,stat_alignment,4,Relaxed,3.9%,Defense,Speed,,,,,,
Wigglytuff,135,stat_alignment,5,Sassy,1.4%,Sp. Def,Speed,,,,,,
Wigglytuff,135,stat_alignment,6,Timid,0.8%,Speed,Attack,,,,,,
Wigglytuff,135,stat_alignment,7,Mild,0.8%,Sp. Atk,Defense,,,,,,
Wigglytuff,135,stat_alignment,8,Calm,0.7%,Sp. Def,Attack,,,,,,
Wigglytuff,135,stat_alignment,9,Serious,0.2%,,,,,,,,
Wigglytuff,135,stat_points,1,,14.8%,,,32,0,0,32,2,0
Wigglytuff,135,stat_points,2,,14.2%,,,32,0,2,32,0,0
Wigglytuff,135,stat_points,3,,13.2%,,,9,0,25,32,0,0
Wigglytuff,135,stat_points,4,,7.1%,,,0,0,32,32,2,0
Wigglytuff,135,stat_points,5,,3.8%,,,2,0,32,0,32,0
Wigglytuff,135,stat_points,6,,3.3%,,,2,0,32,32,0,0
Wigglytuff,135,stat_points,7,,2.2%,,,0,0,25,24,17,0
Wigglytuff,135,stat_points,8,,2.0%,,,1,0,24,25,16,0
Wigglytuff,135,stat_points,9,,1.8%,,,0,0,23,32,11,0
Wigglytuff,135,stat_points,10,,1.5%,,,32,0,0,32,0,0
Wigglytuff,135,ability,1,Competitive,88.7%,,,,,,,,
Wigglytuff,135,ability,2,Cute Charm,10.9%,,,,,,,,
Wigglytuff,135,ability,3,Frisk,0.4%,,,,,,,,
