pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Eelektross,141,move,1,Flamethrower,35.2%,,,,,,,,
Eelektross,141,move,2,Thunderbolt,35.5%,,,,,,,,
Eelektross,141,move,3,Dragon Pulse,33.1%,,,,,,,,
Eelektross,141,move,4,Giga Drain,36.4%,,,,,,,,
Eelektross,141,move,5,Supercell Slam,52.9%,,,,,,,,
Eelektross,141,move,6,Coil,39.8%,,,,,,,,
Eelektross,141,move,7,Drain Punch,48.7%,,,,,,,,
Eelektross,141,move,8,Grass Knot,16.7%,,,,,,,,
Eelektross,141,move,9,Volt Switch,11.4%,,,,,,,,
Eelektross,141,move,10,Acid Spray,8.9%,,,,,,,,
Eelektross,141,held_item,1,Eelektrossite,72.1%,,,,,,,,
Eelektross,141,held_item,2,Sitrus Berry,8.7%,,,,,,,,
Eelektross,141,held_item,3,Expert Belt,4.2%,,,,,,,,
Eelektross,141,held_item,4,Life Orb,3.2%,,,,,,,,
Eelektross,141,held_item,5,Eject Button,2.6%,,,,,,,,
Eelektross,141,held_item,6,Leftovers,2.4%,,,,,,,,
Eelektross,141,held_item,7,Rocky Helmet,2.3%,,,,,,,,
Eelektross,141,held_item,8,Lum Berry,0.9%,,,,,,,,
Eelektross,141,held_item,9,Unknown Item 277,0.6%,,,,,,,,
Eelektross,141,held_item,10,Muscle Band,0.5%,,,,,,,,
Eelektross,141,teammate,1,Garchomp,,,,,,,,,
Eelektross,141,teammate,2,Primarina,,,,,,,,,
Eelektross,141,teammate,3,Golisopod,,,,,,,,,
Eelektross,141,teammate,4,Lucario,,,,,,,,,
Eelektross,141,teammate,5,Meowscarada,,,,,,,,,
Eelektross,141,teammate,6,Mimikyu,,,,,,,,,
Eelektross,141,teammate,7,Salamence,,,,,,,,,
Eelektross,141,teammate,8,Gholdengo,,,,,,,,,
Eelektross,141,teammate,9,Baxcalibur,,,,,,,,,
Eelektross,141,teammate,10,Volcarona,,,,,,,,,
Eelektross,141,stat_alignment,1,Modest,34.2%,Sp. Atk,Attack,,,,,,
Eelektross,141,stat_alignment,2,Adamant,31.3%,Attack,Sp. Atk,,,,,,
Eelektross,141,stat_alignment,3,Relaxed,8.0%,Defense,Speed,,,,,,
Eelektross,141,stat_alignment,4,Impish,4.0%,Defense,Sp. Atk,,,,,,
Eelektross,141,stat_alignment,5,Bold,3.5%,Defense,Attack,,,,,,
Eelektross,141,stat_alignment,6,Quiet,3.3%,Sp. Atk,Speed,,,,,,
Eelektross,141,stat_alignment,7,Jolly,3.1%,Speed,Sp. Atk,,,,,,
Eelektross,141,stat_alignment,8,Brave,3.0%,Attack,Speed,,,,,,
Eelektross,141,stat_alignment,9,Timid,2.8%,Speed,Attack,,,,,,
Eelektross,141,stat_alignment,10,Careful,2.2%,Sp. Def,Sp. Atk,,,,,,
Eelektross,141,stat_points,1,,9.8%,,,32,0,2,32,0,0
Eelektross,141,stat_points,2,,8.5%,,,32,0,0,32,0,2
Eelektross,141,stat_points,3,,5.5%,,,32,0,12,0,22,0
Eelektross,141,stat_points,4,,5.3%,,,32,0,1,32,1,0
Eelektross,141,stat_points,5,,3.5%,,,2,0,0,32,0,32
Eelektross,141,stat_points,6,,2.8%,,,32,32,0,0,0,2
Eelektross,141,stat_points,7,,2.6%,,,2,32,0,0,0,32
Eelektross,141,stat_points,8,,2.4%,,,31,7,28,0,0,0
Eelektross,141,stat_points,9,,2.0%,,,31,0,2,32,0,1
Eelektross,141,stat_points,10,,2.0%,,,32,0,0,32,2,0
Eelektross,141,ability,1,Levitate,100.0%,,,,,,,,
