pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Goodra,198,move,1,Flamethrower,33.8%,,,,,,,,
Goodra,198,move,2,Draco Meteor,47.1%,,,,,,,,
Goodra,198,move,3,Thunderbolt,40.6%,,,,,,,,
Goodra,198,move,4,Acid Spray,30.4%,,,,,,,,
Goodra,198,move,5,Fire Blast,23.8%,,,,,,,,
Goodra,198,move,6,Ice Beam,23.4%,,,,,,,,
Goodra,198,move,7,Dragon Pulse,22.4%,,,,,,,,
Goodra,198,move,8,Sludge Wave,18.4%,,,,,,,,
Goodra,198,move,9,Scald,15.7%,,,,,,,,
Goodra,198,move,10,Rest,14.9%,,,,,,,,
Goodra,198,held_item,1,Leftovers,35.0%,,,,,,,,
Goodra,198,held_item,2,Sitrus Berry,29.5%,,,,,,,,
Goodra,198,held_item,3,Expert Belt,6.8%,,,,,,,,
Goodra,198,held_item,4,Life Orb,6.7%,,,,,,,,
Goodra,198,held_item,5,Quick Claw,5.5%,,,,,,,,
Goodra,198,held_item,6,Unknown Item 267,3.9%,,,,,,,,
Goodra,198,held_item,7,Lum Berry,3.9%,,,,,,,,
Goodra,198,held_item,8,Chesto Berry,3.1%,,,,,,,,
Goodra,198,held_item,9,Unknown Item 197,3.0%,,,,,,,,
Goodra,198,held_item,10,Dragon Fang,2.6%,,,,,,,,
Goodra,198,teammate,1,Golisopod,,,,,,,,,
Goodra,198,teammate,2,Primarina,,,,,,,,,
Goodra,198,teammate,3,Swampert,,,,,,,,,
Goodra,198,teammate,4,Salamence,,,,,,,,,
Goodra,198,teammate,5,Garchomp,,,,,,,,,
Goodra,198,teammate,6,Archaludon,,,,,,,,,
Goodra,198,teammate,7,Greninja,,,,,,,,,
Goodra,198,teammate,8,Mimikyu,,,,,,,,,
Goodra,198,teammate,9,Rillaboom,,,,,,,,,
Goodra,198,teammate,10,Pelipper,,,,,,,,,
Goodra,198,stat_alignment,1,Modest,43.1%,Sp. Atk,Attack,,,,,,
Goodra,198,stat_alignment,2,Calm,26.8%,Sp. Def,Attack,,,,,,
Goodra,198,stat_alignment,3,Bold,15.1%,Defense,Attack,,,,,,
Goodra,198,stat_alignment,4,Sassy,5.6%,Sp. Def,Speed,,,,,,
Goodra,198,stat_alignment,5,Quiet,3.2%,Sp. Atk,Speed,,,,,,
Goodra,198,stat_alignment,6,Gentle,2.3%,Sp. Def,Defense,,,,,,
Goodra,198,stat_alignment,7,Adamant,1.1%,Attack,Sp. Atk,,,,,,
Goodra,198,stat_alignment,8,Mild,0.8%,Sp. Atk,Defense,,,,,,
Goodra,198,stat_alignment,9,Relaxed,0.6%,Defense,Speed,,,,,,
Goodra,198,stat_alignment,10,Naive,0.5%,Speed,Sp. Def,,,,,,
Goodra,198,stat_points,1,,15.0%,,,32,0,2,0,32,0
Goodra,198,stat_points,2,,12.0%,,,32,0,0,32,2,0
Goodra,198,stat_points,3,,7.0%,,,32,0,0,32,0,2
Goodra,198,stat_points,4,,5.6%,,,0,0,2,32,32,0
Goodra,198,stat_points,5,,4.2%,,,19,0,0,15,32,0
Goodra,198,stat_points,6,,3.9%,,,32,0,2,32,0,0
Goodra,198,stat_points,7,,3.8%,,,32,0,32,0,2,0
Goodra,198,stat_points,8,,3.3%,,,32,0,0,2,32,0
Goodra,198,stat_points,9,,2.6%,,,32,0,1,32,1,0
Goodra,198,stat_points,10,,2.5%,,,2,0,0,32,32,0
Goodra,198,ability,1,Gooey,51.5%,,,,,,,,
Goodra,198,ability,2,Sap Sipper,37.5%,,,,,,,,
Goodra,198,ability,3,Hydration,11.0%,,,,,,,,
