pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Grapploct,118,move,1,Storm Throw,89.8%,,,,,,,,
Grapploct,118,move,2,Mach Punch,84.3%,,,,,,,,
Grapploct,118,move,3,Octolock,47.9%,,,,,,,,
Grapploct,118,move,4,Sucker Punch,33.5%,,,,,,,,
Grapploct,118,move,5,Ice Punch,31.8%,,,,,,,,
Grapploct,118,move,6,Brutal Swing,28.1%,,,,,,,,
Grapploct,118,move,7,Payback,14.3%,,,,,,,,
Grapploct,118,move,8,Bulk Up,14.0%,,,,,,,,
Grapploct,118,move,9,Drain Punch,10.4%,,,,,,,,
Grapploct,118,move,10,Detect,8.8%,,,,,,,,
Grapploct,118,held_item,1,Black Belt,38.4%,,,,,,,,
Grapploct,118,held_item,2,Sitrus Berry,17.1%,,,,,,,,
Grapploct,118,held_item,3,Life Orb,13.8%,,,,,,,,
Grapploct,118,held_item,4,Leftovers,11.3%,,,,,,,,
Grapploct,118,held_item,5,Focus Sash,6.1%,,,,,,,,
Grapploct,118,held_item,6,Unknown Item 157,2.8%,,,,,,,,
Grapploct,118,held_item,7,Expert Belt,2.7%,,,,,,,,
Grapploct,118,held_item,8,Quick Claw,1.8%,,,,,,,,
Grapploct,118,held_item,9,Air Balloon,1.0%,,,,,,,,
Grapploct,118,held_item,10,Unknown Item 277,0.8%,,,,,,,,
Grapploct,118,teammate,1,Golisopod,,,,,,,,,
Grapploct,118,teammate,2,Garchomp,,,,,,,,,
Grapploct,118,teammate,3,Baxcalibur,,,,,,,,,
Grapploct,118,teammate,4,Salamence,,,,,,,,,
Grapploct,118,teammate,5,Primarina,,,,,,,,,
Grapploct,118,teammate,6,Rillaboom,,,,,,,,,
Grapploct,118,teammate,7,Indeedee,,,,,,,,,
Grapploct,118,teammate,8,Cinderace,,,,,,,,,
Grapploct,118,teammate,9,Gholdengo,,,,,,,,,
Grapploct,118,teammate,10,Archaludon,,,,,,,,,
Grapploct,118,stat_alignment,1,Adamant,80.4%,Attack,Sp. Atk,,,,,,
Grapploct,118,stat_alignment,2,Impish,8.7%,Defense,Sp. Atk,,,,,,
Grapploct,118,stat_alignment,3,Brave,5.5%,Attack,Speed,,,,,,
Grapploct,118,stat_alignment,4,Careful,2.8%,Sp. Def,Sp. Atk,,,,,,
Grapploct,118,stat_alignment,5,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Grapploct,118,stat_alignment,6,Relaxed,0.6%,Defense,Speed,,,,,,
Grapploct,118,stat_alignment,7,Modest,0.5%,Sp. Atk,Attack,,,,,,
Grapploct,118,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Grapploct,118,stat_alignment,9,Lax,0.2%,Defense,Sp. Def,,,,,,
Grapploct,118,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Grapploct,118,stat_points,1,,33.4%,,,32,32,2,0,0,0
Grapploct,118,stat_points,2,,13.2%,,,32,32,0,0,2,0
Grapploct,118,stat_points,3,,7.0%,,,32,32,1,0,1,0
Grapploct,118,stat_points,4,,4.6%,,,32,32,0,0,0,2
Grapploct,118,stat_points,5,,2.7%,,,28,32,0,0,0,6
Grapploct,118,stat_points,6,,2.7%,,,32,2,32,0,0,0
Grapploct,118,stat_points,7,,2.3%,,,32,0,32,0,2,0
Grapploct,118,stat_points,8,,2.0%,,,20,22,16,0,0,8
Grapploct,118,stat_points,9,,1.6%,,,2,32,32,0,0,0
Grapploct,118,stat_points,10,,1.6%,,,32,0,2,0,32,0
Grapploct,118,ability,1,Technician,95.8%,,,,,,,,
Grapploct,118,ability,2,Limber,4.2%,,,,,,,,
