pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mabosstiff,164,move,1,Jaw Lock,84.9%,,,,,,,,
Mabosstiff,164,move,2,Curse,53.1%,,,,,,,,
Mabosstiff,164,move,3,Rest,32.3%,,,,,,,,
Mabosstiff,164,move,4,Substitute,32.0%,,,,,,,,
Mabosstiff,164,move,5,Comeuppance,23.8%,,,,,,,,
Mabosstiff,164,move,6,Destiny Bond,22.2%,,,,,,,,
Mabosstiff,164,move,7,Ice Fang,21.8%,,,,,,,,
Mabosstiff,164,move,8,Taunt,21.3%,,,,,,,,
Mabosstiff,164,move,9,Play Rough,17.1%,,,,,,,,
Mabosstiff,164,move,10,Psychic Fangs,13.9%,,,,,,,,
Mabosstiff,164,held_item,1,Air Balloon,24.9%,,,,,,,,
Mabosstiff,164,held_item,2,Unknown Item 542,13.5%,,,,,,,,
Mabosstiff,164,held_item,3,Focus Sash,13.2%,,,,,,,,
Mabosstiff,164,held_item,4,Chesto Berry,12.6%,,,,,,,,
Mabosstiff,164,held_item,5,Leftovers,12.1%,,,,,,,,
Mabosstiff,164,held_item,6,Sitrus Berry,4.7%,,,,,,,,
Mabosstiff,164,held_item,7,Life Orb,4.6%,,,,,,,,
Mabosstiff,164,held_item,8,Unknown Item 295,3.4%,,,,,,,,
Mabosstiff,164,held_item,9,Unknown Item 157,1.8%,,,,,,,,
Mabosstiff,164,held_item,10,Roseli Berry,1.6%,,,,,,,,
Mabosstiff,164,teammate,1,Garchomp,,,,,,,,,
Mabosstiff,164,teammate,2,Golisopod,,,,,,,,,
Mabosstiff,164,teammate,3,Salamence,,,,,,,,,
Mabosstiff,164,teammate,4,Baxcalibur,,,,,,,,,
Mabosstiff,164,teammate,5,Pawmot,,,,,,,,,
Mabosstiff,164,teammate,6,Cinderace,,,,,,,,,
Mabosstiff,164,teammate,7,Primarina,,,,,,,,,
Mabosstiff,164,teammate,8,Lucario,,,,,,,,,
Mabosstiff,164,teammate,9,Rillaboom,,,,,,,,,
Mabosstiff,164,teammate,10,Charizard,,,,,,,,,
Mabosstiff,164,stat_alignment,1,Adamant,42.0%,Attack,Sp. Atk,,,,,,
Mabosstiff,164,stat_alignment,2,Impish,21.5%,Defense,Sp. Atk,,,,,,
Mabosstiff,164,stat_alignment,3,Careful,13.2%,Sp. Def,Sp. Atk,,,,,,
Mabosstiff,164,stat_alignment,4,Jolly,9.8%,Speed,Sp. Atk,,,,,,
Mabosstiff,164,stat_alignment,5,Brave,9.0%,Attack,Speed,,,,,,
Mabosstiff,164,stat_alignment,6,Lonely,1.0%,Attack,Defense,,,,,,
Mabosstiff,164,stat_alignment,7,Sassy,0.9%,Sp. Def,Speed,,,,,,
Mabosstiff,164,stat_alignment,8,Hasty,0.8%,Speed,Defense,,,,,,
Mabosstiff,164,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Mabosstiff,164,stat_alignment,10,Naughty,0.4%,Attack,Sp. Def,,,,,,
Mabosstiff,164,stat_points,1,,12.6%,,,32,32,2,0,0,0
Mabosstiff,164,stat_points,2,,11.3%,,,32,32,0,0,2,0
Mabosstiff,164,stat_points,3,,9.2%,,,32,0,2,0,32,0
Mabosstiff,164,stat_points,4,,8.6%,,,32,0,32,0,2,0
Mabosstiff,164,stat_points,5,,7.4%,,,2,32,0,0,0,32
Mabosstiff,164,stat_points,6,,6.5%,,,32,2,0,0,32,0
Mabosstiff,164,stat_points,7,,4.8%,,,32,32,0,0,0,2
Mabosstiff,164,stat_points,8,,4.0%,,,2,32,32,0,0,0
Mabosstiff,164,stat_points,9,,3.1%,,,32,2,32,0,0,0
Mabosstiff,164,stat_points,10,,3.0%,,,32,32,0,0,0,0
Mabosstiff,164,ability,1,Guard Dog,69.9%,,,,,,,,
Mabosstiff,164,ability,2,Stakeout,22.0%,,,,,,,,
Mabosstiff,164,ability,3,Intimidate,8.1%,,,,,,,,
