pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pidgeot,164,move,1,Hurricane,99.9%,,,,,,,,
Pidgeot,164,move,2,Heat Wave,99.1%,,,,,,,,
Pidgeot,164,move,3,Hyper Beam,57.3%,,,,,,,,
Pidgeot,164,move,4,Substitute,15.9%,,,,,,,,
Pidgeot,164,move,5,Roost,30.0%,,,,,,,,
Pidgeot,164,move,6,Quick Attack,24.5%,,,,,,,,
Pidgeot,164,move,7,Tailwind,10.7%,,,,,,,,
Pidgeot,164,move,8,U-turn,19.3%,,,,,,,,
Pidgeot,164,move,9,Whirlwind,8.4%,,,,,,,,
Pidgeot,164,move,10,Feather Dance,5.4%,,,,,,,,
Pidgeot,164,held_item,1,Pidgeotite,99.7%,,,,,,,,
Pidgeot,164,held_item,2,Bright Powder,0.1%,,,,,,,,
Pidgeot,164,held_item,3,Sitrus Berry,0.1%,,,,,,,,
Pidgeot,164,held_item,4,Eject Button,0.0%,,,,,,,,
Pidgeot,164,teammate,1,Espathra,,,,,,,,,
Pidgeot,164,teammate,2,Gholdengo,,,,,,,,,
Pidgeot,164,teammate,3,Garchomp,,,,,,,,,
Pidgeot,164,teammate,4,Clefable,,,,,,,,,
Pidgeot,164,teammate,5,Arboliva,,,,,,,,,
Pidgeot,164,teammate,6,Rillaboom,,,,,,,,,
Pidgeot,164,teammate,7,Baxcalibur,,,,,,,,,
Pidgeot,164,teammate,8,Archaludon,,,,,,,,,
Pidgeot,164,teammate,9,Mimikyu,,,,,,,,,
Pidgeot,164,teammate,10,Sirfetch'd,,,,,,,,,
Pidgeot,164,stat_alignment,1,Timid,51.0%,Speed,Attack,,,,,,
Pidgeot,164,stat_alignment,2,Modest,46.3%,Sp. Atk,Attack,,,,,,
Pidgeot,164,stat_alignment,3,Lax,1.1%,Defense,Sp. Def,,,,,,
Pidgeot,164,stat_alignment,4,Hasty,0.6%,Speed,Defense,,,,,,
Pidgeot,164,stat_alignment,5,Bold,0.3%,Defense,Attack,,,,,,
Pidgeot,164,stat_alignment,6,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Pidgeot,164,stat_alignment,7,Calm,0.3%,Sp. Def,Attack,,,,,,
Pidgeot,164,stat_alignment,8,Mild,0.1%,Sp. Atk,Defense,,,,,,
Pidgeot,164,stat_points,1,,31.9%,,,2,0,0,32,0,32
Pidgeot,164,stat_points,2,,15.2%,,,1,0,1,32,0,32
Pidgeot,164,stat_points,3,,11.1%,,,29,0,1,32,0,4
Pidgeot,164,stat_points,4,,10.8%,,,0,0,2,32,0,32
Pidgeot,164,stat_points,5,,5.3%,,,1,0,0,32,1,32
Pidgeot,164,stat_points,6,,2.3%,,,29,0,0,32,0,5
Pidgeot,164,stat_points,7,,2.3%,,,32,0,0,32,0,2
Pidgeot,164,stat_points,8,,1.7%,,,32,0,2,32,0,0
Pidgeot,164,stat_points,9,,1.6%,,,0,0,0,32,2,32
Pidgeot,164,stat_points,10,,1.4%,,,0,0,1,32,1,32
Pidgeot,164,ability,1,Big Pecks,54.9%,,,,,,,,
Pidgeot,164,ability,2,Keen Eye,33.1%,,,,,,,,
Pidgeot,164,ability,3,Tangled Feet,12.0%,,,,,,,,
