pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arbok,224,move,1,Glare,85.6%,,,,,,,,
Arbok,224,move,2,Toxic Spikes,69.0%,,,,,,,,
Arbok,224,move,3,Dragon Tail,57.9%,,,,,,,,
Arbok,224,move,4,Pain Split,30.7%,,,,,,,,
Arbok,224,move,5,Gunk Shot,29.7%,,,,,,,,
Arbok,224,move,6,Knock Off,19.1%,,,,,,,,
Arbok,224,move,7,Poison Jab,12.2%,,,,,,,,
Arbok,224,move,8,Ice Fang,11.4%,,,,,,,,
Arbok,224,move,9,Earthquake,10.6%,,,,,,,,
Arbok,224,move,10,Toxic,10.2%,,,,,,,,
Arbok,224,held_item,1,Focus Sash,32.9%,,,,,,,,
Arbok,224,held_item,2,Shuca Berry,14.4%,,,,,,,,
Arbok,224,held_item,3,Sitrus Berry,11.5%,,,,,,,,
Arbok,224,held_item,4,Air Balloon,10.2%,,,,,,,,
Arbok,224,held_item,5,Leftovers,8.6%,,,,,,,,
Arbok,224,held_item,6,Choice Scarf,7.0%,,,,,,,,
Arbok,224,held_item,7,Wide Lens,4.5%,,,,,,,,
Arbok,224,held_item,8,Rocky Helmet,4.4%,,,,,,,,
Arbok,224,held_item,9,Binding Band,2.2%,,,,,,,,
Arbok,224,held_item,10,Red Card,1.9%,,,,,,,,
Arbok,224,teammate,1,Garchomp,,,,,,,,,
Arbok,224,teammate,2,Gengar,,,,,,,,,
Arbok,224,teammate,3,Volcarona,,,,,,,,,
Arbok,224,teammate,4,Salamence,,,,,,,,,
Arbok,224,teammate,5,Starmie,,,,,,,,,
Arbok,224,teammate,6,Absol,,,,,,,,,
Arbok,224,teammate,7,Metagross,,,,,,,,,
Arbok,224,teammate,8,Kingambit,,,,,,,,,
Arbok,224,teammate,9,Overqwil,,,,,,,,,
Arbok,224,teammate,10,Corviknight,,,,,,,,,
Arbok,224,stat_alignment,1,Impish,35.3%,Defense,Sp. Atk,,,,,,
Arbok,224,stat_alignment,2,Jolly,30.6%,Speed,Sp. Atk,,,,,,
Arbok,224,stat_alignment,3,Adamant,16.7%,Attack,Sp. Atk,,,,,,
Arbok,224,stat_alignment,4,Careful,13.5%,Sp. Def,Sp. Atk,,,,,,
Arbok,224,stat_alignment,5,Bold,3.7%,Defense,Attack,,,,,,
Arbok,224,stat_alignment,6,Brave,0.2%,Attack,Speed,,,,,,
Arbok,224,stat_alignment,7,Timid,0.1%,Speed,Attack,,,,,,
Arbok,224,stat_alignment,8,Modest,0.1%,Sp. Atk,Attack,,,,,,
Arbok,224,stat_points,1,,15.3%,,,32,0,32,0,2,0
Arbok,224,stat_points,2,,15.0%,,,32,0,2,0,0,32
Arbok,224,stat_points,3,,11.2%,,,32,0,32,0,0,2
Arbok,224,stat_points,4,,9.5%,,,2,32,0,0,0,32
Arbok,224,stat_points,5,,6.4%,,,32,0,0,0,31,3
Arbok,224,stat_points,6,,6.0%,,,0,0,32,0,2,32
Arbok,224,stat_points,7,,4.5%,,,32,32,0,0,2,0
Arbok,224,stat_points,8,,3.5%,,,32,0,2,0,32,0
Arbok,224,stat_points,9,,3.3%,,,32,0,30,0,1,3
Arbok,224,stat_points,10,,2.0%,,,32,0,31,0,0,3
Arbok,224,ability,1,Intimidate,97.5%,,,,,,,,
Arbok,224,ability,2,Shed Skin,2.5%,,,,,,,,
