pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Whimsicott,76,move,1,Moonblast,88.9%,,,,,,,,
Whimsicott,76,move,2,Encore,72.5%,,,,,,,,
Whimsicott,76,move,3,Tailwind,49.1%,,,,,,,,
Whimsicott,76,move,4,Leech Seed,36.9%,,,,,,,,
Whimsicott,76,move,5,Endeavor,30.6%,,,,,,,,
Whimsicott,76,move,6,Memento,24.7%,,,,,,,,
Whimsicott,76,move,7,Substitute,22.7%,,,,,,,,
Whimsicott,76,move,8,Taunt,13.9%,,,,,,,,
Whimsicott,76,move,9,Cotton Guard,13.0%,,,,,,,,
Whimsicott,76,move,10,Energy Ball,8.8%,,,,,,,,
Whimsicott,76,held_item,1,Focus Sash,53.9%,,,,,,,,
Whimsicott,76,held_item,2,Leftovers,25.3%,,,,,,,,
Whimsicott,76,held_item,3,Life Orb,4.1%,,,,,,,,
Whimsicott,76,held_item,4,Rocky Helmet,3.3%,,,,,,,,
Whimsicott,76,held_item,5,Sitrus Berry,2.4%,,,,,,,,
Whimsicott,76,held_item,6,Eject Button,2.1%,,,,,,,,
Whimsicott,76,held_item,7,Fairy Feather,0.9%,,,,,,,,
Whimsicott,76,held_item,8,Light Clay,0.8%,,,,,,,,
Whimsicott,76,held_item,9,Big Root,0.8%,,,,,,,,
Whimsicott,76,held_item,10,Lum Berry,0.7%,,,,,,,,
Whimsicott,76,teammate,1,Garchomp,,,,,,,,,
Whimsicott,76,teammate,2,Salamence,,,,,,,,,
Whimsicott,76,teammate,3,Golisopod,,,,,,,,,
Whimsicott,76,teammate,4,Charizard,,,,,,,,,
Whimsicott,76,teammate,5,Archaludon,,,,,,,,,
Whimsicott,76,teammate,6,Lucario,,,,,,,,,
Whimsicott,76,teammate,7,Corviknight,,,,,,,,,
Whimsicott,76,teammate,8,Baxcalibur,,,,,,,,,
Whimsicott,76,teammate,9,Hippowdon,,,,,,,,,
Whimsicott,76,teammate,10,Primarina,,,,,,,,,
Whimsicott,76,stat_alignment,1,Timid,36.6%,Speed,Attack,,,,,,
Whimsicott,76,stat_alignment,2,Modest,30.8%,Sp. Atk,Attack,,,,,,
Whimsicott,76,stat_alignment,3,Bold,24.3%,Defense,Attack,,,,,,
Whimsicott,76,stat_alignment,4,Calm,5.7%,Sp. Def,Attack,,,,,,
Whimsicott,76,stat_alignment,5,Relaxed,0.5%,Defense,Speed,,,,,,
Whimsicott,76,stat_alignment,6,Mild,0.4%,Sp. Atk,Defense,,,,,,
Whimsicott,76,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Whimsicott,76,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Whimsicott,76,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Whimsicott,76,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Whimsicott,76,stat_points,1,,34.1%,,,2,0,0,32,0,32
Whimsicott,76,stat_points,2,,10.8%,,,0,0,2,32,0,32
Whimsicott,76,stat_points,3,,8.7%,,,32,0,32,0,2,0
Whimsicott,76,stat_points,4,,3.7%,,,0,0,0,32,2,32
Whimsicott,76,stat_points,5,,3.4%,,,32,0,32,0,0,2
Whimsicott,76,stat_points,6,,2.6%,,,32,0,32,2,0,0
Whimsicott,76,stat_points,7,,2.5%,,,0,0,0,32,0,32
Whimsicott,76,stat_points,8,,1.9%,,,32,0,2,0,32,0
Whimsicott,76,stat_points,9,,1.3%,,,14,0,0,32,0,20
Whimsicott,76,stat_points,10,,1.1%,,,26,0,32,0,8,0
Whimsicott,76,ability,1,Prankster,95.6%,,,,,,,,
Whimsicott,76,ability,2,Chlorophyll,3.8%,,,,,,,,
Whimsicott,76,ability,3,Infiltrator,0.5%,,,,,,,,
