pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aggron,124,move,1,Body Press,91.7%,,,,,,,,
Aggron,124,move,2,Heavy Slam,82.2%,,,,,,,,
Aggron,124,move,3,Protect,75.1%,,,,,,,,
Aggron,124,move,4,Iron Defense,72.9%,,,,,,,,
Aggron,124,move,5,Rock Slide,14.5%,,,,,,,,
Aggron,124,move,6,Steel Roller,11.4%,,,,,,,,
Aggron,124,move,7,Iron Head,8.5%,,,,,,,,
Aggron,124,move,8,Ice Punch,4.4%,,,,,,,,
Aggron,124,move,9,Curse,3.8%,,,,,,,,
Aggron,124,move,10,Metal Burst,3.6%,,,,,,,,
Aggron,124,held_item,1,Aggronite,91.3%,,,,,,,,
Aggron,124,held_item,2,Passho Berry,1.1%,,,,,,,,
Aggron,124,held_item,3,White Herb,1.0%,,,,,,,,
Aggron,124,held_item,4,Quick Claw,0.9%,,,,,,,,
Aggron,124,held_item,5,Choice Scarf,0.7%,,,,,,,,
Aggron,124,held_item,6,Life Orb,0.7%,,,,,,,,
Aggron,124,held_item,7,Rocky Helmet,0.5%,,,,,,,,
Aggron,124,held_item,8,Hard Stone,0.5%,,,,,,,,
Aggron,124,held_item,9,Focus Band,0.4%,,,,,,,,
Aggron,124,held_item,10,Iron Ball,0.4%,,,,,,,,
Aggron,124,teammate,1,Rillaboom,,,,,,,,,
Aggron,124,teammate,2,Sinistcha,,,,,,,,,
Aggron,124,teammate,3,Incineroar,,,,,,,,,
Aggron,124,teammate,4,Tyranitar,,,,,,,,,
Aggron,124,teammate,5,Indeedee-F,,,,,,,,,
Aggron,124,teammate,6,Farigiraf,,,,,,,,,
Aggron,124,teammate,7,Milotic,,,,,,,,,
Aggron,124,teammate,8,Sneasler,,,,,,,,,
Aggron,124,teammate,9,Pelipper,,,,,,,,,
Aggron,124,teammate,10,Salamence,,,,,,,,,
Aggron,124,stat_alignment,1,Careful,34.6%,Sp. Def,Sp. Atk,,,,,,
Aggron,124,stat_alignment,2,Impish,19.8%,Defense,Sp. Atk,,,,,,
Aggron,124,stat_alignment,3,Relaxed,14.8%,Defense,Speed,,,,,,
Aggron,124,stat_alignment,4,Sassy,13.3%,Sp. Def,Speed,,,,,,
Aggron,124,stat_alignment,5,Adamant,8.6%,Attack,Sp. Atk,,,,,,
Aggron,124,stat_alignment,6,Brave,6.6%,Attack,Speed,,,,,,
Aggron,124,stat_alignment,7,Jolly,1.3%,Speed,Sp. Atk,,,,,,
Aggron,124,stat_alignment,8,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Aggron,124,stat_alignment,9,Calm,0.2%,Sp. Def,Attack,,,,,,
Aggron,124,stat_alignment,10,Bold,0.2%,Defense,Attack,,,,,,
Aggron,124,stat_points,1,,29.5%,,,32,0,2,0,32,0
Aggron,124,stat_points,2,,8.3%,,,32,0,32,0,2,0
Aggron,124,stat_points,3,,6.7%,,,32,2,0,0,32,0
Aggron,124,stat_points,4,,3.0%,,,2,0,32,0,32,0
Aggron,124,stat_points,5,,3.0%,,,32,32,2,0,0,0
Aggron,124,stat_points,6,,2.8%,,,32,32,0,0,2,0
Aggron,124,stat_points,7,,2.7%,,,32,0,4,0,30,0
Aggron,124,stat_points,8,,2.1%,,,32,0,0,0,32,0
Aggron,124,stat_points,9,,1.5%,,,32,2,32,0,0,0
Aggron,124,stat_points,10,,1.4%,,,32,0,10,0,24,0
Aggron,124,ability,1,Sturdy,66.9%,,,,,,,,
Aggron,124,ability,2,Heavy Metal,29.0%,,,,,,,,
Aggron,124,ability,3,Rock Head,4.1%,,,,,,,,
