pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Banette,187,move,1,Poltergeist,83.8%,,,,,,,,
Banette,187,move,2,Destiny Bond,79.1%,,,,,,,,
Banette,187,move,3,Trick Room,38.2%,,,,,,,,
Banette,187,move,4,Swagger,34.5%,,,,,,,,
Banette,187,move,5,Encore,32.1%,,,,,,,,
Banette,187,move,6,Will-O-Wisp,20.2%,,,,,,,,
Banette,187,move,7,Disable,12.7%,,,,,,,,
Banette,187,move,8,Protect,11.8%,,,,,,,,
Banette,187,move,9,Shadow Sneak,11.8%,,,,,,,,
Banette,187,move,10,Psych Up,10.8%,,,,,,,,
Banette,187,held_item,1,Banettite,94.4%,,,,,,,,
Banette,187,held_item,2,Focus Sash,4.4%,,,,,,,,
Banette,187,held_item,3,Quick Claw,0.5%,,,,,,,,
Banette,187,held_item,4,Leftovers,0.3%,,,,,,,,
Banette,187,held_item,5,King's Rock,0.2%,,,,,,,,
Banette,187,held_item,6,Colbur Berry,0.0%,,,,,,,,
Banette,187,held_item,7,Spell Tag,0.0%,,,,,,,,
Banette,187,held_item,8,Life Orb,0.0%,,,,,,,,
Banette,187,teammate,1,Sneasler,,,,,,,,,
Banette,187,teammate,2,Archaludon,,,,,,,,,
Banette,187,teammate,3,Politoed,,,,,,,,,
Banette,187,teammate,4,Sylveon,,,,,,,,,
Banette,187,teammate,5,Rillaboom,,,,,,,,,
Banette,187,teammate,6,Corviknight,,,,,,,,,
Banette,187,teammate,7,Kingambit,,,,,,,,,
Banette,187,teammate,8,Pawmot,,,,,,,,,
Banette,187,teammate,9,Basculegion,,,,,,,,,
Banette,187,teammate,10,Incineroar,,,,,,,,,
Banette,187,stat_alignment,1,Adamant,32.3%,Attack,Sp. Atk,,,,,,
Banette,187,stat_alignment,2,Brave,26.7%,Attack,Speed,,,,,,
Banette,187,stat_alignment,3,Relaxed,23.9%,Defense,Speed,,,,,,
Banette,187,stat_alignment,4,Impish,8.1%,Defense,Sp. Atk,,,,,,
Banette,187,stat_alignment,5,Sassy,3.0%,Sp. Def,Speed,,,,,,
Banette,187,stat_alignment,6,Careful,3.0%,Sp. Def,Sp. Atk,,,,,,
Banette,187,stat_alignment,7,Naughty,1.0%,Attack,Sp. Def,,,,,,
Banette,187,stat_alignment,8,Lax,0.6%,Defense,Sp. Def,,,,,,
Banette,187,stat_alignment,9,Bold,0.4%,Defense,Attack,,,,,,
Banette,187,stat_alignment,10,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Banette,187,stat_points,1,,18.0%,,,32,3,30,0,1,0
Banette,187,stat_points,2,,16.2%,,,32,32,0,0,2,0
Banette,187,stat_points,3,,8.8%,,,32,32,2,0,0,0
Banette,187,stat_points,4,,5.9%,,,32,0,15,0,19,0
Banette,187,stat_points,5,,3.9%,,,2,32,32,0,0,0
Banette,187,stat_points,6,,3.4%,,,0,32,0,32,0,0
Banette,187,stat_points,7,,2.9%,,,2,32,0,0,32,0
Banette,187,stat_points,8,,2.3%,,,32,3,21,0,10,0
Banette,187,stat_points,9,,2.2%,,,32,0,17,0,17,0
Banette,187,stat_points,10,,2.0%,,,28,0,23,0,15,0
Banette,187,ability,1,Frisk,88.1%,,,,,,,,
Banette,187,ability,2,Cursed Body,8.3%,,,,,,,,
Banette,187,ability,3,Insomnia,3.6%,,,,,,,,
