pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beedrill,193,move,1,Poison Jab,92.2%,,,,,,,,
Beedrill,193,move,2,U-turn,84.1%,,,,,,,,
Beedrill,193,move,3,Protect,75.7%,,,,,,,,
Beedrill,193,move,4,Drill Run,60.7%,,,,,,,,
Beedrill,193,move,5,Fell Stinger,21.1%,,,,,,,,
Beedrill,193,move,6,Knock Off,19.7%,,,,,,,,
Beedrill,193,move,7,Dual Wingbeat,9.1%,,,,,,,,
Beedrill,193,move,8,Lunge,8.2%,,,,,,,,
Beedrill,193,move,9,Cross Poison,7.3%,,,,,,,,
Beedrill,193,move,10,Brick Break,6.3%,,,,,,,,
Beedrill,193,held_item,1,Beedrillite,90.5%,,,,,,,,
Beedrill,193,held_item,2,Choice Scarf,7.6%,,,,,,,,
Beedrill,193,held_item,3,Scope Lens,0.5%,,,,,,,,
Beedrill,193,held_item,4,Occa Berry,0.1%,,,,,,,,
Beedrill,193,held_item,5,Focus Sash,0.1%,,,,,,,,
Beedrill,193,teammate,1,Incineroar,,,,,,,,,
Beedrill,193,teammate,2,Pelipper,,,,,,,,,
Beedrill,193,teammate,3,Archaludon,,,,,,,,,
Beedrill,193,teammate,4,Whimsicott,,,,,,,,,
Beedrill,193,teammate,5,Rillaboom,,,,,,,,,
Beedrill,193,teammate,6,Farigiraf,,,,,,,,,
Beedrill,193,teammate,7,Indeedee-F,,,,,,,,,
Beedrill,193,teammate,8,Milotic,,,,,,,,,
Beedrill,193,teammate,9,Raichu,,,,,,,,,
Beedrill,193,teammate,10,Talonflame,,,,,,,,,
Beedrill,193,stat_alignment,1,Jolly,60.8%,Speed,Sp. Atk,,,,,,
Beedrill,193,stat_alignment,2,Adamant,38.2%,Attack,Sp. Atk,,,,,,
Beedrill,193,stat_alignment,3,Lonely,0.9%,Attack,Defense,,,,,,
Beedrill,193,stat_alignment,4,Naughty,0.1%,Attack,Sp. Def,,,,,,
Beedrill,193,stat_points,1,,41.5%,,,2,32,0,0,0,32
Beedrill,193,stat_points,2,,19.0%,,,0,32,2,0,0,32
Beedrill,193,stat_points,3,,15.7%,,,0,32,0,0,2,32
Beedrill,193,stat_points,4,,7.6%,,,1,32,1,0,0,32
Beedrill,193,stat_points,5,,2.1%,,,0,32,0,0,0,32
Beedrill,193,stat_points,6,,1.8%,,,0,30,5,0,0,31
Beedrill,193,stat_points,7,,1.7%,,,0,26,9,0,0,31
Beedrill,193,stat_points,8,,1.4%,,,2,31,1,0,0,32
Beedrill,193,stat_points,9,,1.3%,,,32,7,9,0,0,18
Beedrill,193,stat_points,10,,1.3%,,,32,32,0,0,0,2
Beedrill,193,ability,1,Swarm,54.7%,,,,,,,,
Beedrill,193,ability,2,Sniper,45.3%,,,,,,,,
