pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Feraligatr,151,move,1,Liquidation,82.9%,,,,,,,,
Feraligatr,151,move,2,Protect,65.2%,,,,,,,,
Feraligatr,151,move,3,Ice Punch,40.9%,,,,,,,,
Feraligatr,151,move,4,Aqua Jet,34.7%,,,,,,,,
Feraligatr,151,move,5,Dragon Dance,31.6%,,,,,,,,
Feraligatr,151,move,6,Double-Edge,25.5%,,,,,,,,
Feraligatr,151,move,7,Body Slam,18.9%,,,,,,,,
Feraligatr,151,move,8,Crunch,15.0%,,,,,,,,
Feraligatr,151,move,9,Rock Slide,14.3%,,,,,,,,
Feraligatr,151,move,10,Swords Dance,10.3%,,,,,,,,
Feraligatr,151,held_item,1,Feraligite,57.5%,,,,,,,,
Feraligatr,151,held_item,2,Life Orb,33.8%,,,,,,,,
Feraligatr,151,held_item,3,Leftovers,4.3%,,,,,,,,
Feraligatr,151,held_item,4,Quick Claw,2.6%,,,,,,,,
Feraligatr,151,held_item,5,Choice Scarf,0.6%,,,,,,,,
Feraligatr,151,held_item,6,Mystic Water,0.5%,,,,,,,,
Feraligatr,151,held_item,7,Sitrus Berry,0.2%,,,,,,,,
Feraligatr,151,held_item,8,Muscle Band,0.2%,,,,,,,,
Feraligatr,151,held_item,9,Shell Bell,0.1%,,,,,,,,
Feraligatr,151,held_item,10,Bright Powder,0.1%,,,,,,,,
Feraligatr,151,teammate,1,Rillaboom,,,,,,,,,
Feraligatr,151,teammate,2,Incineroar,,,,,,,,,
Feraligatr,151,teammate,3,Sneasler,,,,,,,,,
Feraligatr,151,teammate,4,Indeedee-F,,,,,,,,,
Feraligatr,151,teammate,5,Pelipper,,,,,,,,,
Feraligatr,151,teammate,6,Whimsicott,,,,,,,,,
Feraligatr,151,teammate,7,Golisopod,,,,,,,,,
Feraligatr,151,teammate,8,Farigiraf,,,,,,,,,
Feraligatr,151,teammate,9,Kingambit,,,,,,,,,
Feraligatr,151,teammate,10,Charizard,,,,,,,,,
Feraligatr,151,stat_alignment,1,Adamant,56.9%,Attack,Sp. Atk,,,,,,
Feraligatr,151,stat_alignment,2,Jolly,20.0%,Speed,Sp. Atk,,,,,,
Feraligatr,151,stat_alignment,3,Brave,13.3%,Attack,Speed,,,,,,
Feraligatr,151,stat_alignment,4,Careful,5.0%,Sp. Def,Sp. Atk,,,,,,
Feraligatr,151,stat_alignment,5,Modest,3.3%,Sp. Atk,Attack,,,,,,
Feraligatr,151,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Feraligatr,151,stat_alignment,7,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Feraligatr,151,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Feraligatr,151,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Feraligatr,151,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Feraligatr,151,stat_points,1,,18.7%,,,32,32,0,0,2,0
Feraligatr,151,stat_points,2,,12.5%,,,2,32,0,0,0,32
Feraligatr,151,stat_points,3,,6.5%,,,32,32,0,0,0,2
Feraligatr,151,stat_points,4,,3.3%,,,31,15,0,0,20,0
Feraligatr,151,stat_points,5,,3.2%,,,2,0,0,32,0,32
Feraligatr,151,stat_points,6,,2.7%,,,2,32,0,0,32,0
Feraligatr,151,stat_points,7,,2.5%,,,0,32,2,0,0,32
Feraligatr,151,stat_points,8,,2.4%,,,32,32,2,0,0,0
Feraligatr,151,stat_points,9,,2.0%,,,0,32,0,0,2,32
Feraligatr,151,stat_points,10,,1.8%,,,0,32,0,0,22,12
Feraligatr,151,ability,1,Sheer Force,88.5%,,,,,,,,
Feraligatr,151,ability,2,Torrent,11.5%,,,,,,,,
