pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pangoro,205,move,1,Knock Off,58.7%,,,,,,,,
Pangoro,205,move,2,Close Combat,44.3%,,,,,,,,
Pangoro,205,move,3,Protect,38.7%,,,,,,,,
Pangoro,205,move,4,Drain Punch,33.0%,,,,,,,,
Pangoro,205,move,5,Darkest Lariat,31.6%,,,,,,,,
Pangoro,205,move,6,Detect,28.4%,,,,,,,,
Pangoro,205,move,7,Ice Punch,26.0%,,,,,,,,
Pangoro,205,move,8,Bullet Punch,23.8%,,,,,,,,
Pangoro,205,move,9,Parting Shot,13.0%,,,,,,,,
Pangoro,205,move,10,Storm Throw,10.8%,,,,,,,,
Pangoro,205,held_item,1,Life Orb,28.2%,,,,,,,,
Pangoro,205,held_item,2,Focus Sash,26.5%,,,,,,,,
Pangoro,205,held_item,3,Black Glasses,7.3%,,,,,,,,
Pangoro,205,held_item,4,Expert Belt,5.9%,,,,,,,,
Pangoro,205,held_item,5,Roseli Berry,4.2%,,,,,,,,
Pangoro,205,held_item,6,Sitrus Berry,4.0%,,,,,,,,
Pangoro,205,held_item,7,Muscle Band,3.5%,,,,,,,,
Pangoro,205,held_item,8,White Herb,3.5%,,,,,,,,
Pangoro,205,held_item,9,Psychic Seed,3.5%,,,,,,,,
Pangoro,205,held_item,10,Quick Claw,2.9%,,,,,,,,
Pangoro,205,teammate,1,Indeedee-F,,,,,,,,,
Pangoro,205,teammate,2,Farigiraf,,,,,,,,,
Pangoro,205,teammate,3,Golisopod,,,,,,,,,
Pangoro,205,teammate,4,Armarouge,,,,,,,,,
Pangoro,205,teammate,5,Torkoal,,,,,,,,,
Pangoro,205,teammate,6,Salamence,,,,,,,,,
Pangoro,205,teammate,7,Raichu,,,,,,,,,
Pangoro,205,teammate,8,Sirfetch’d,,,,,,,,,
Pangoro,205,teammate,9,Camerupt,,,,,,,,,
Pangoro,205,teammate,10,Incineroar,,,,,,,,,
Pangoro,205,stat_alignment,1,Brave,42.6%,Attack,Speed,,,,,,
Pangoro,205,stat_alignment,2,Adamant,42.2%,Attack,Sp. Atk,,,,,,
Pangoro,205,stat_alignment,3,Sassy,6.6%,Sp. Def,Speed,,,,,,
Pangoro,205,stat_alignment,4,Jolly,2.9%,Speed,Sp. Atk,,,,,,
Pangoro,205,stat_alignment,5,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Pangoro,205,stat_alignment,6,Impish,1.2%,Defense,Sp. Atk,,,,,,
Pangoro,205,stat_alignment,7,Lonely,1.1%,Attack,Defense,,,,,,
Pangoro,205,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Pangoro,205,stat_alignment,9,Serious,0.6%,,,,,,,,
Pangoro,205,stat_alignment,10,Naughty,0.2%,Attack,Sp. Def,,,,,,
Pangoro,205,stat_points,1,,26.2%,,,32,32,2,0,0,0
Pangoro,205,stat_points,2,,19.3%,,,32,32,0,0,2,0
Pangoro,205,stat_points,3,,7.2%,,,2,32,32,0,0,0
Pangoro,205,stat_points,4,,6.2%,,,2,32,0,0,0,32
Pangoro,205,stat_points,5,,6.1%,,,0,32,16,0,18,0
Pangoro,205,stat_points,6,,5.2%,,,0,32,2,0,0,32
Pangoro,205,stat_points,7,,2.7%,,,0,32,0,0,2,32
Pangoro,205,stat_points,8,,2.0%,,,0,32,22,0,12,0
Pangoro,205,stat_points,9,,1.6%,,,0,32,2,0,32,0
Pangoro,205,stat_points,10,,1.6%,,,5,32,0,0,26,3
Pangoro,205,ability,1,Scrappy,75.1%,,,,,,,,
Pangoro,205,ability,2,Iron Fist,24.2%,,,,,,,,
Pangoro,205,ability,3,Mold Breaker,0.7%,,,,,,,,
