pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Snorlax,101,move,1,Protect,68.1%,,,,,,,,
Snorlax,101,move,2,Fissure,42.9%,,,,,,,,
Snorlax,101,move,3,Stockpile,27.1%,,,,,,,,
Snorlax,101,move,4,Yawn,25.1%,,,,,,,,
Snorlax,101,move,5,Belly Drum,19.9%,,,,,,,,
Snorlax,101,move,6,Body Press,19.3%,,,,,,,,
Snorlax,101,move,7,Rock Slide,16.8%,,,,,,,,
Snorlax,101,move,8,Earthquake,15.2%,,,,,,,,
Snorlax,101,move,9,Self-Destruct,15.2%,,,,,,,,
Snorlax,101,move,10,Encore,15.1%,,,,,,,,
Snorlax,101,held_item,1,Leftovers,53.9%,,,,,,,,
Snorlax,101,held_item,2,Sitrus Berry,20.1%,,,,,,,,
Snorlax,101,held_item,3,Normal Gem,6.4%,,,,,,,,
Snorlax,101,held_item,4,Chople Berry,5.8%,,,,,,,,
Snorlax,101,held_item,5,Life Orb,5.1%,,,,,,,,
Snorlax,101,held_item,6,Chesto Berry,1.9%,,,,,,,,
Snorlax,101,held_item,7,Expert Belt,1.8%,,,,,,,,
Snorlax,101,held_item,8,Rocky Helmet,0.8%,,,,,,,,
Snorlax,101,held_item,9,Silk Scarf,0.5%,,,,,,,,
Snorlax,101,held_item,10,Grassy Seed,0.5%,,,,,,,,
Snorlax,101,teammate,1,Incineroar,,,,,,,,,
Snorlax,101,teammate,2,Rillaboom,,,,,,,,,
Snorlax,101,teammate,3,Gengar,,,,,,,,,
Snorlax,101,teammate,4,Sinistcha,,,,,,,,,
Snorlax,101,teammate,5,Hawlucha,,,,,,,,,
Snorlax,101,teammate,6,Farigiraf,,,,,,,,,
Snorlax,101,teammate,7,Dragonite,,,,,,,,,
Snorlax,101,teammate,8,Indeedee-F,,,,,,,,,
Snorlax,101,teammate,9,Scrafty,,,,,,,,,
Snorlax,101,teammate,10,Sableye,,,,,,,,,
Snorlax,101,stat_alignment,1,Relaxed,38.6%,Defense,Speed,,,,,,
Snorlax,101,stat_alignment,2,Impish,16.6%,Defense,Sp. Atk,,,,,,
Snorlax,101,stat_alignment,3,Brave,15.2%,Attack,Speed,,,,,,
Snorlax,101,stat_alignment,4,Adamant,15.1%,Attack,Sp. Atk,,,,,,
Snorlax,101,stat_alignment,5,Bold,7.3%,Defense,Attack,,,,,,
Snorlax,101,stat_alignment,6,Careful,2.7%,Sp. Def,Sp. Atk,,,,,,
Snorlax,101,stat_alignment,7,Sassy,2.6%,Sp. Def,Speed,,,,,,
Snorlax,101,stat_alignment,8,Calm,0.4%,Sp. Def,Attack,,,,,,
Snorlax,101,stat_alignment,9,Lax,0.4%,Defense,Sp. Def,,,,,,
Snorlax,101,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Snorlax,101,stat_points,1,,27.0%,,,32,0,32,0,2,0
Snorlax,101,stat_points,2,,6.3%,,,21,0,31,0,0,14
Snorlax,101,stat_points,3,,6.0%,,,32,32,2,0,0,0
Snorlax,101,stat_points,4,,5.3%,,,21,0,31,0,14,0
Snorlax,101,stat_points,5,,4.6%,,,2,32,32,0,0,0
Snorlax,101,stat_points,6,,2.6%,,,0,32,32,0,2,0
Snorlax,101,stat_points,7,,2.2%,,,32,32,0,0,2,0
Snorlax,101,stat_points,8,,2.0%,,,32,0,32,0,0,0
Snorlax,101,stat_points,9,,1.8%,,,31,32,3,0,0,0
Snorlax,101,stat_points,10,,1.8%,,,31,0,32,0,3,0
Snorlax,101,ability,1,Thick Fat,94.5%,,,,,,,,
Snorlax,101,ability,2,Immunity,3.1%,,,,,,,,
Snorlax,101,ability,3,Gluttony,2.4%,,,,,,,,
