pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aerodactyl,144,move,1,Dual Wingbeat,70.3%,,,,,,,,
Aerodactyl,144,move,2,Ice Fang,59.0%,,,,,,,,
Aerodactyl,144,move,3,Earthquake,51.9%,,,,,,,,
Aerodactyl,144,move,4,Rock Slide,41.7%,,,,,,,,
Aerodactyl,144,move,5,Taunt,32.0%,,,,,,,,
Aerodactyl,144,move,6,Dragon Dance,24.4%,,,,,,,,
Aerodactyl,144,move,7,Stealth Rock,20.1%,,,,,,,,
Aerodactyl,144,move,8,Stone Edge,19.2%,,,,,,,,
Aerodactyl,144,move,9,Fire Fang,14.3%,,,,,,,,
Aerodactyl,144,move,10,Iron Head,9.8%,,,,,,,,
Aerodactyl,144,held_item,1,Aerodactylite,69.6%,,,,,,,,
Aerodactyl,144,held_item,2,Focus Sash,14.8%,,,,,,,,
Aerodactyl,144,held_item,3,Life Orb,3.7%,,,,,,,,
Aerodactyl,144,held_item,4,King's Rock,2.0%,,,,,,,,
Aerodactyl,144,held_item,5,Choice Scarf,1.6%,,,,,,,,
Aerodactyl,144,held_item,6,Wide Lens,1.5%,,,,,,,,
Aerodactyl,144,held_item,7,Rocky Helmet,1.5%,,,,,,,,
Aerodactyl,144,held_item,8,Sitrus Berry,0.9%,,,,,,,,
Aerodactyl,144,held_item,9,Yache Berry,0.7%,,,,,,,,
Aerodactyl,144,held_item,10,Red Card,0.5%,,,,,,,,
Aerodactyl,144,teammate,1,Garchomp,,,,,,,,,
Aerodactyl,144,teammate,2,Primarina,,,,,,,,,
Aerodactyl,144,teammate,3,Golisopod,,,,,,,,,
Aerodactyl,144,teammate,4,Lucario,,,,,,,,,
Aerodactyl,144,teammate,5,Archaludon,,,,,,,,,
Aerodactyl,144,teammate,6,Rillaboom,,,,,,,,,
Aerodactyl,144,teammate,7,Salamence,,,,,,,,,
Aerodactyl,144,teammate,8,Baxcalibur,,,,,,,,,
Aerodactyl,144,teammate,9,Greninja,,,,,,,,,
Aerodactyl,144,teammate,10,Sneasler,,,,,,,,,
Aerodactyl,144,stat_alignment,1,Jolly,52.7%,Speed,Sp. Atk,,,,,,
Aerodactyl,144,stat_alignment,2,Adamant,40.0%,Attack,Sp. Atk,,,,,,
Aerodactyl,144,stat_alignment,3,Impish,2.4%,Defense,Sp. Atk,,,,,,
Aerodactyl,144,stat_alignment,4,Naughty,1.6%,Attack,Sp. Def,,,,,,
Aerodactyl,144,stat_alignment,5,Naive,1.1%,Speed,Sp. Def,,,,,,
Aerodactyl,144,stat_alignment,6,Hasty,1.1%,Speed,Defense,,,,,,
Aerodactyl,144,stat_alignment,7,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Aerodactyl,144,stat_alignment,8,Lonely,0.4%,Attack,Defense,,,,,,
Aerodactyl,144,stat_alignment,9,Modest,0.1%,Sp. Atk,Attack,,,,,,
Aerodactyl,144,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Aerodactyl,144,stat_points,1,,53.8%,,,2,32,0,0,0,32
Aerodactyl,144,stat_points,2,,10.8%,,,0,32,2,0,0,32
Aerodactyl,144,stat_points,3,,6.7%,,,0,32,0,0,2,32
Aerodactyl,144,stat_points,4,,2.0%,,,0,32,0,0,0,32
Aerodactyl,144,stat_points,5,,1.8%,,,8,32,0,0,0,26
Aerodactyl,144,stat_points,6,,1.2%,,,1,32,0,0,0,32
Aerodactyl,144,stat_points,7,,1.1%,,,32,32,0,0,2,0
Aerodactyl,144,stat_points,8,,0.9%,,,10,32,1,0,0,23
Aerodactyl,144,stat_points,9,,0.9%,,,0,32,1,0,1,32
Aerodactyl,144,stat_points,10,,0.8%,,,0,32,32,0,0,2
Aerodactyl,144,ability,1,Unnerve,57.7%,,,,,,,,
Aerodactyl,144,ability,2,Pressure,35.5%,,,,,,,,
Aerodactyl,144,ability,3,Rock Head,6.8%,,,,,,,,
