pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Manectric,204,move,1,Thunderbolt,86.0%,,,,,,,,
Manectric,204,move,2,Volt Switch,76.6%,,,,,,,,
Manectric,204,move,3,Overheat,60.5%,,,,,,,,
Manectric,204,move,4,Flamethrower,44.9%,,,,,,,,
Manectric,204,move,5,Snarl,31.2%,,,,,,,,
Manectric,204,move,6,Quick Attack,18.8%,,,,,,,,
Manectric,204,move,7,Protect,15.6%,,,,,,,,
Manectric,204,move,8,Substitute,15.4%,,,,,,,,
Manectric,204,move,9,Rising Voltage,6.2%,,,,,,,,
Manectric,204,move,10,Charge Beam,5.2%,,,,,,,,
Manectric,204,held_item,1,Manectite,83.7%,,,,,,,,
Manectric,204,held_item,2,Focus Sash,8.2%,,,,,,,,
Manectric,204,held_item,3,Choice Scarf,4.5%,,,,,,,,
Manectric,204,held_item,4,Expert Belt,1.0%,,,,,,,,
Manectric,204,held_item,5,Magnet,0.6%,,,,,,,,
Manectric,204,held_item,6,Life Orb,0.6%,,,,,,,,
Manectric,204,held_item,7,Air Balloon,0.3%,,,,,,,,
Manectric,204,held_item,8,Quick Claw,0.2%,,,,,,,,
Manectric,204,held_item,9,Bright Powder,0.1%,,,,,,,,
Manectric,204,held_item,10,Black Belt,0.1%,,,,,,,,
Manectric,204,teammate,1,Garchomp,,,,,,,,,
Manectric,204,teammate,2,Gyarados,,,,,,,,,
Manectric,204,teammate,3,Baxcalibur,,,,,,,,,
Manectric,204,teammate,4,Corviknight,,,,,,,,,
Manectric,204,teammate,5,Rillaboom,,,,,,,,,
Manectric,204,teammate,6,Meowscarada,,,,,,,,,
Manectric,204,teammate,7,Golisopod,,,,,,,,,
Manectric,204,teammate,8,Primarina,,,,,,,,,
Manectric,204,teammate,9,Salamence,,,,,,,,,
Manectric,204,teammate,10,Chimecho,,,,,,,,,
Manectric,204,stat_alignment,1,Timid,73.8%,Speed,Attack,,,,,,
Manectric,204,stat_alignment,2,Modest,23.2%,Sp. Atk,Attack,,,,,,
Manectric,204,stat_alignment,3,Naive,2.2%,Speed,Sp. Def,,,,,,
Manectric,204,stat_alignment,4,Calm,0.4%,Sp. Def,Attack,,,,,,
Manectric,204,stat_alignment,5,Hardy,0.1%,,,,,,,,
Manectric,204,stat_alignment,6,Hasty,0.1%,Speed,Defense,,,,,,
Manectric,204,stat_alignment,7,Mild,0.1%,Sp. Atk,Defense,,,,,,
Manectric,204,stat_alignment,8,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,
Manectric,204,stat_alignment,9,Gentle,0.0%,Sp. Def,Defense,,,,,,
Manectric,204,stat_points,1,,70.4%,,,2,0,0,32,0,32
Manectric,204,stat_points,2,,6.1%,,,0,0,0,32,0,32
Manectric,204,stat_points,3,,2.9%,,,0,0,0,32,2,32
Manectric,204,stat_points,4,,2.7%,,,1,0,0,32,1,32
Manectric,204,stat_points,5,,2.3%,,,0,0,1,32,1,32
Manectric,204,stat_points,6,,1.9%,,,0,2,0,32,0,32
Manectric,204,stat_points,7,,1.6%,,,0,0,1,32,0,32
Manectric,204,stat_points,8,,1.4%,,,32,0,0,32,2,0
Manectric,204,stat_points,9,,1.3%,,,0,0,2,32,0,32
Manectric,204,stat_points,10,,1.2%,,,4,0,0,32,0,30
Manectric,204,ability,1,Lightning Rod,80.1%,,,,,,,,
Manectric,204,ability,2,Static,19.4%,,,,,,,,
Manectric,204,ability,3,Minus,0.5%,,,,,,,,
