pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Perrserker,218,move,1,Iron Head,76.3%,,,,,,,,
Perrserker,218,move,2,Fake Out,45.5%,,,,,,,,
Perrserker,218,move,3,Metal Burst,37.1%,,,,,,,,
Perrserker,218,move,4,Close Combat,36.3%,,,,,,,,
Perrserker,218,move,5,Stealth Rock,33.5%,,,,,,,,
Perrserker,218,move,6,Knock Off,22.4%,,,,,,,,
Perrserker,218,move,7,Taunt,14.6%,,,,,,,,
Perrserker,218,move,8,Play Rough,14.4%,,,,,,,,
Perrserker,218,move,9,Gyro Ball,13.4%,,,,,,,,
Perrserker,218,move,10,U-turn,13.2%,,,,,,,,
Perrserker,218,held_item,1,Focus Sash,33.3%,,,,,,,,
Perrserker,218,held_item,2,Sitrus Berry,10.1%,,,,,,,,
Perrserker,218,held_item,3,Quick Claw,10.0%,,,,,,,,
Perrserker,218,held_item,4,Air Balloon,9.7%,,,,,,,,
Perrserker,218,held_item,5,Metal Coat,7.4%,,,,,,,,
Perrserker,218,held_item,6,Iron Ball,5.7%,,,,,,,,
Perrserker,218,held_item,7,Rocky Helmet,5.5%,,,,,,,,
Perrserker,218,held_item,8,Life Orb,5.2%,,,,,,,,
Perrserker,218,held_item,9,Muscle Band,3.5%,,,,,,,,
Perrserker,218,held_item,10,Red Card,2.5%,,,,,,,,
Perrserker,218,teammate,1,Salamence,,,,,,,,,
Perrserker,218,teammate,2,Baxcalibur,,,,,,,,,
Perrserker,218,teammate,3,Golisopod,,,,,,,,,
Perrserker,218,teammate,4,Garchomp,,,,,,,,,
Perrserker,218,teammate,5,Rillaboom,,,,,,,,,
Perrserker,218,teammate,6,Cinderace,,,,,,,,,
Perrserker,218,teammate,7,Persian-Alola,,,,,,,,,
Perrserker,218,teammate,8,Absol,,,,,,,,,
Perrserker,218,teammate,9,Audino,,,,,,,,,
Perrserker,218,teammate,10,Lucario,,,,,,,,,
Perrserker,218,stat_alignment,1,Adamant,50.9%,Attack,Sp. Atk,,,,,,
Perrserker,218,stat_alignment,2,Brave,19.7%,Attack,Speed,,,,,,
Perrserker,218,stat_alignment,3,Impish,11.7%,Defense,Sp. Atk,,,,,,
Perrserker,218,stat_alignment,4,Careful,4.6%,Sp. Def,Sp. Atk,,,,,,
Perrserker,218,stat_alignment,5,Relaxed,3.6%,Defense,Speed,,,,,,
Perrserker,218,stat_alignment,6,Jolly,2.8%,Speed,Sp. Atk,,,,,,
Perrserker,218,stat_alignment,7,Sassy,1.5%,Sp. Def,Speed,,,,,,
Perrserker,218,stat_alignment,8,Timid,1.5%,Speed,Attack,,,,,,
Perrserker,218,stat_alignment,9,Naughty,1.4%,Attack,Sp. Def,,,,,,
Perrserker,218,stat_alignment,10,Bold,1.2%,Defense,Attack,,,,,,
Perrserker,218,stat_points,1,,29.2%,,,32,32,0,0,2,0
Perrserker,218,stat_points,2,,11.5%,,,32,32,2,0,0,0
Perrserker,218,stat_points,3,,7.8%,,,2,32,0,0,0,32
Perrserker,218,stat_points,4,,4.7%,,,32,0,32,0,2,0
Perrserker,218,stat_points,5,,4.0%,,,32,2,32,0,0,0
Perrserker,218,stat_points,6,,3.6%,,,2,32,32,0,0,0
Perrserker,218,stat_points,7,,3.4%,,,32,0,2,0,32,0
Perrserker,218,stat_points,8,,3.2%,,,32,32,0,0,0,2
Perrserker,218,stat_points,9,,2.1%,,,32,32,1,0,1,0
Perrserker,218,stat_points,10,,2.0%,,,30,0,20,0,16,0
Perrserker,218,ability,1,Steely Spirit,50.8%,,,,,,,,
Perrserker,218,ability,2,Tough Claws,38.9%,,,,,,,,
Perrserker,218,ability,3,Battle Armor,10.3%,,,,,,,,
