pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Spiritomb,166,move,1,Foul Play,61.7%,,,,,,,,
Spiritomb,166,move,2,Will-O-Wisp,54.4%,,,,,,,,
Spiritomb,166,move,3,Trick Room,43.2%,,,,,,,,
Spiritomb,166,move,4,Pain Split,32.5%,,,,,,,,
Spiritomb,166,move,5,Curse,30.9%,,,,,,,,
Spiritomb,166,move,6,Sucker Punch,24.1%,,,,,,,,
Spiritomb,166,move,7,Destiny Bond,23.8%,,,,,,,,
Spiritomb,166,move,8,Hex,21.2%,,,,,,,,
Spiritomb,166,move,9,Memento,20.4%,,,,,,,,
Spiritomb,166,move,10,Poltergeist,17.4%,,,,,,,,
Spiritomb,166,held_item,1,Sitrus Berry,31.2%,,,,,,,,
Spiritomb,166,held_item,2,Leftovers,15.1%,,,,,,,,
Spiritomb,166,held_item,3,Roseli Berry,13.0%,,,,,,,,
Spiritomb,166,held_item,4,Mental Herb,10.3%,,,,,,,,
Spiritomb,166,held_item,5,Rocky Helmet,5.7%,,,,,,,,
Spiritomb,166,held_item,6,Life Orb,4.1%,,,,,,,,
Spiritomb,166,held_item,7,Zoom Lens,3.8%,,,,,,,,
Spiritomb,166,held_item,8,Focus Sash,3.6%,,,,,,,,
Spiritomb,166,held_item,9,Choice Scarf,1.4%,,,,,,,,
Spiritomb,166,held_item,10,Bright Powder,1.4%,,,,,,,,
Spiritomb,166,teammate,1,Garchomp,,,,,,,,,
Spiritomb,166,teammate,2,Lucario,,,,,,,,,
Spiritomb,166,teammate,3,Roserade,,,,,,,,,
Spiritomb,166,teammate,4,Milotic,,,,,,,,,
Spiritomb,166,teammate,5,Basculegion,,,,,,,,,
Spiritomb,166,teammate,6,Golisopod,,,,,,,,,
Spiritomb,166,teammate,7,Salamence,,,,,,,,,
Spiritomb,166,teammate,8,Kangaskhan,,,,,,,,,
Spiritomb,166,teammate,9,Mawile,,,,,,,,,
Spiritomb,166,teammate,10,Mimikyu,,,,,,,,,
Spiritomb,166,stat_alignment,1,Relaxed,32.8%,Defense,Speed,,,,,,
Spiritomb,166,stat_alignment,2,Sassy,15.3%,Sp. Def,Speed,,,,,,
Spiritomb,166,stat_alignment,3,Impish,13.3%,Defense,Sp. Atk,,,,,,
Spiritomb,166,stat_alignment,4,Bold,12.2%,Defense,Attack,,,,,,
Spiritomb,166,stat_alignment,5,Adamant,7.4%,Attack,Sp. Atk,,,,,,
Spiritomb,166,stat_alignment,6,Calm,6.0%,Sp. Def,Attack,,,,,,
Spiritomb,166,stat_alignment,7,Careful,5.1%,Sp. Def,Sp. Atk,,,,,,
Spiritomb,166,stat_alignment,8,Brave,2.7%,Attack,Speed,,,,,,
Spiritomb,166,stat_alignment,9,Quiet,2.0%,Sp. Atk,Speed,,,,,,
Spiritomb,166,stat_alignment,10,Modest,1.8%,Sp. Atk,Attack,,,,,,
Spiritomb,166,stat_points,1,,23.4%,,,32,0,32,0,2,0
Spiritomb,166,stat_points,2,,11.5%,,,32,0,2,0,32,0
Spiritomb,166,stat_points,3,,7.2%,,,32,1,32,1,0,0
Spiritomb,166,stat_points,4,,4.5%,,,2,0,32,0,32,0
Spiritomb,166,stat_points,5,,4.2%,,,31,0,11,0,24,0
Spiritomb,166,stat_points,6,,3.2%,,,32,0,12,0,22,0
Spiritomb,166,stat_points,7,,3.0%,,,31,0,32,0,3,0
Spiritomb,166,stat_points,8,,2.6%,,,32,32,2,0,0,0
Spiritomb,166,stat_points,9,,2.4%,,,32,32,1,0,1,0
Spiritomb,166,stat_points,10,,2.4%,,,32,0,22,0,12,0
Spiritomb,166,ability,1,Infiltrator,78.6%,,,,,,,,
Spiritomb,166,ability,2,Pressure,21.4%,,,,,,,,
