pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gogoat,195,move,1,Milk Drink,73.0%,,,,,,,,
Gogoat,195,move,2,Horn Leech,71.4%,,,,,,,,
Gogoat,195,move,3,Bulk Up,41.8%,,,,,,,,
Gogoat,195,move,4,High Horsepower,33.9%,,,,,,,,
Gogoat,195,move,5,Protect,27.1%,,,,,,,,
Gogoat,195,move,6,Rock Slide,23.1%,,,,,,,,
Gogoat,195,move,7,Grassy Glide,22.3%,,,,,,,,
Gogoat,195,move,8,Leech Seed,17.4%,,,,,,,,
Gogoat,195,move,9,Leaf Blade,16.8%,,,,,,,,
Gogoat,195,move,10,Wild Charge,10.1%,,,,,,,,
Gogoat,195,held_item,1,Sitrus Berry,20.8%,,,,,,,,
Gogoat,195,held_item,2,Grassy Seed,20.1%,,,,,,,,
Gogoat,195,held_item,3,Leftovers,19.4%,,,,,,,,
Gogoat,195,held_item,4,Choice Scarf,9.3%,,,,,,,,
Gogoat,195,held_item,5,Big Root,6.2%,,,,,,,,
Gogoat,195,held_item,6,Miracle Seed,4.3%,,,,,,,,
Gogoat,195,held_item,7,Rocky Helmet,4.0%,,,,,,,,
Gogoat,195,held_item,8,Life Orb,2.5%,,,,,,,,
Gogoat,195,held_item,9,Focus Sash,1.9%,,,,,,,,
Gogoat,195,held_item,10,Psychic Seed,1.9%,,,,,,,,
Gogoat,195,teammate,1,Rillaboom,,,,,,,,,
Gogoat,195,teammate,2,Golisopod,,,,,,,,,
Gogoat,195,teammate,3,Sneasler,,,,,,,,,
Gogoat,195,teammate,4,Salamence,,,,,,,,,
Gogoat,195,teammate,5,Pelipper,,,,,,,,,
Gogoat,195,teammate,6,Baxcalibur,,,,,,,,,
Gogoat,195,teammate,7,Milotic,,,,,,,,,
Gogoat,195,teammate,8,Indeedee-F,,,,,,,,,
Gogoat,195,teammate,9,Incineroar,,,,,,,,,
Gogoat,195,teammate,10,Basculegion,,,,,,,,,
Gogoat,195,stat_alignment,1,Adamant,41.7%,Attack,Sp. Atk,,,,,,
Gogoat,195,stat_alignment,2,Impish,19.1%,Defense,Sp. Atk,,,,,,
Gogoat,195,stat_alignment,3,Careful,10.7%,Sp. Def,Sp. Atk,,,,,,
Gogoat,195,stat_alignment,4,Jolly,9.1%,Speed,Sp. Atk,,,,,,
Gogoat,195,stat_alignment,5,Brave,9.1%,Attack,Speed,,,,,,
Gogoat,195,stat_alignment,6,Relaxed,4.2%,Defense,Speed,,,,,,
Gogoat,195,stat_alignment,7,Sassy,2.1%,Sp. Def,Speed,,,,,,
Gogoat,195,stat_alignment,8,Naughty,1.3%,Attack,Sp. Def,,,,,,
Gogoat,195,stat_alignment,9,Bold,1.2%,Defense,Attack,,,,,,
Gogoat,195,stat_alignment,10,Lonely,0.4%,Attack,Defense,,,,,,
Gogoat,195,stat_points,1,,9.4%,,,26,27,0,0,6,7
Gogoat,195,stat_points,2,,9.2%,,,32,0,32,0,2,0
Gogoat,195,stat_points,3,,9.0%,,,0,32,2,0,0,32
Gogoat,195,stat_points,4,,8.6%,,,32,32,0,0,2,0
Gogoat,195,stat_points,5,,4.8%,,,32,32,2,0,0,0
Gogoat,195,stat_points,6,,4.7%,,,0,32,32,0,0,2
Gogoat,195,stat_points,7,,4.1%,,,32,0,2,0,32,0
Gogoat,195,stat_points,8,,3.6%,,,32,32,0,0,0,2
Gogoat,195,stat_points,9,,1.9%,,,32,17,6,0,11,0
Gogoat,195,stat_points,10,,1.6%,,,0,32,0,0,2,32
Gogoat,195,ability,1,Grass Pelt,71.5%,,,,,,,,
Gogoat,195,ability,2,Sap Sipper,28.5%,,,,,,,,
