pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowstic,110,move,1,Fake Out,40.8%,,,,,,,,
Meowstic,110,move,2,Expanding Force,40.4%,,,,,,,,
Meowstic,110,move,3,Light Screen,32.2%,,,,,,,,
Meowstic,110,move,4,Rain Dance,25.6%,,,,,,,,
Meowstic,110,move,5,Sunny Day,24.9%,,,,,,,,
Meowstic,110,move,6,Reflect,24.5%,,,,,,,,
Meowstic,110,move,7,Psychic Terrain,24.3%,,,,,,,,
Meowstic,110,move,8,Trick Room,21.4%,,,,,,,,
Meowstic,110,move,9,Skill Swap,19.4%,,,,,,,,
Meowstic,110,move,10,Protect,14.1%,,,,,,,,
Meowstic,110,held_item,1,Light Clay,19.6%,,,,,,,,
Meowstic,110,held_item,2,Meowsticite,14.3%,,,,,,,,
Meowstic,110,held_item,3,Colbur Berry,13.4%,,,,,,,,
Meowstic,110,held_item,4,Sitrus Berry,10.6%,,,,,,,,
Meowstic,110,held_item,5,Focus Sash,9.8%,,,,,,,,
Meowstic,110,held_item,6,Mental Herb,7.6%,,,,,,,,
Meowstic,110,held_item,7,Bright Powder,4.6%,,,,,,,,
Meowstic,110,held_item,8,Psychic Seed,3.1%,,,,,,,,
Meowstic,110,held_item,9,Twisted Spoon,2.0%,,,,,,,,
Meowstic,110,held_item,10,Leftovers,2.0%,,,,,,,,
Meowstic,110,teammate,1,Indeedee-F,,,,,,,,,
Meowstic,110,teammate,2,Sneasler,,,,,,,,,
Meowstic,110,teammate,3,Rillaboom,,,,,,,,,
Meowstic,110,teammate,4,Archaludon,,,,,,,,,
Meowstic,110,teammate,5,Delphox,,,,,,,,,
Meowstic,110,teammate,6,Golisopod,,,,,,,,,
Meowstic,110,teammate,7,Overqwil,,,,,,,,,
Meowstic,110,teammate,8,Basculegion,,,,,,,,,
Meowstic,110,teammate,9,Armarouge,,,,,,,,,
Meowstic,110,teammate,10,Klefki,,,,,,,,,
Meowstic,110,stat_alignment,1,Bold,39.5%,Defense,Attack,,,,,,
Meowstic,110,stat_alignment,2,Modest,16.5%,Sp. Atk,Attack,,,,,,
Meowstic,110,stat_alignment,3,Timid,15.1%,Speed,Attack,,,,,,
Meowstic,110,stat_alignment,4,Calm,15.0%,Sp. Def,Attack,,,,,,
Meowstic,110,stat_alignment,5,Impish,4.7%,Defense,Sp. Atk,,,,,,
Meowstic,110,stat_alignment,6,Quiet,2.2%,Sp. Atk,Speed,,,,,,
Meowstic,110,stat_alignment,7,Sassy,2.1%,Sp. Def,Speed,,,,,,
Meowstic,110,stat_alignment,8,Relaxed,2.0%,Defense,Speed,,,,,,
Meowstic,110,stat_alignment,9,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Meowstic,110,stat_alignment,10,Hasty,0.4%,Speed,Defense,,,,,,
Meowstic,110,stat_points,1,,8.0%,,,32,0,25,0,9,0
Meowstic,110,stat_points,2,,7.7%,,,2,0,0,32,0,32
Meowstic,110,stat_points,3,,7.5%,,,32,0,32,0,2,0
Meowstic,110,stat_points,4,,7.1%,,,32,0,24,0,10,0
Meowstic,110,stat_points,5,,6.3%,,,32,0,14,0,20,0
Meowstic,110,stat_points,6,,5.5%,,,2,0,32,0,32,0
Meowstic,110,stat_points,7,,3.5%,,,32,0,2,32,0,0
Meowstic,110,stat_points,8,,2.8%,,,0,0,2,32,0,32
Meowstic,110,stat_points,9,,1.9%,,,0,0,32,0,32,0
Meowstic,110,stat_points,10,,1.8%,,,32,0,32,0,0,0
Meowstic,110,ability,1,Prankster,98.1%,,,,,,,,
Meowstic,110,ability,2,Infiltrator,1.5%,,,,,,,,
Meowstic,110,ability,3,Keen Eye,0.5%,,,,,,,,
