pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Jolteon,177,move,1,Thunderbolt,73.3%,,,,,,,,
Jolteon,177,move,2,Alluring Voice,61.6%,,,,,,,,
Jolteon,177,move,3,Volt Switch,60.0%,,,,,,,,
Jolteon,177,move,4,Shadow Ball,46.5%,,,,,,,,
Jolteon,177,move,5,Yawn,22.0%,,,,,,,,
Jolteon,177,move,6,Calm Mind,11.5%,,,,,,,,
Jolteon,177,move,7,Thunder Wave,11.1%,,,,,,,,
Jolteon,177,move,8,Thunder,8.6%,,,,,,,,
Jolteon,177,move,9,Mud-Slap,8.6%,,,,,,,,
Jolteon,177,move,10,Weather Ball,8.2%,,,,,,,,
Jolteon,177,held_item,1,Focus Sash,24.3%,,,,,,,,
Jolteon,177,held_item,2,Life Orb,15.0%,,,,,,,,
Jolteon,177,held_item,3,Magnet,14.3%,,,,,,,,
Jolteon,177,held_item,4,Choice Scarf,14.2%,,,,,,,,
Jolteon,177,held_item,5,Air Balloon,10.7%,,,,,,,,
Jolteon,177,held_item,6,Bright Powder,4.0%,,,,,,,,
Jolteon,177,held_item,7,Shuca Berry,2.9%,,,,,,,,
Jolteon,177,held_item,8,Leftovers,2.1%,,,,,,,,
Jolteon,177,held_item,9,Light Clay,1.8%,,,,,,,,
Jolteon,177,held_item,10,Wise Glasses,1.7%,,,,,,,,
Jolteon,177,teammate,1,Garchomp,,,,,,,,,
Jolteon,177,teammate,2,Umbreon,,,,,,,,,
Jolteon,177,teammate,3,Golisopod,,,,,,,,,
Jolteon,177,teammate,4,Salamence,,,,,,,,,
Jolteon,177,teammate,5,Sylveon,,,,,,,,,
Jolteon,177,teammate,6,Vaporeon,,,,,,,,,
Jolteon,177,teammate,7,Primarina,,,,,,,,,
Jolteon,177,teammate,8,Charizard,,,,,,,,,
Jolteon,177,teammate,9,Lucario,,,,,,,,,
Jolteon,177,teammate,10,Gyarados,,,,,,,,,
Jolteon,177,stat_alignment,1,Timid,66.3%,Speed,Attack,,,,,,
Jolteon,177,stat_alignment,2,Modest,26.9%,Sp. Atk,Attack,,,,,,
Jolteon,177,stat_alignment,3,Bold,3.0%,Defense,Attack,,,,,,
Jolteon,177,stat_alignment,4,Hasty,1.9%,Speed,Defense,,,,,,
Jolteon,177,stat_alignment,5,Mild,1.0%,Sp. Atk,Defense,,,,,,
Jolteon,177,stat_alignment,6,Calm,0.8%,Sp. Def,Attack,,,,,,
Jolteon,177,stat_alignment,7,Naive,0.1%,Speed,Sp. Def,,,,,,
Jolteon,177,stat_alignment,8,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Jolteon,177,stat_alignment,9,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,
Jolteon,177,stat_alignment,10,Relaxed,0.0%,Defense,Speed,,,,,,
Jolteon,177,stat_points,1,,40.9%,,,2,0,0,32,0,32
Jolteon,177,stat_points,2,,12.0%,,,0,0,0,32,2,32
Jolteon,177,stat_points,3,,11.3%,,,0,0,2,32,0,32
Jolteon,177,stat_points,4,,5.0%,,,1,0,1,32,0,32
Jolteon,177,stat_points,5,,4.4%,,,1,0,0,32,1,32
Jolteon,177,stat_points,6,,3.1%,,,0,0,0,32,0,32
Jolteon,177,stat_points,7,,2.7%,,,3,0,5,32,0,26
Jolteon,177,stat_points,8,,1.3%,,,0,0,32,2,0,32
Jolteon,177,stat_points,9,,1.3%,,,8,0,0,32,0,26
Jolteon,177,stat_points,10,,0.9%,,,6,0,2,32,0,26
Jolteon,177,ability,1,Volt Absorb,86.0%,,,,,,,,
Jolteon,177,ability,2,Quick Feet,14.0%,,,,,,,,
