pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rampardos,238,move,1,Head Smash,86.0%,,,,,,,,
Rampardos,238,move,2,Earthquake,65.2%,,,,,,,,
Rampardos,238,move,3,Fire Punch,40.3%,,,,,,,,
Rampardos,238,move,4,Supercell Slam,36.8%,,,,,,,,
Rampardos,238,move,5,Rock Slide,24.0%,,,,,,,,
Rampardos,238,move,6,Superpower,23.8%,,,,,,,,
Rampardos,238,move,7,Outrage,23.0%,,,,,,,,
Rampardos,238,move,8,Thunder Punch,19.9%,,,,,,,,
Rampardos,238,move,9,Avalanche,11.2%,,,,,,,,
Rampardos,238,move,10,Iron Head,10.3%,,,,,,,,
Rampardos,238,held_item,1,Choice Scarf,36.3%,,,,,,,,
Rampardos,238,held_item,2,Life Orb,35.0%,,,,,,,,
Rampardos,238,held_item,3,Focus Sash,17.9%,,,,,,,,
Rampardos,238,held_item,4,Quick Claw,1.9%,,,,,,,,
Rampardos,238,held_item,5,Wide Lens,1.5%,,,,,,,,
Rampardos,238,held_item,6,Hard Stone,1.3%,,,,,,,,
Rampardos,238,held_item,7,Muscle Band,1.1%,,,,,,,,
Rampardos,238,held_item,8,Expert Belt,1.1%,,,,,,,,
Rampardos,238,held_item,9,Sitrus Berry,0.8%,,,,,,,,
Rampardos,238,held_item,10,White Herb,0.8%,,,,,,,,
Rampardos,238,teammate,1,Garchomp,,,,,,,,,
Rampardos,238,teammate,2,Golisopod,,,,,,,,,
Rampardos,238,teammate,3,Salamence,,,,,,,,,
Rampardos,238,teammate,4,Corviknight,,,,,,,,,
Rampardos,238,teammate,5,Scolipede,,,,,,,,,
Rampardos,238,teammate,6,Hatterene,,,,,,,,,
Rampardos,238,teammate,7,Charizard,,,,,,,,,
Rampardos,238,teammate,8,Hydreigon,,,,,,,,,
Rampardos,238,teammate,9,Mimikyu,,,,,,,,,
Rampardos,238,teammate,10,Basculegion,,,,,,,,,
Rampardos,238,stat_alignment,1,Jolly,33.4%,Speed,Sp. Atk,,,,,,
Rampardos,238,stat_alignment,2,Brave,32.3%,Attack,Speed,,,,,,
Rampardos,238,stat_alignment,3,Adamant,27.9%,Attack,Sp. Atk,,,,,,
Rampardos,238,stat_alignment,4,Naughty,1.3%,Attack,Sp. Def,,,,,,
Rampardos,238,stat_alignment,5,Naive,1.0%,Speed,Sp. Def,,,,,,
Rampardos,238,stat_alignment,6,Lonely,0.8%,Attack,Defense,,,,,,
Rampardos,238,stat_alignment,7,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Rampardos,238,stat_alignment,8,Relaxed,0.7%,Defense,Speed,,,,,,
Rampardos,238,stat_alignment,9,Lax,0.7%,Defense,Sp. Def,,,,,,
Rampardos,238,stat_alignment,10,Serious,0.4%,,,,,,,,
Rampardos,238,stat_points,1,,39.6%,,,2,32,0,0,0,32
Rampardos,238,stat_points,2,,14.4%,,,32,32,2,0,0,0
Rampardos,238,stat_points,3,,7.1%,,,2,32,32,0,0,0
Rampardos,238,stat_points,4,,6.5%,,,0,32,0,0,2,32
Rampardos,238,stat_points,5,,5.4%,,,32,32,0,0,2,0
Rampardos,238,stat_points,6,,5.0%,,,0,32,2,0,0,32
Rampardos,238,stat_points,7,,4.2%,,,1,32,1,0,0,32
Rampardos,238,stat_points,8,,3.2%,,,32,32,1,0,1,0
Rampardos,238,stat_points,9,,1.8%,,,9,32,8,0,17,0
Rampardos,238,stat_points,10,,1.6%,,,32,32,0,0,0,2
Rampardos,238,ability,1,Mold Breaker,54.5%,,,,,,,,
Rampardos,238,ability,2,Sheer Force,45.5%,,,,,,,,
