pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Stunfisk,217,move,1,Stealth Rock,76.1%,,,,,,,,
Stunfisk,217,move,2,Yawn,60.9%,,,,,,,,
Stunfisk,217,move,3,Earth Power,57.9%,,,,,,,,
Stunfisk,217,move,4,Thunderbolt,56.9%,,,,,,,,
Stunfisk,217,move,5,Fissure,34.3%,,,,,,,,
Stunfisk,217,move,6,Discharge,23.1%,,,,,,,,
Stunfisk,217,move,7,Foul Play,13.4%,,,,,,,,
Stunfisk,217,move,8,Sucker Punch,11.8%,,,,,,,,
Stunfisk,217,move,9,Scald,9.2%,,,,,,,,
Stunfisk,217,move,10,Sludge Bomb,7.6%,,,,,,,,
Stunfisk,217,held_item,1,Sitrus Berry,34.7%,,,,,,,,
Stunfisk,217,held_item,2,Leftovers,17.2%,,,,,,,,
Stunfisk,217,held_item,3,Rocky Helmet,11.0%,,,,,,,,
Stunfisk,217,held_item,4,Air Balloon,8.6%,,,,,,,,
Stunfisk,217,held_item,5,Red Card,4.4%,,,,,,,,
Stunfisk,217,held_item,6,Focus Band,3.9%,,,,,,,,
Stunfisk,217,held_item,7,Bright Powder,3.5%,,,,,,,,
Stunfisk,217,held_item,8,Quick Claw,3.4%,,,,,,,,
Stunfisk,217,held_item,9,Expert Belt,3.3%,,,,,,,,
Stunfisk,217,held_item,10,Light Clay,2.6%,,,,,,,,
Stunfisk,217,teammate,1,Golisopod,,,,,,,,,
Stunfisk,217,teammate,2,Salamence,,,,,,,,,
Stunfisk,217,teammate,3,Basculegion,,,,,,,,,
Stunfisk,217,teammate,4,Primarina,,,,,,,,,
Stunfisk,217,teammate,5,Rillaboom,,,,,,,,,
Stunfisk,217,teammate,6,Garchomp,,,,,,,,,
Stunfisk,217,teammate,7,Corviknight,,,,,,,,,
Stunfisk,217,teammate,8,Gyarados,,,,,,,,,
Stunfisk,217,teammate,9,Meowscarada,,,,,,,,,
Stunfisk,217,teammate,10,Lucario,,,,,,,,,
Stunfisk,217,stat_alignment,1,Calm,42.2%,Sp. Def,Attack,,,,,,
Stunfisk,217,stat_alignment,2,Bold,19.0%,Defense,Attack,,,,,,
Stunfisk,217,stat_alignment,3,Quiet,11.1%,Sp. Atk,Speed,,,,,,
Stunfisk,217,stat_alignment,4,Modest,11.0%,Sp. Atk,Attack,,,,,,
Stunfisk,217,stat_alignment,5,Impish,5.1%,Defense,Sp. Atk,,,,,,
Stunfisk,217,stat_alignment,6,Sassy,4.8%,Sp. Def,Speed,,,,,,
Stunfisk,217,stat_alignment,7,Relaxed,2.6%,Defense,Speed,,,,,,
Stunfisk,217,stat_alignment,8,Timid,1.8%,Speed,Attack,,,,,,
Stunfisk,217,stat_alignment,9,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Stunfisk,217,stat_alignment,10,Hasty,0.6%,Speed,Defense,,,,,,
Stunfisk,217,stat_points,1,,11.7%,,,32,0,32,0,2,0
Stunfisk,217,stat_points,2,,7.8%,,,2,0,0,32,32,0
Stunfisk,217,stat_points,3,,7.4%,,,32,0,2,0,32,0
Stunfisk,217,stat_points,4,,6.3%,,,31,0,3,0,32,0
Stunfisk,217,stat_points,5,,6.3%,,,31,0,22,0,13,0
Stunfisk,217,stat_points,6,,4.3%,,,2,0,32,0,32,0
Stunfisk,217,stat_points,7,,2.6%,,,32,0,0,32,2,0
Stunfisk,217,stat_points,8,,2.5%,,,7,0,6,32,21,0
Stunfisk,217,stat_points,9,,2.4%,,,31,0,4,0,31,0
Stunfisk,217,stat_points,10,,2.1%,,,32,0,2,32,0,0
Stunfisk,217,ability,1,Static,90.6%,,,,,,,,
Stunfisk,217,ability,2,Sand Veil,7.7%,,,,,,,,
Stunfisk,217,ability,3,Limber,1.7%,,,,,,,,
