pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist-Super,211,move,1,Trick Room,81.9%,,,,,,,,
Gourgeist-Super,211,move,2,Poltergeist,72.3%,,,,,,,,
Gourgeist-Super,211,move,3,Will-O-Wisp,35.8%,,,,,,,,
Gourgeist-Super,211,move,4,Trick-or-Treat,31.0%,,,,,,,,
Gourgeist-Super,211,move,5,Power Whip,28.7%,,,,,,,,
Gourgeist-Super,211,move,6,Ally Switch,23.1%,,,,,,,,
Gourgeist-Super,211,move,7,Explosion,21.6%,,,,,,,,
Gourgeist-Super,211,move,8,Protect,19.5%,,,,,,,,
Gourgeist-Super,211,move,9,Shadow Sneak,14.7%,,,,,,,,
Gourgeist-Super,211,move,10,Leech Seed,10.6%,,,,,,,,
Gourgeist-Super,211,held_item,1,Focus Sash,18.1%,,,,,,,,
Gourgeist-Super,211,held_item,2,Normal Gem,13.4%,,,,,,,,
Gourgeist-Super,211,held_item,3,Sitrus Berry,10.4%,,,,,,,,
Gourgeist-Super,211,held_item,4,Mental Herb,10.3%,,,,,,,,
Gourgeist-Super,211,held_item,5,Quick Claw,9.5%,,,,,,,,
Gourgeist-Super,211,held_item,6,Leftovers,8.9%,,,,,,,,
Gourgeist-Super,211,held_item,7,Kasib Berry,8.2%,,,,,,,,
Gourgeist-Super,211,held_item,8,Occa Berry,6.4%,,,,,,,,
Gourgeist-Super,211,held_item,9,Coba Berry,4.6%,,,,,,,,
Gourgeist-Super,211,held_item,10,Choice Scarf,2.3%,,,,,,,,
Gourgeist-Super,211,teammate,1,Incineroar,,,,,,,,,
Gourgeist-Super,211,teammate,2,Floette-Eternal,,,,,,,,,
Gourgeist-Super,211,teammate,3,Vivillon-Fancy,,,,,,,,,
Gourgeist-Super,211,teammate,4,Kingambit,,,,,,,,,
Gourgeist-Super,211,teammate,5,Mawile,,,,,,,,,
Gourgeist-Super,211,teammate,6,Salamence,,,,,,,,,
Gourgeist-Super,211,teammate,7,Tyranitar,,,,,,,,,
Gourgeist-Super,211,teammate,8,Armarouge,,,,,,,,,
Gourgeist-Super,211,teammate,9,Golisopod,,,,,,,,,
Gourgeist-Super,211,teammate,10,Torkoal,,,,,,,,,
Gourgeist-Super,211,stat_alignment,1,Brave,38.9%,Attack,Speed,,,,,,
Gourgeist-Super,211,stat_alignment,2,Relaxed,23.4%,Defense,Speed,,,,,,
Gourgeist-Super,211,stat_alignment,3,Sassy,15.0%,Sp. Def,Speed,,,,,,
Gourgeist-Super,211,stat_alignment,4,Jolly,7.1%,Speed,Sp. Atk,,,,,,
Gourgeist-Super,211,stat_alignment,5,Careful,5.2%,Sp. Def,Sp. Atk,,,,,,
Gourgeist-Super,211,stat_alignment,6,Adamant,4.5%,Attack,Sp. Atk,,,,,,
Gourgeist-Super,211,stat_alignment,7,Impish,2.0%,Defense,Sp. Atk,,,,,,
Gourgeist-Super,211,stat_alignment,8,Naive,1.4%,Speed,Sp. Def,,,,,,
Gourgeist-Super,211,stat_alignment,9,Bold,1.4%,Defense,Attack,,,,,,
Gourgeist-Super,211,stat_alignment,10,Calm,0.9%,Sp. Def,Attack,,,,,,
Gourgeist-Super,211,stat_points,1,,12.7%,,,32,0,2,0,32,0
Gourgeist-Super,211,stat_points,2,,9.0%,,,31,32,3,0,0,0
Gourgeist-Super,211,stat_points,3,,6.6%,,,32,0,18,0,16,0
Gourgeist-Super,211,stat_points,4,,6.3%,,,22,12,32,0,0,0
Gourgeist-Super,211,stat_points,5,,5.5%,,,32,32,0,0,2,0
Gourgeist-Super,211,stat_points,6,,5.1%,,,0,32,6,0,0,28
Gourgeist-Super,211,stat_points,7,,4.5%,,,0,32,2,0,32,0
Gourgeist-Super,211,stat_points,8,,4.5%,,,32,0,8,0,26,0
Gourgeist-Super,211,stat_points,9,,4.1%,,,0,32,8,0,26,0
Gourgeist-Super,211,stat_points,10,,3.9%,,,30,32,3,0,1,0
Gourgeist-Super,211,ability,1,Frisk,81.1%,,,,,,,,
Gourgeist-Super,211,ability,2,Insomnia,14.7%,,,,,,,,
Gourgeist-Super,211,ability,3,Pickup,4.3%,,,,,,,,
