pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydrapple,187,move,1,Fickle Beam,87.1%,,,,,,,,
Hydrapple,187,move,2,Protect,68.2%,,,,,,,,
Hydrapple,187,move,3,Earth Power,49.4%,,,,,,,,
Hydrapple,187,move,4,Giga Drain,48.7%,,,,,,,,
Hydrapple,187,move,5,Pollen Puff,25.7%,,,,,,,,
Hydrapple,187,move,6,Energy Ball,20.6%,,,,,,,,
Hydrapple,187,move,7,Leaf Storm,18.5%,,,,,,,,
Hydrapple,187,move,8,Syrup Bomb,13.4%,,,,,,,,
Hydrapple,187,move,9,Draco Meteor,13.0%,,,,,,,,
Hydrapple,187,move,10,Nasty Plot,8.4%,,,,,,,,
Hydrapple,187,held_item,1,Life Orb,28.0%,,,,,,,,
Hydrapple,187,held_item,2,Sitrus Berry,17.8%,,,,,,,,
Hydrapple,187,held_item,3,Leftovers,13.2%,,,,,,,,
Hydrapple,187,held_item,4,Focus Sash,6.2%,,,,,,,,
Hydrapple,187,held_item,5,Yache Berry,6.2%,,,,,,,,
Hydrapple,187,held_item,6,White Herb,3.6%,,,,,,,,
Hydrapple,187,held_item,7,Psychic Seed,3.0%,,,,,,,,
Hydrapple,187,held_item,8,Eject Button,2.5%,,,,,,,,
Hydrapple,187,held_item,9,Expert Belt,2.2%,,,,,,,,
Hydrapple,187,held_item,10,Quick Claw,2.2%,,,,,,,,
Hydrapple,187,teammate,1,Indeedee-F,,,,,,,,,
Hydrapple,187,teammate,2,Golisopod,,,,,,,,,
Hydrapple,187,teammate,3,Farigiraf,,,,,,,,,
Hydrapple,187,teammate,4,Hatterene,,,,,,,,,
Hydrapple,187,teammate,5,Torkoal,,,,,,,,,
Hydrapple,187,teammate,6,Sneasler,,,,,,,,,
Hydrapple,187,teammate,7,Incineroar,,,,,,,,,
Hydrapple,187,teammate,8,Armarouge,,,,,,,,,
Hydrapple,187,teammate,9,Gardevoir,,,,,,,,,
Hydrapple,187,teammate,10,Rillaboom,,,,,,,,,
Hydrapple,187,stat_alignment,1,Quiet,58.9%,Sp. Atk,Speed,,,,,,
Hydrapple,187,stat_alignment,2,Modest,27.9%,Sp. Atk,Attack,,,,,,
Hydrapple,187,stat_alignment,3,Sassy,5.0%,Sp. Def,Speed,,,,,,
Hydrapple,187,stat_alignment,4,Bold,2.9%,Defense,Attack,,,,,,
Hydrapple,187,stat_alignment,5,Calm,2.8%,Sp. Def,Attack,,,,,,
Hydrapple,187,stat_alignment,6,Relaxed,1.6%,Defense,Speed,,,,,,
Hydrapple,187,stat_alignment,7,Mild,0.4%,Sp. Atk,Defense,,,,,,
Hydrapple,187,stat_alignment,8,Timid,0.2%,Speed,Attack,,,,,,
Hydrapple,187,stat_alignment,9,Bashful,0.2%,,,,,,,,
Hydrapple,187,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Hydrapple,187,stat_points,1,,24.9%,,,32,0,0,32,2,0
Hydrapple,187,stat_points,2,,10.7%,,,32,0,2,32,0,0
Hydrapple,187,stat_points,3,,7.2%,,,32,0,0,32,0,2
Hydrapple,187,stat_points,4,,5.8%,,,0,0,2,32,32,0
Hydrapple,187,stat_points,5,,4.8%,,,2,0,32,32,0,0
Hydrapple,187,stat_points,6,,3.8%,,,2,0,0,32,32,0
Hydrapple,187,stat_points,7,,3.6%,,,0,12,20,24,10,0
Hydrapple,187,stat_points,8,,2.2%,,,0,0,20,30,16,0
Hydrapple,187,stat_points,9,,1.8%,,,32,0,12,22,0,0
Hydrapple,187,stat_points,10,,1.7%,,,31,0,3,0,32,0
Hydrapple,187,ability,1,Regenerator,68.8%,,,,,,,,
Hydrapple,187,ability,2,Supersweet Syrup,28.8%,,,,,,,,
Hydrapple,187,ability,3,Sticky Hold,2.4%,,,,,,,,
