pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Passimian,234,move,1,Close Combat,52.3%,,,,,,,,
Passimian,234,move,2,Protect,49.4%,,,,,,,,
Passimian,234,move,3,Knock Off,47.5%,,,,,,,,
Passimian,234,move,4,Drain Punch,46.1%,,,,,,,,
Passimian,234,move,5,Rock Slide,39.7%,,,,,,,,
Passimian,234,move,6,Gunk Shot,32.3%,,,,,,,,
Passimian,234,move,7,Bulk Up,19.0%,,,,,,,,
Passimian,234,move,8,Pain Split,15.4%,,,,,,,,
Passimian,234,move,9,Iron Head,12.9%,,,,,,,,
Passimian,234,move,10,Feint,10.1%,,,,,,,,
Passimian,234,held_item,1,Life Orb,38.2%,,,,,,,,
Passimian,234,held_item,2,Choice Scarf,9.0%,,,,,,,,
Passimian,234,held_item,3,Expert Belt,7.7%,,,,,,,,
Passimian,234,held_item,4,Sitrus Berry,7.0%,,,,,,,,
Passimian,234,held_item,5,Roseli Berry,7.0%,,,,,,,,
Passimian,234,held_item,6,Psychic Seed,4.9%,,,,,,,,
Passimian,234,held_item,7,Focus Sash,4.7%,,,,,,,,
Passimian,234,held_item,8,Coba Berry,4.0%,,,,,,,,
Passimian,234,held_item,9,Black Belt,2.7%,,,,,,,,
Passimian,234,held_item,10,Quick Claw,2.0%,,,,,,,,
Passimian,234,teammate,1,Rillaboom,,,,,,,,,
Passimian,234,teammate,2,Starmie,,,,,,,,,
Passimian,234,teammate,3,Politoed,,,,,,,,,
Passimian,234,teammate,4,Annihilape,,,,,,,,,
Passimian,234,teammate,5,Floette-Eternal,,,,,,,,,
Passimian,234,teammate,6,Basculegion-F,,,,,,,,,
Passimian,234,teammate,7,Oranguru,,,,,,,,,
Passimian,234,teammate,8,Infernape,,,,,,,,,
Passimian,234,teammate,9,Simipour,,,,,,,,,
Passimian,234,teammate,10,Indeedee,,,,,,,,,
Passimian,234,stat_alignment,1,Adamant,45.0%,Attack,Sp. Atk,,,,,,
Passimian,234,stat_alignment,2,Jolly,22.4%,Speed,Sp. Atk,,,,,,
Passimian,234,stat_alignment,3,Hasty,15.8%,Speed,Defense,,,,,,
Passimian,234,stat_alignment,4,Careful,5.8%,Sp. Def,Sp. Atk,,,,,,
Passimian,234,stat_alignment,5,Brave,5.8%,Attack,Speed,,,,,,
Passimian,234,stat_alignment,6,Impish,3.4%,Defense,Sp. Atk,,,,,,
Passimian,234,stat_alignment,7,Lonely,1.5%,Attack,Defense,,,,,,
Passimian,234,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Passimian,234,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Passimian,234,stat_points,1,,31.0%,,,2,32,0,0,0,32
Passimian,234,stat_points,2,,10.7%,,,5,24,0,0,5,32
Passimian,234,stat_points,3,,7.2%,,,32,32,0,0,2,0
Passimian,234,stat_points,4,,6.5%,,,32,32,2,0,0,0
Passimian,234,stat_points,5,,4.8%,,,0,32,2,0,0,32
Passimian,234,stat_points,6,,4.7%,,,25,0,11,0,30,0
Passimian,234,stat_points,7,,3.6%,,,5,29,0,0,0,32
Passimian,234,stat_points,8,,2.8%,,,22,32,0,0,0,12
Passimian,234,stat_points,9,,2.3%,,,32,10,0,0,24,0
Passimian,234,stat_points,10,,1.9%,,,26,20,0,0,20,0
Passimian,234,ability,1,Defiant,76.8%,,,,,,,,
Passimian,234,ability,2,Receiver,23.2%,,,,,,,,
