pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pidgeot,203,move,1,Hurricane,85.9%,,,,,,,,
Pidgeot,203,move,2,Heat Wave,83.4%,,,,,,,,
Pidgeot,203,move,3,Protect,75.2%,,,,,,,,
Pidgeot,203,move,4,Tailwind,45.5%,,,,,,,,
Pidgeot,203,move,5,Hyper Beam,33.8%,,,,,,,,
Pidgeot,203,move,6,Quick Attack,14.2%,,,,,,,,
Pidgeot,203,move,7,Giga Impact,12.0%,,,,,,,,
Pidgeot,203,move,8,Dual Wingbeat,12.0%,,,,,,,,
Pidgeot,203,move,9,Sunny Day,4.8%,,,,,,,,
Pidgeot,203,move,10,Feather Dance,4.5%,,,,,,,,
Pidgeot,203,held_item,1,Pidgeotite,86.1%,,,,,,,,
Pidgeot,203,held_item,2,Life Orb,11.9%,,,,,,,,
Pidgeot,203,held_item,3,Silk Scarf,0.7%,,,,,,,,
Pidgeot,203,held_item,4,Wide Lens,0.4%,,,,,,,,
Pidgeot,203,held_item,5,Choice Scarf,0.3%,,,,,,,,
Pidgeot,203,held_item,6,Sharp Beak,0.2%,,,,,,,,
Pidgeot,203,held_item,7,Lum Berry,0.1%,,,,,,,,
Pidgeot,203,held_item,8,Wise Glasses,0.1%,,,,,,,,
Pidgeot,203,held_item,9,Focus Sash,0.1%,,,,,,,,
Pidgeot,203,held_item,10,Bright Powder,0.0%,,,,,,,,
Pidgeot,203,teammate,1,Whimsicott,,,,,,,,,
Pidgeot,203,teammate,2,Incineroar,,,,,,,,,
Pidgeot,203,teammate,3,Sneasler,,,,,,,,,
Pidgeot,203,teammate,4,Rillaboom,,,,,,,,,
Pidgeot,203,teammate,5,Raichu,,,,,,,,,
Pidgeot,203,teammate,6,Garchomp,,,,,,,,,
Pidgeot,203,teammate,7,Farigiraf,,,,,,,,,
Pidgeot,203,teammate,8,Beedrill,,,,,,,,,
Pidgeot,203,teammate,9,Arcanine-Hisui,,,,,,,,,
Pidgeot,203,teammate,10,Basculegion,,,,,,,,,
Pidgeot,203,stat_alignment,1,Timid,52.4%,Speed,Attack,,,,,,
Pidgeot,203,stat_alignment,2,Modest,31.5%,Sp. Atk,Attack,,,,,,
Pidgeot,203,stat_alignment,3,Adamant,12.0%,Attack,Sp. Atk,,,,,,
Pidgeot,203,stat_alignment,4,Mild,1.2%,Sp. Atk,Defense,,,,,,
Pidgeot,203,stat_alignment,5,Rash,1.2%,Sp. Atk,Sp. Def,,,,,,
Pidgeot,203,stat_alignment,6,Hasty,0.9%,Speed,Defense,,,,,,
Pidgeot,203,stat_alignment,7,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Pidgeot,203,stat_alignment,8,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Pidgeot,203,stat_alignment,9,Bold,0.1%,Defense,Attack,,,,,,
Pidgeot,203,stat_points,1,,49.3%,,,2,0,0,32,0,32
Pidgeot,203,stat_points,2,,12.0%,,,1,32,1,0,0,32
Pidgeot,203,stat_points,3,,5.3%,,,0,0,0,32,2,32
Pidgeot,203,stat_points,4,,4.4%,,,0,0,0,16,18,32
Pidgeot,203,stat_points,5,,4.4%,,,7,0,0,27,0,32
Pidgeot,203,stat_points,6,,4.2%,,,1,0,1,32,0,32
Pidgeot,203,stat_points,7,,2.5%,,,0,0,2,32,0,32
Pidgeot,203,stat_points,8,,1.6%,,,0,0,0,32,0,32
Pidgeot,203,stat_points,9,,1.6%,,,32,0,0,0,0,32
Pidgeot,203,stat_points,10,,1.6%,,,1,0,11,17,0,32
Pidgeot,203,ability,1,Big Pecks,47.1%,,,,,,,,
Pidgeot,203,ability,2,Keen Eye,43.0%,,,,,,,,
Pidgeot,203,ability,3,Tangled Feet,9.8%,,,,,,,,
