pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Serperior,167,move,1,Leaf Storm,98.2%,,,,,,,,
Serperior,167,move,2,Protect,73.4%,,,,,,,,
Serperior,167,move,3,Dragon Pulse,73.2%,,,,,,,,
Serperior,167,move,4,Giga Drain,34.8%,,,,,,,,
Serperior,167,move,5,Synthesis,23.9%,,,,,,,,
Serperior,167,move,6,Glare,21.2%,,,,,,,,
Serperior,167,move,7,Taunt,14.7%,,,,,,,,
Serperior,167,move,8,Leech Seed,8.1%,,,,,,,,
Serperior,167,move,9,Hyper Beam,7.5%,,,,,,,,
Serperior,167,move,10,Gastro Acid,7.1%,,,,,,,,
Serperior,167,held_item,1,Leftovers,26.5%,,,,,,,,
Serperior,167,held_item,2,Miracle Seed,15.6%,,,,,,,,
Serperior,167,held_item,3,Wide Lens,13.7%,,,,,,,,
Serperior,167,held_item,4,Choice Scarf,8.3%,,,,,,,,
Serperior,167,held_item,5,Focus Sash,6.8%,,,,,,,,
Serperior,167,held_item,6,Metronome,6.4%,,,,,,,,
Serperior,167,held_item,7,Sitrus Berry,4.6%,,,,,,,,
Serperior,167,held_item,8,Quick Claw,2.4%,,,,,,,,
Serperior,167,held_item,9,Bright Powder,2.4%,,,,,,,,
Serperior,167,held_item,10,Lum Berry,2.4%,,,,,,,,
Serperior,167,teammate,1,Incineroar,,,,,,,,,
Serperior,167,teammate,2,Charizard,,,,,,,,,
Serperior,167,teammate,3,Grapploct,,,,,,,,,
Serperior,167,teammate,4,Whimsicott,,,,,,,,,
Serperior,167,teammate,5,Glimmora,,,,,,,,,
Serperior,167,teammate,6,Golisopod,,,,,,,,,
Serperior,167,teammate,7,Milotic,,,,,,,,,
Serperior,167,teammate,8,Garchomp,,,,,,,,,
Serperior,167,teammate,9,Sneasler,,,,,,,,,
Serperior,167,teammate,10,Dragapult,,,,,,,,,
Serperior,167,stat_alignment,1,Timid,67.9%,Speed,Attack,,,,,,
Serperior,167,stat_alignment,2,Modest,19.8%,Sp. Atk,Attack,,,,,,
Serperior,167,stat_alignment,3,Bold,4.6%,Defense,Attack,,,,,,
Serperior,167,stat_alignment,4,Sassy,2.4%,Sp. Def,Speed,,,,,,
Serperior,167,stat_alignment,5,Mild,1.4%,Sp. Atk,Defense,,,,,,
Serperior,167,stat_alignment,6,Quiet,1.4%,Sp. Atk,Speed,,,,,,
Serperior,167,stat_alignment,7,Calm,1.3%,Sp. Def,Attack,,,,,,
Serperior,167,stat_alignment,8,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Serperior,167,stat_alignment,9,Relaxed,0.3%,Defense,Speed,,,,,,
Serperior,167,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,
Serperior,167,stat_points,1,,26.3%,,,2,0,0,32,0,32
Serperior,167,stat_points,2,,11.4%,,,32,0,7,0,7,20
Serperior,167,stat_points,3,,6.6%,,,0,0,2,32,0,32
Serperior,167,stat_points,4,,4.7%,,,32,0,0,32,0,2
Serperior,167,stat_points,5,,4.3%,,,0,0,0,32,2,32
Serperior,167,stat_points,6,,2.1%,,,31,0,0,3,32,0
Serperior,167,stat_points,7,,1.8%,,,32,0,0,0,2,32
Serperior,167,stat_points,8,,1.7%,,,0,0,0,32,0,32
Serperior,167,stat_points,9,,1.7%,,,32,0,1,0,1,32
Serperior,167,stat_points,10,,1.6%,,,2,0,32,32,0,0
Serperior,167,ability,1,Contrary,98.2%,,,,,,,,
Serperior,167,ability,2,Overgrow,1.8%,,,,,,,,
