pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Wyrdeer,153,move,1,Skill Swap,79.7%,,,,,,,,
Wyrdeer,153,move,2,Trick Room,76.9%,,,,,,,,
Wyrdeer,153,move,3,Helping Hand,33.5%,,,,,,,,
Wyrdeer,153,move,4,Protect,30.3%,,,,,,,,
Wyrdeer,153,move,5,Psyshield Bash,29.9%,,,,,,,,
Wyrdeer,153,move,6,Expanding Force,23.0%,,,,,,,,
Wyrdeer,153,move,7,Psychic,21.5%,,,,,,,,
Wyrdeer,153,move,8,Psychic Noise,13.4%,,,,,,,,
Wyrdeer,153,move,9,Earth Power,13.3%,,,,,,,,
Wyrdeer,153,move,10,Light Screen,8.1%,,,,,,,,
Wyrdeer,153,held_item,1,Sitrus Berry,37.9%,,,,,,,,
Wyrdeer,153,held_item,2,Colbur Berry,20.0%,,,,,,,,
Wyrdeer,153,held_item,3,Mental Herb,10.0%,,,,,,,,
Wyrdeer,153,held_item,4,Leftovers,5.3%,,,,,,,,
Wyrdeer,153,held_item,5,Quick Claw,4.2%,,,,,,,,
Wyrdeer,153,held_item,6,Focus Sash,4.0%,,,,,,,,
Wyrdeer,153,held_item,7,Psychic Seed,2.9%,,,,,,,,
Wyrdeer,153,held_item,8,Rocky Helmet,2.4%,,,,,,,,
Wyrdeer,153,held_item,9,Choice Scarf,2.1%,,,,,,,,
Wyrdeer,153,held_item,10,Light Clay,1.8%,,,,,,,,
Wyrdeer,153,teammate,1,Milotic,,,,,,,,,
Wyrdeer,153,teammate,2,Golisopod,,,,,,,,,
Wyrdeer,153,teammate,3,Kingambit,,,,,,,,,
Wyrdeer,153,teammate,4,Indeedee-F,,,,,,,,,
Wyrdeer,153,teammate,5,Rillaboom,,,,,,,,,
Wyrdeer,153,teammate,6,Empoleon,,,,,,,,,
Wyrdeer,153,teammate,7,Salamence,,,,,,,,,
Wyrdeer,153,teammate,8,Staraptor,,,,,,,,,
Wyrdeer,153,teammate,9,Raichu,,,,,,,,,
Wyrdeer,153,teammate,10,Sneasler,,,,,,,,,
Wyrdeer,153,stat_alignment,1,Relaxed,17.2%,Defense,Speed,,,,,,
Wyrdeer,153,stat_alignment,2,Sassy,17.1%,Sp. Def,Speed,,,,,,
Wyrdeer,153,stat_alignment,3,Calm,14.7%,Sp. Def,Attack,,,,,,
Wyrdeer,153,stat_alignment,4,Bold,9.3%,Defense,Attack,,,,,,
Wyrdeer,153,stat_alignment,5,Modest,7.1%,Sp. Atk,Attack,,,,,,
Wyrdeer,153,stat_alignment,6,Timid,6.9%,Speed,Attack,,,,,,
Wyrdeer,153,stat_alignment,7,Adamant,6.7%,Attack,Sp. Atk,,,,,,
Wyrdeer,153,stat_alignment,8,Quiet,6.4%,Sp. Atk,Speed,,,,,,
Wyrdeer,153,stat_alignment,9,Brave,5.1%,Attack,Speed,,,,,,
Wyrdeer,153,stat_alignment,10,Careful,4.9%,Sp. Def,Sp. Atk,,,,,,
Wyrdeer,153,stat_points,1,,9.9%,,,32,0,2,0,32,0
Wyrdeer,153,stat_points,2,,5.9%,,,24,0,10,0,15,17
Wyrdeer,153,stat_points,3,,5.1%,,,32,32,2,0,0,0
Wyrdeer,153,stat_points,4,,3.7%,,,32,0,32,0,2,0
Wyrdeer,153,stat_points,5,,3.6%,,,32,0,28,0,6,0
Wyrdeer,153,stat_points,6,,3.3%,,,30,0,7,0,4,25
Wyrdeer,153,stat_points,7,,3.2%,,,2,0,32,0,32,0
Wyrdeer,153,stat_points,8,,2.8%,,,32,0,18,0,16,0
Wyrdeer,153,stat_points,9,,2.0%,,,32,0,9,0,25,0
Wyrdeer,153,stat_points,10,,2.0%,,,32,0,2,32,0,0
Wyrdeer,153,ability,1,Intimidate,95.1%,,,,,,,,
Wyrdeer,153,ability,2,Sap Sipper,3.1%,,,,,,,,
Wyrdeer,153,ability,3,Frisk,1.8%,,,,,,,,
