pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Feraligatr,157,move,1,Liquidation,77.7%,,,,,,,,
Feraligatr,157,move,2,Dragon Dance,54.8%,,,,,,,,
Feraligatr,157,move,3,Aqua Jet,49.3%,,,,,,,,
Feraligatr,157,move,4,Ice Punch,46.0%,,,,,,,,
Feraligatr,157,move,5,Earthquake,36.7%,,,,,,,,
Feraligatr,157,move,6,Double-Edge,25.6%,,,,,,,,
Feraligatr,157,move,7,Body Slam,16.9%,,,,,,,,
Feraligatr,157,move,8,Swords Dance,12.4%,,,,,,,,
Feraligatr,157,move,9,Crunch,10.2%,,,,,,,,
Feraligatr,157,move,10,Waterfall,7.3%,,,,,,,,
Feraligatr,157,held_item,1,Feraligite,55.6%,,,,,,,,
Feraligatr,157,held_item,2,Life Orb,33.1%,,,,,,,,
Feraligatr,157,held_item,3,Lum Berry,3.3%,,,,,,,,
Feraligatr,157,held_item,4,Sitrus Berry,1.1%,,,,,,,,
Feraligatr,157,held_item,5,Choice Scarf,1.0%,,,,,,,,
Feraligatr,157,held_item,6,Leftovers,0.9%,,,,,,,,
Feraligatr,157,held_item,7,Mystic Water,0.9%,,,,,,,,
Feraligatr,157,held_item,8,Expert Belt,0.6%,,,,,,,,
Feraligatr,157,held_item,9,Focus Sash,0.4%,,,,,,,,
Feraligatr,157,held_item,10,Quick Claw,0.4%,,,,,,,,
Feraligatr,157,teammate,1,Garchomp,,,,,,,,,
Feraligatr,157,teammate,2,Rillaboom,,,,,,,,,
Feraligatr,157,teammate,3,Golisopod,,,,,,,,,
Feraligatr,157,teammate,4,Charizard,,,,,,,,,
Feraligatr,157,teammate,5,Archaludon,,,,,,,,,
Feraligatr,157,teammate,6,Baxcalibur,,,,,,,,,
Feraligatr,157,teammate,7,Salamence,,,,,,,,,
Feraligatr,157,teammate,8,Lucario,,,,,,,,,
Feraligatr,157,teammate,9,Skeledirge,,,,,,,,,
Feraligatr,157,teammate,10,Ninetales-Alola,,,,,,,,,
Feraligatr,157,stat_alignment,1,Adamant,53.6%,Attack,Sp. Atk,,,,,,
Feraligatr,157,stat_alignment,2,Jolly,31.1%,Speed,Sp. Atk,,,,,,
Feraligatr,157,stat_alignment,3,Brave,5.4%,Attack,Speed,,,,,,
Feraligatr,157,stat_alignment,4,Modest,2.3%,Sp. Atk,Attack,,,,,,
Feraligatr,157,stat_alignment,5,Naughty,1.9%,Attack,Sp. Def,,,,,,
Feraligatr,157,stat_alignment,6,Impish,1.7%,Defense,Sp. Atk,,,,,,
Feraligatr,157,stat_alignment,7,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Feraligatr,157,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Feraligatr,157,stat_alignment,9,Gentle,0.4%,Sp. Def,Defense,,,,,,
Feraligatr,157,stat_alignment,10,Serious,0.4%,,,,,,,,
Feraligatr,157,stat_points,1,,23.5%,,,2,32,0,0,0,32
Feraligatr,157,stat_points,2,,7.9%,,,32,32,2,0,0,0
Feraligatr,157,stat_points,3,,5.5%,,,0,32,0,0,2,32
Feraligatr,157,stat_points,4,,4.7%,,,1,32,1,0,0,32
Feraligatr,157,stat_points,5,,4.4%,,,32,32,0,0,0,2
Feraligatr,157,stat_points,6,,3.9%,,,32,32,0,0,2,0
Feraligatr,157,stat_points,7,,3.8%,,,0,32,2,0,0,32
Feraligatr,157,stat_points,8,,3.2%,,,1,32,0,0,1,32
Feraligatr,157,stat_points,9,,1.2%,,,31,32,0,0,0,3
Feraligatr,157,stat_points,10,,1.1%,,,31,32,0,0,3,0
Feraligatr,157,ability,1,Sheer Force,82.7%,,,,,,,,
Feraligatr,157,ability,2,Torrent,17.3%,,,,,,,,
