pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tauros,248,move,1,Iron Head,51.1%,,,,,,,,
Tauros,248,move,2,Close Combat,46.5%,,,,,,,,
Tauros,248,move,3,Rock Slide,37.4%,,,,,,,,
Tauros,248,move,4,Throat Chop,35.8%,,,,,,,,
Tauros,248,move,5,Body Slam,31.2%,,,,,,,,
Tauros,248,move,6,Raging Bull,27.0%,,,,,,,,
Tauros,248,move,7,Earthquake,26.4%,,,,,,,,
Tauros,248,move,8,Ice Beam,23.3%,,,,,,,,
Tauros,248,move,9,Thunderbolt,18.6%,,,,,,,,
Tauros,248,move,10,Fire Blast,18.3%,,,,,,,,
Tauros,248,held_item,1,Life Orb,66.6%,,,,,,,,
Tauros,248,held_item,2,Choice Scarf,13.2%,,,,,,,,
Tauros,248,held_item,3,Focus Sash,5.7%,,,,,,,,
Tauros,248,held_item,4,Rocky Helmet,3.3%,,,,,,,,
Tauros,248,held_item,5,Expert Belt,2.0%,,,,,,,,
Tauros,248,held_item,6,Chople Berry,1.7%,,,,,,,,
Tauros,248,held_item,7,Lum Berry,1.5%,,,,,,,,
Tauros,248,held_item,8,King's Rock,1.4%,,,,,,,,
Tauros,248,held_item,9,Metronome,1.0%,,,,,,,,
Tauros,248,held_item,10,Sitrus Berry,0.8%,,,,,,,,
Tauros,248,teammate,1,Archaludon,,,,,,,,,
Tauros,248,teammate,2,Dragonite,,,,,,,,,
Tauros,248,teammate,3,Basculegion,,,,,,,,,
Tauros,248,teammate,4,Garchomp,,,,,,,,,
Tauros,248,teammate,5,Salamence,,,,,,,,,
Tauros,248,teammate,6,Serperior,,,,,,,,,
Tauros,248,teammate,7,Lucario,,,,,,,,,
Tauros,248,teammate,8,Golisopod,,,,,,,,,
Tauros,248,teammate,9,Kangaskhan,,,,,,,,,
Tauros,248,teammate,10,Staraptor,,,,,,,,,
Tauros,248,stat_alignment,1,Jolly,41.0%,Speed,Sp. Atk,,,,,,
Tauros,248,stat_alignment,2,Adamant,26.5%,Attack,Sp. Atk,,,,,,
Tauros,248,stat_alignment,3,Naive,14.6%,Speed,Sp. Def,,,,,,
Tauros,248,stat_alignment,4,Timid,6.7%,Speed,Attack,,,,,,
Tauros,248,stat_alignment,5,Modest,3.2%,Sp. Atk,Attack,,,,,,
Tauros,248,stat_alignment,6,Careful,2.8%,Sp. Def,Sp. Atk,,,,,,
Tauros,248,stat_alignment,7,Impish,1.8%,Defense,Sp. Atk,,,,,,
Tauros,248,stat_alignment,8,Bold,1.1%,Defense,Attack,,,,,,
Tauros,248,stat_alignment,9,Hasty,0.8%,Speed,Defense,,,,,,
Tauros,248,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Tauros,248,stat_points,1,,27.8%,,,2,32,0,0,0,32
Tauros,248,stat_points,2,,16.5%,,,1,32,0,0,1,32
Tauros,248,stat_points,3,,7.1%,,,0,2,0,32,0,32
Tauros,248,stat_points,4,,7.1%,,,2,0,0,32,0,32
Tauros,248,stat_points,5,,6.6%,,,0,32,2,0,0,32
Tauros,248,stat_points,6,,5.2%,,,1,32,1,0,0,32
Tauros,248,stat_points,7,,4.3%,,,0,32,0,0,0,32
Tauros,248,stat_points,8,,3.7%,,,0,32,0,0,2,32
Tauros,248,stat_points,9,,2.6%,,,0,29,0,0,5,32
Tauros,248,stat_points,10,,1.3%,,,0,1,0,32,0,32
Tauros,248,ability,1,Sheer Force,78.8%,,,,,,,,
Tauros,248,ability,2,Intimidate,16.3%,,,,,,,,
Tauros,248,ability,3,Anger Point,4.9%,,,,,,,,
