pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Wyrdeer,243,move,1,Psyshield Bash,79.3%,,,,,,,,
Wyrdeer,243,move,2,Earthquake,40.2%,,,,,,,,
Wyrdeer,243,move,3,Thunderbolt,34.2%,,,,,,,,
Wyrdeer,243,move,4,Trick Room,25.4%,,,,,,,,
Wyrdeer,243,move,5,Throat Chop,23.0%,,,,,,,,
Wyrdeer,243,move,6,Earth Power,20.7%,,,,,,,,
Wyrdeer,243,move,7,Lunge,18.8%,,,,,,,,
Wyrdeer,243,move,8,Body Slam,12.8%,,,,,,,,
Wyrdeer,243,move,9,Thunder Wave,12.5%,,,,,,,,
Wyrdeer,243,move,10,Shadow Ball,10.8%,,,,,,,,
Wyrdeer,243,held_item,1,Sitrus Berry,34.8%,,,,,,,,
Wyrdeer,243,held_item,2,Leftovers,16.0%,,,,,,,,
Wyrdeer,243,held_item,3,Expert Belt,6.0%,,,,,,,,
Wyrdeer,243,held_item,4,Chesto Berry,4.5%,,,,,,,,
Wyrdeer,243,held_item,5,Zoom Lens,4.0%,,,,,,,,
Wyrdeer,243,held_item,6,Lum Berry,3.7%,,,,,,,,
Wyrdeer,243,held_item,7,Rocky Helmet,3.3%,,,,,,,,
Wyrdeer,243,held_item,8,Choice Scarf,3.2%,,,,,,,,
Wyrdeer,243,held_item,9,Grassy Seed,3.1%,,,,,,,,
Wyrdeer,243,held_item,10,Muscle Band,2.7%,,,,,,,,
Wyrdeer,243,teammate,1,Delphox,,,,,,,,,
Wyrdeer,243,teammate,2,Garchomp,,,,,,,,,
Wyrdeer,243,teammate,3,Dragonite,,,,,,,,,
Wyrdeer,243,teammate,4,Cofagrigus,,,,,,,,,
Wyrdeer,243,teammate,5,Rotom-Frost,,,,,,,,,
Wyrdeer,243,teammate,6,Falinks,,,,,,,,,
Wyrdeer,243,teammate,7,Armarouge,,,,,,,,,
Wyrdeer,243,teammate,8,Goodra-Hisui,,,,,,,,,
Wyrdeer,243,teammate,9,Golisopod,,,,,,,,,
Wyrdeer,243,teammate,10,Baxcalibur,,,,,,,,,
Wyrdeer,243,stat_alignment,1,Adamant,40.7%,Attack,Sp. Atk,,,,,,
Wyrdeer,243,stat_alignment,2,Impish,12.3%,Defense,Sp. Atk,,,,,,
Wyrdeer,243,stat_alignment,3,Quiet,9.9%,Sp. Atk,Speed,,,,,,
Wyrdeer,243,stat_alignment,4,Careful,8.2%,Sp. Def,Sp. Atk,,,,,,
Wyrdeer,243,stat_alignment,5,Modest,6.5%,Sp. Atk,Attack,,,,,,
Wyrdeer,243,stat_alignment,6,Brave,4.8%,Attack,Speed,,,,,,
Wyrdeer,243,stat_alignment,7,Lonely,3.9%,Attack,Defense,,,,,,
Wyrdeer,243,stat_alignment,8,Calm,3.9%,Sp. Def,Attack,,,,,,
Wyrdeer,243,stat_alignment,9,Relaxed,2.8%,Defense,Speed,,,,,,
Wyrdeer,243,stat_alignment,10,Bold,2.3%,Defense,Attack,,,,,,
Wyrdeer,243,stat_points,1,,25.7%,,,32,32,2,0,0,0
Wyrdeer,243,stat_points,2,,5.0%,,,2,32,32,0,0,0
Wyrdeer,243,stat_points,3,,5.0%,,,32,0,32,0,2,0
Wyrdeer,243,stat_points,4,,4.8%,,,32,32,0,0,0,2
Wyrdeer,243,stat_points,5,,4.7%,,,0,32,32,0,2,0
Wyrdeer,243,stat_points,6,,4.2%,,,1,0,1,32,32,0
Wyrdeer,243,stat_points,7,,4.2%,,,29,0,13,0,24,0
Wyrdeer,243,stat_points,8,,4.1%,,,32,0,2,0,32,0
Wyrdeer,243,stat_points,9,,3.4%,,,32,5,29,0,0,0
Wyrdeer,243,stat_points,10,,2.2%,,,0,0,2,32,32,0
Wyrdeer,243,ability,1,Intimidate,89.8%,,,,,,,,
Wyrdeer,243,ability,2,Sap Sipper,8.5%,,,,,,,,
Wyrdeer,243,ability,3,Frisk,1.7%,,,,,,,,
