pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Conkeldurr,139,move,1,Drain Punch,71.9%,,,,,,,,
Conkeldurr,139,move,2,Ice Punch,65.0%,,,,,,,,
Conkeldurr,139,move,3,Mach Punch,47.9%,,,,,,,,
Conkeldurr,139,move,4,Thunder Punch,47.1%,,,,,,,,
Conkeldurr,139,move,5,Wide Guard,35.8%,,,,,,,,
Conkeldurr,139,move,6,Fire Punch,20.9%,,,,,,,,
Conkeldurr,139,move,7,Rock Slide,18.7%,,,,,,,,
Conkeldurr,139,move,8,Protect,16.0%,,,,,,,,
Conkeldurr,139,move,9,Knock Off,14.2%,,,,,,,,
Conkeldurr,139,move,10,Detect,12.8%,,,,,,,,
Conkeldurr,139,held_item,1,Life Orb,48.4%,,,,,,,,
Conkeldurr,139,held_item,2,Expert Belt,15.1%,,,,,,,,
Conkeldurr,139,held_item,3,Black Belt,9.4%,,,,,,,,
Conkeldurr,139,held_item,4,Sitrus Berry,4.4%,,,,,,,,
Conkeldurr,139,held_item,5,Leftovers,3.5%,,,,,,,,
Conkeldurr,139,held_item,6,White Herb,2.6%,,,,,,,,
Conkeldurr,139,held_item,7,Muscle Band,2.5%,,,,,,,,
Conkeldurr,139,held_item,8,Psychic Seed,2.4%,,,,,,,,
Conkeldurr,139,held_item,9,Focus Sash,2.4%,,,,,,,,
Conkeldurr,139,held_item,10,Quick Claw,1.2%,,,,,,,,
Conkeldurr,139,teammate,1,Indeedee-F,,,,,,,,,
Conkeldurr,139,teammate,2,Golisopod,,,,,,,,,
Conkeldurr,139,teammate,3,Farigiraf,,,,,,,,,
Conkeldurr,139,teammate,4,Torkoal,,,,,,,,,
Conkeldurr,139,teammate,5,Kingambit,,,,,,,,,
Conkeldurr,139,teammate,6,Hatterene,,,,,,,,,
Conkeldurr,139,teammate,7,Camerupt,,,,,,,,,
Conkeldurr,139,teammate,8,Armarouge,,,,,,,,,
Conkeldurr,139,teammate,9,Incineroar,,,,,,,,,
Conkeldurr,139,teammate,10,Rillaboom,,,,,,,,,
Conkeldurr,139,stat_alignment,1,Brave,69.5%,Attack,Speed,,,,,,
Conkeldurr,139,stat_alignment,2,Adamant,24.4%,Attack,Sp. Atk,,,,,,
Conkeldurr,139,stat_alignment,3,Sassy,2.3%,Sp. Def,Speed,,,,,,
Conkeldurr,139,stat_alignment,4,Careful,1.5%,Sp. Def,Sp. Atk,,,,,,
Conkeldurr,139,stat_alignment,5,Lax,0.8%,Defense,Sp. Def,,,,,,
Conkeldurr,139,stat_alignment,6,Relaxed,0.7%,Defense,Speed,,,,,,
Conkeldurr,139,stat_alignment,7,Impish,0.3%,Defense,Sp. Atk,,,,,,
Conkeldurr,139,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Conkeldurr,139,stat_alignment,9,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Conkeldurr,139,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Conkeldurr,139,stat_points,1,,25.0%,,,32,32,0,0,2,0
Conkeldurr,139,stat_points,2,,21.8%,,,32,32,2,0,0,0
Conkeldurr,139,stat_points,3,,8.5%,,,2,32,0,0,32,0
Conkeldurr,139,stat_points,4,,3.3%,,,0,32,2,0,32,0
Conkeldurr,139,stat_points,5,,2.6%,,,19,32,0,0,15,0
Conkeldurr,139,stat_points,6,,1.7%,,,4,32,0,0,30,0
Conkeldurr,139,stat_points,7,,1.7%,,,0,32,32,0,2,0
Conkeldurr,139,stat_points,8,,1.2%,,,7,32,15,0,10,0
Conkeldurr,139,stat_points,9,,1.1%,,,0,2,32,0,32,0
Conkeldurr,139,stat_points,10,,1.1%,,,2,32,32,0,0,0
Conkeldurr,139,ability,1,Iron Fist,70.6%,,,,,,,,
Conkeldurr,139,ability,2,Sheer Force,23.8%,,,,,,,,
Conkeldurr,139,ability,3,Guts,5.5%,,,,,,,,
