pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Qwilfish,249,move,1,Barb Barrage,63.6%,,,,,,,,
Qwilfish,249,move,2,Minimize,48.0%,,,,,,,,
Qwilfish,249,move,3,Liquidation,35.1%,,,,,,,,
Qwilfish,249,move,4,Acupressure,33.3%,,,,,,,,
Qwilfish,249,move,5,Flip Turn,21.1%,,,,,,,,
Qwilfish,249,move,6,Throat Chop,20.8%,,,,,,,,
Qwilfish,249,move,7,Protect,15.6%,,,,,,,,
Qwilfish,249,move,8,Destiny Bond,15.3%,,,,,,,,
Qwilfish,249,move,9,Toxic,14.6%,,,,,,,,
Qwilfish,249,move,10,Aqua Jet,14.3%,,,,,,,,
Qwilfish,249,held_item,1,Leftovers,30.0%,,,,,,,,
Qwilfish,249,held_item,2,Choice Scarf,10.3%,,,,,,,,
Qwilfish,249,held_item,3,Focus Sash,9.8%,,,,,,,,
Qwilfish,249,held_item,4,Sitrus Berry,9.4%,,,,,,,,
Qwilfish,249,held_item,5,Bright Powder,8.6%,,,,,,,,
Qwilfish,249,held_item,6,Life Orb,8.3%,,,,,,,,
Qwilfish,249,held_item,7,Shuca Berry,7.4%,,,,,,,,
Qwilfish,249,held_item,8,Poison Barb,4.8%,,,,,,,,
Qwilfish,249,held_item,9,Muscle Band,4.0%,,,,,,,,
Qwilfish,249,held_item,10,Rocky Helmet,2.4%,,,,,,,,
Qwilfish,249,teammate,1,Tyranitar,,,,,,,,,
Qwilfish,249,teammate,2,Excadrill,,,,,,,,,
Qwilfish,249,teammate,3,Garchomp,,,,,,,,,
Qwilfish,249,teammate,4,Rillaboom,,,,,,,,,
Qwilfish,249,teammate,5,Incineroar,,,,,,,,,
Qwilfish,249,teammate,6,Archaludon,,,,,,,,,
Qwilfish,249,teammate,7,Overqwil,,,,,,,,,
Qwilfish,249,teammate,8,Pelipper,,,,,,,,,
Qwilfish,249,teammate,9,Sableye,,,,,,,,,
Qwilfish,249,teammate,10,Sinistcha,,,,,,,,,
Qwilfish,249,stat_alignment,1,Adamant,36.6%,Attack,Sp. Atk,,,,,,
Qwilfish,249,stat_alignment,2,Careful,23.8%,Sp. Def,Sp. Atk,,,,,,
Qwilfish,249,stat_alignment,3,Bold,10.7%,Defense,Attack,,,,,,
Qwilfish,249,stat_alignment,4,Sassy,7.1%,Sp. Def,Speed,,,,,,
Qwilfish,249,stat_alignment,5,Jolly,5.6%,Speed,Sp. Atk,,,,,,
Qwilfish,249,stat_alignment,6,Hasty,4.8%,Speed,Defense,,,,,,
Qwilfish,249,stat_alignment,7,Lonely,3.9%,Attack,Defense,,,,,,
Qwilfish,249,stat_alignment,8,Brave,2.8%,Attack,Speed,,,,,,
Qwilfish,249,stat_alignment,9,Calm,1.5%,Sp. Def,Attack,,,,,,
Qwilfish,249,stat_alignment,10,Impish,1.2%,Defense,Sp. Atk,,,,,,
Qwilfish,249,stat_points,1,,20.8%,,,32,0,9,0,25,0
Qwilfish,249,stat_points,2,,14.9%,,,32,0,2,0,32,0
Qwilfish,249,stat_points,3,,11.3%,,,32,32,2,0,0,0
Qwilfish,249,stat_points,4,,11.0%,,,2,32,0,0,0,32
Qwilfish,249,stat_points,5,,6.1%,,,1,32,1,0,0,32
Qwilfish,249,stat_points,6,,5.8%,,,32,0,32,0,2,0
Qwilfish,249,stat_points,7,,4.8%,,,0,32,0,0,2,32
Qwilfish,249,stat_points,8,,3.9%,,,0,32,0,0,32,2
Qwilfish,249,stat_points,9,,2.1%,,,32,2,0,0,0,32
Qwilfish,249,stat_points,10,,1.9%,,,25,32,0,0,0,9
Qwilfish,249,ability,1,Intimidate,84.7%,,,,,,,,
Qwilfish,249,ability,2,Swift Swim,14.1%,,,,,,,,
Qwilfish,249,ability,3,Poison Point,1.2%,,,,,,,,
