pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simisage,253,move,1,Fake Out,58.1%,,,,,,,,
Simisage,253,move,2,Leaf Storm,53.2%,,,,,,,,
Simisage,253,move,3,Solar Beam,39.7%,,,,,,,,
Simisage,253,move,4,Gunk Shot,33.0%,,,,,,,,
Simisage,253,move,5,Protect,26.4%,,,,,,,,
Simisage,253,move,6,Crunch,24.8%,,,,,,,,
Simisage,253,move,7,Throat Chop,24.8%,,,,,,,,
Simisage,253,move,8,Stuff Cheeks,16.0%,,,,,,,,
Simisage,253,move,9,Rock Slide,15.0%,,,,,,,,
Simisage,253,move,10,Seed Bomb,14.1%,,,,,,,,
Simisage,253,held_item,1,Miracle Seed,31.7%,,,,,,,,
Simisage,253,held_item,2,Focus Sash,18.1%,,,,,,,,
Simisage,253,held_item,3,Sitrus Berry,10.1%,,,,,,,,
Simisage,253,held_item,4,White Herb,8.6%,,,,,,,,
Simisage,253,held_item,5,Eject Button,4.2%,,,,,,,,
Simisage,253,held_item,6,Big Root,3.8%,,,,,,,,
Simisage,253,held_item,7,Grassy Seed,1.8%,,,,,,,,
Simisage,253,held_item,8,King's Rock,1.6%,,,,,,,,
Simisage,253,held_item,9,Life Orb,1.6%,,,,,,,,
Simisage,253,held_item,10,Expert Belt,1.0%,,,,,,,,
Simisage,253,teammate,1,Salamence,,,,,,,,,
Simisage,253,teammate,2,Simipour,,,,,,,,,
Simisage,253,teammate,3,Simisear,,,,,,,,,
Simisage,253,teammate,4,Castform,,,,,,,,,
Simisage,253,teammate,5,Infernape,,,,,,,,,
Simisage,253,teammate,6,Indeedee,,,,,,,,,
Simisage,253,teammate,7,Hippowdon,,,,,,,,,
Simisage,253,teammate,8,Hydreigon,,,,,,,,,
Simisage,253,teammate,9,Diggersby,,,,,,,,,
Simisage,253,teammate,10,Alakazam,,,,,,,,,
Simisage,253,stat_alignment,1,Timid,47.6%,Speed,Attack,,,,,,
Simisage,253,stat_alignment,2,Jolly,18.1%,Speed,Sp. Atk,,,,,,
Simisage,253,stat_alignment,3,Adamant,17.6%,Attack,Sp. Atk,,,,,,
Simisage,253,stat_alignment,4,Calm,7.5%,Sp. Def,Attack,,,,,,
Simisage,253,stat_alignment,5,Mild,5.5%,Sp. Atk,Defense,,,,,,
Simisage,253,stat_alignment,6,Naive,2.9%,Speed,Sp. Def,,,,,,
Simisage,253,stat_alignment,7,Modest,0.5%,Sp. Atk,Attack,,,,,,
Simisage,253,stat_alignment,8,Quirky,0.3%,,,,,,,,
Simisage,253,stat_points,1,,26.1%,,,2,0,0,32,0,32
Simisage,253,stat_points,2,,24.9%,,,2,32,0,0,0,32
Simisage,253,stat_points,3,,14.9%,,,0,0,0,32,2,32
Simisage,253,stat_points,4,,6.0%,,,0,2,0,32,0,32
Simisage,253,stat_points,5,,4.1%,,,32,0,0,2,0,32
Simisage,253,stat_points,6,,3.8%,,,2,0,32,0,32,0
Simisage,253,stat_points,7,,3.4%,,,0,0,0,32,32,2
Simisage,253,stat_points,8,,1.9%,,,0,32,0,0,7,27
Simisage,253,stat_points,9,,1.6%,,,0,32,2,0,0,32
Simisage,253,stat_points,10,,1.5%,,,0,0,0,32,0,32
Simisage,253,ability,1,Overgrow,76.3%,,,,,,,,
Simisage,253,ability,2,Gluttony,23.7%,,,,,,,,
