pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tauros-Paldea-Blaze,180,move,1,Raging Bull,85.5%,,,,,,,,
Tauros-Paldea-Blaze,180,move,2,Close Combat,82.1%,,,,,,,,
Tauros-Paldea-Blaze,180,move,3,Protect,60.6%,,,,,,,,
Tauros-Paldea-Blaze,180,move,4,Rock Slide,50.9%,,,,,,,,
Tauros-Paldea-Blaze,180,move,5,Wild Charge,21.5%,,,,,,,,
Tauros-Paldea-Blaze,180,move,6,Flare Blitz,17.1%,,,,,,,,
Tauros-Paldea-Blaze,180,move,7,High Horsepower,14.6%,,,,,,,,
Tauros-Paldea-Blaze,180,move,8,Earthquake,14.4%,,,,,,,,
Tauros-Paldea-Blaze,180,move,9,Will-O-Wisp,11.5%,,,,,,,,
Tauros-Paldea-Blaze,180,move,10,Iron Head,7.7%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,1,Life Orb,19.8%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,2,Choice Scarf,19.2%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,3,Sitrus Berry,16.6%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,4,Expert Belt,6.4%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,5,White Herb,5.7%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,6,Focus Sash,5.3%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,7,Muscle Band,3.3%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,8,Rocky Helmet,2.7%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,9,Charcoal,2.5%,,,,,,,,
Tauros-Paldea-Blaze,180,held_item,10,Shuca Berry,2.5%,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,1,Rillaboom,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,2,Whimsicott,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,3,Indeedee-F,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,4,Golisopod,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,5,Kingambit,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,6,Milotic,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,7,Salamence,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,8,Froslass,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,9,Raichu,,,,,,,,,
Tauros-Paldea-Blaze,180,teammate,10,Farigiraf,,,,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,1,Adamant,60.2%,Attack,Sp. Atk,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,2,Jolly,28.0%,Speed,Sp. Atk,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,3,Careful,3.6%,Sp. Def,Sp. Atk,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,4,Impish,2.6%,Defense,Sp. Atk,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,5,Naughty,2.0%,Attack,Sp. Def,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,6,Naive,1.5%,Speed,Sp. Def,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,7,Hasty,1.1%,Speed,Defense,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,8,Brave,0.7%,Attack,Speed,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Tauros-Paldea-Blaze,180,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Tauros-Paldea-Blaze,180,stat_points,1,,30.4%,,,2,32,0,0,0,32
Tauros-Paldea-Blaze,180,stat_points,2,,8.6%,,,0,32,0,0,2,32
Tauros-Paldea-Blaze,180,stat_points,3,,7.2%,,,0,32,2,0,0,32
Tauros-Paldea-Blaze,180,stat_points,4,,3.2%,,,32,32,0,0,2,0
Tauros-Paldea-Blaze,180,stat_points,5,,2.7%,,,1,32,1,0,0,32
Tauros-Paldea-Blaze,180,stat_points,6,,2.4%,,,32,32,2,0,0,0
Tauros-Paldea-Blaze,180,stat_points,7,,2.2%,,,0,32,0,0,32,2
Tauros-Paldea-Blaze,180,stat_points,8,,2.0%,,,27,32,0,0,0,7
Tauros-Paldea-Blaze,180,stat_points,9,,1.8%,,,20,32,0,0,14,0
Tauros-Paldea-Blaze,180,stat_points,10,,1.8%,,,1,32,0,0,1,32
Tauros-Paldea-Blaze,180,ability,1,Intimidate,73.3%,,,,,,,,
Tauros-Paldea-Blaze,180,ability,2,Anger Point,21.4%,,,,,,,,
Tauros-Paldea-Blaze,180,ability,3,Cud Chew,5.2%,,,,,,,,
